name,lat,lon
"Adak, AK",51.8800000,-176.6580556
"Afognak, AK",58.0077778,-152.7680556
"Aguikchuk, AK",60.4750000,-164.4355556
"Akhiok, AK",56.9455556,-154.1702778
"Akiachak, AK",60.9094444,-161.4313889
"Akiak, AK",60.9122222,-161.2138889
"Akokpak, AK",59.6333333,-157.1333333
"Akulurak, AK",60.2775000,-162.4413889
"Akumsuk, AK",62.7230556,-164.4722222
"Akutan, AK",54.1355556,-165.7730556
"Alaganik, AK",60.4441667,-145.2158333
"Alakanuk, AK",62.6888889,-164.6152778
"Alatna, AK",66.5572222,-152.7072222
"Alcan, AK",62.7230556,-141.1880556
"Aleknagik, AK",59.2730556,-158.6177778
"Aleksashkina, AK",57.7800000,-152.3552778
"Aleneva, AK",58.0600000,-152.9097222
"Alexanders Village, AK",66.7883333,-145.4369444
"Allakaket, AK",66.5655556,-152.6455556
"Alpine, AK",70.3280556,-150.9775000
"Alyeska, AK",60.9608333,-149.1108333
"Ambler, AK",67.0861111,-157.8513889
"Amchitka, AK",51.5672222,178.8775000
"Anaktuvuk Pass, AK",68.1433333,-151.7358333
"Anchor Point, AK",59.7766667,-151.8313889
"Anchorage, AK",61.2180556,-149.9002778
"Anderson, AK",64.3441667,-149.1869444
"Angoon, AK",57.5033333,-134.5838889
"Aniak, AK",61.5783333,-159.5222222
"Annette, AK",55.0616667,-131.5416667
"Anogok, AK",59.8211111,-164.0286111
"Anvik, AK",62.6561111,-160.2066667
"Arctic Village, AK",68.1269444,-145.5377778
"Arolokovik, AK",62.3847222,-163.8005556
"Artesian Village, AK",61.2275000,-149.7813889
"Atka, AK",52.1961111,-174.2005556
"Atmautluak, AK",60.8669444,-162.2730556
"Atqasuk, AK",70.4694444,-157.3958333
"Attu, AK",52.9375000,173.2375000
"Auke Bay, AK",58.3833333,-134.6597222
"Aurora, AK",64.8569444,-147.7586111
"Aurora Lodge, AK",64.4705556,-146.9386111
"Baker, AK",64.9669444,-150.4597222
"Baranof, AK",57.0894444,-134.8330556
"Barrow, AK",71.2905556,-156.7886111
"Bartlett Cove, AK",58.4500000,-135.9166667
"Bear Creek, AK",60.1641667,-149.3950000
"Beaver, AK",66.5000000,-146.9166667
"Beaver Falls, AK",55.3833333,-131.4666667
"Belkofski, AK",55.0888889,-162.0305556
"Bell Island Hot Springs, AK",55.9316667,-131.5652778
"Beluga, AK",61.1791667,-151.0236111
"Bessie No. 5 Dredge Camp, AK",64.5500000,-165.1500000
"Bethel, AK",60.7922222,-161.7558333
"Bettles, AK",66.9188889,-151.5161111
"Big Delta, AK",64.1525000,-145.8422222
"Big Lake, AK",61.5500000,-149.8666667
"Bill Moores, AK",62.9497222,-163.7788889
"Biorka, AK",53.8269444,-166.2080556
"Birches, AK",65.1350000,-153.5566667
"Birchwood, AK",61.4052778,-149.4688889
"Bjerrmark, AK",64.8250000,-147.7166667
"Black, AK",62.3361111,-165.3350000
"Bluff, AK",64.7150000,-147.1758333
"Bonibrook, AK",61.1997222,-149.7741667
"Bornite, AK",67.0591667,-156.9427778
"Boswell Bay, AK",60.4000000,-146.1333333
"Boundary, AK",64.0833333,-141.0166667
"Brevig Mission, AK",65.3347222,-166.4891667
"Broadmoor, AK",64.8238889,-147.8758333
"Browerville, AK",71.2980556,-156.7700000
"Buckland, AK",65.9797222,-161.1230556
"Butte, AK",61.5422222,-149.0333333
"Campbell, AK",61.1719444,-149.8941667
"Candle, AK",65.9133333,-161.9244444
"Cannery, AK",57.7852778,-135.0963889
"Cantwell, AK",63.3916667,-148.9508333
"Cape Nome, AK",64.4638889,-164.9594444
"Cape Pole, AK",55.9650000,-133.7933333
"Caro, AK",67.1675000,-148.0197222
"Central, AK",65.5725000,-144.8030556
"Chakaktolik, AK",61.7683333,-163.6222222
"Chakwaktolik, AK",61.2291667,-163.7541667
"Chalkyitsik, AK",66.6544444,-143.7222222
"Chandalar, AK",67.5052778,-148.4936111
"Chaniliut, AK",63.0411111,-163.3933333
"Chariot, AK",68.1058333,-165.7427778
"Charlieskin Village, AK",62.9705556,-141.8200000
"Chase, AK",62.4491667,-150.1016667
"Chatanika, AK",65.1122222,-147.4772222
"Chatham, AK",57.5152778,-134.9436111
"Chefornak, AK",60.1600000,-164.2658333
"Chelatna Lodge, AK",62.4344444,-151.4044444
"Chena Hot Springs, AK",65.0530556,-146.0555556
"Chenega Bay, AK",60.0633333,-148.0113889
"Chenik, AK",59.2138889,-154.1388889
"Chernofski, AK",53.4083333,-167.5500000
"Chevak, AK",61.5277778,-165.5863889
"Chicago Creek, AK",65.8944444,-162.4491667
"Chickaloon, AK",61.7966667,-148.4627778
"Chicken, AK",64.0733333,-141.9361111
"Chignik, AK",56.2952778,-158.4022222
"Chignik Lake, AK",56.2555556,-158.7625000
"Chiniak, AK",57.6319444,-152.1825000
"Chisana, AK",62.0661111,-142.0408333
"Chistochina, AK",62.5650000,-144.6647222
"Chitina, AK",61.5158333,-144.4369444
"Christian, AK",67.3600000,-145.1961111
"Chuathbaluk, AK",61.5719444,-159.2450000
"Chugiak, AK",61.3888889,-149.4819444
"Chulitna, AK",62.8869444,-149.5830556
"Chuloonawick, AK",62.9461111,-164.1722222
"Circle, AK",65.8255556,-144.0605556
"Circle Hot Springs, AK",65.4833333,-144.6341667
"Circle Hot Springs Station, AK",65.4702778,-144.6891667
"Clam Gulch, AK",60.2311111,-151.3936111
"Clarks Point, AK",58.8441667,-158.5508333
"Clear Creek Park, AK",64.8186111,-147.5658333
"Clover Pass, AK",55.4722222,-131.7916667
"Coal Creek, AK",65.3052778,-143.1536111
"Coffman Cove, AK",56.0138889,-132.8277778
"Cohoe, AK",60.3686111,-151.3063889
"Cold Bay, AK",55.1858333,-162.7211111
"Coldfoot, AK",67.2563889,-150.1841667
"College, AK",64.8569444,-147.8027778
"Colorado, AK",63.1627778,-149.4358333
"Cooper Landing, AK",60.4900000,-149.8341667
"Copper Center, AK",61.9550000,-145.3052778
"Copperville, AK",62.0438889,-145.4205556
"Cordova, AK",60.5427778,-145.7575000
"Cottonwood, AK",61.5133333,-149.5641667
"Council, AK",64.8950000,-163.6763889
"Covenant Life, AK",59.4172222,-136.0250000
"Craig, AK",55.4763889,-133.1483333
"Crooked Creek, AK",61.8700000,-158.1108333
"Crown Point, AK",60.4225000,-149.3375000
"Crystal Falls, AK",60.4858333,-145.7291667
"Cube Cove, AK",57.9350000,-134.7111111
"Curry, AK",62.6147222,-150.0119444
"Dahl, AK",65.3647222,-164.7136111
"Dairy, AK",55.3069444,-131.5663889
"Davidsons Landing, AK",65.2419444,-165.2716667
"DeBarr Vista, AK",61.2122222,-149.7530556
"Deacons Landing, AK",62.4691667,-156.0202778
"Deadhorse, AK",70.2055556,-148.5116667
"Deering, AK",66.0755556,-162.7172222
"Delta Junction, AK",64.0377778,-145.7322222
"Dennis Manor, AK",64.8291667,-147.5397222
"Diamond Ridge, AK",59.6761111,-151.5575000
"Dillingham, AK",59.0397222,-158.4575000
"Dime Landing, AK",65.1200000,-161.1597222
"Diomede, AK",65.7369444,-168.9416667
"Discovery, AK",62.4525000,-157.9338889
"Dobson Landing, AK",58.4905556,-134.7841667
"Dogpatch, AK",64.8955556,-147.8063889
"Donnelly, AK",63.6736111,-145.8833333
"Dora Bay, AK",55.1888889,-132.2952778
"Dot Lake, AK",63.6613889,-144.0644444
"Dot Lake Village, AK",63.6508333,-144.0438889
"Douglas, AK",58.2755556,-134.3925000
"Drift River, AK",60.5916667,-152.1611111
"Dry Creek, AK",63.6533333,-144.6652778
"Dutch Harbor, AK",53.9027778,-166.5111111
"Eagle, AK",64.7880556,-141.2000000
"Eagle River, AK",61.3213889,-149.5677778
"Eagle Village, AK",64.7805556,-141.1136111
"East Fork, AK",64.6927778,-164.2763889
"Edna Bay, AK",55.9488889,-133.6622222
"Eek, AK",60.2188889,-162.0244444
"Egavik, AK",64.0402778,-160.9225000
"Egegik, AK",58.2155556,-157.3758333
"Egorkovskoi, AK",53.5638889,-168.0000000
"Eklutna, AK",61.4580556,-149.3622222
"Ekwok, AK",59.3497222,-157.4752778
"Elephant Point, AK",66.2597222,-161.3461111
"Elfin Cove, AK",58.1944444,-136.3433333
"Elilakok, AK",59.5500000,-157.0833333
"Elim, AK",64.6175000,-162.2605556
"Ellamar, AK",60.8955556,-146.6975000
"Emmonak, AK",62.7777778,-164.5230556
"Eska, AK",61.7377778,-148.9086111
"Espenberg, AK",66.5927778,-163.9647222
"Ester, AK",64.8472222,-148.0144444
"Eureka, AK",65.1794444,-150.2144444
"Eureka Roadhouse, AK",61.9386111,-147.1680556
"Evansville, AK",66.9227778,-151.5080556
"Excursion Inlet, AK",58.4188889,-135.4266667
"Eyak, AK",60.5250000,-145.6000000
"Fairbanks, AK",64.8377778,-147.7163889
"Fairhaven, AK",58.3780556,-134.7036111
"Falls, AK",60.4200000,-149.3702778
"False Pass, AK",54.8508333,-163.4150000
"Ferry, AK",64.0166667,-149.1166667
"Fink Creek, AK",65.8955556,-163.0186111
"Fish Village, AK",59.9472222,-154.8583333
"Flat, AK",62.4536111,-158.0075000
"Folger, AK",63.5616667,-156.0833333
"Fort Richardson, AK",61.2544444,-149.6883333
"Fort Yukon, AK",66.5647222,-145.2738889
"Fox, AK",64.9580556,-147.6183333
"Fox River, AK",59.8583333,-150.9583333
"Freshwater Bay, AK",57.8916667,-135.0794444
"Fritz Creek, AK",59.7361111,-151.2952778
"Funny River, AK",60.5019444,-150.7622222
"Funter, AK",58.2563889,-134.8958333
"Gakona, AK",62.3019444,-145.3019444
"Gakona Junction, AK",62.2886111,-145.3513889
"Galena, AK",64.7333333,-156.9275000
"Gambell, AK",63.7797222,-171.7411111
"Game Creek, AK",58.0566667,-135.5077778
"Ganes Creek, AK",63.0897222,-156.4305556
