name,lat,lon
"Abanda, AL",33.1008333,-85.5297222
"Abbeville, AL",31.5716667,-85.2505556
"Abbot Springs, AL",33.3608333,-86.4816667
"Abel, AL",33.5486111,-85.7125000
"Abercrombie, AL",32.8486111,-87.1650000
"Aberfoil, AL",32.0702778,-85.6877778
"Abernant, AL",33.2902778,-87.1980556
"Abernathy, AL",33.6505556,-85.4075000
"Academy Park, AL",33.2000000,-87.1566667
"Acipcoville, AL",33.5561111,-86.8430556
"Ackerville, AL",32.0294444,-87.0663889
"Acmar, AL",33.6213889,-86.4961111
"Active, AL",32.8677778,-86.9769444
"Acton, AL",33.4266667,-86.7352778
"Ada, AL",32.1052778,-86.2763889
"Adair Ford, AL",34.6708333,-86.4311111
"Adams, AL",32.7394444,-86.8327778
"Adams Crossroads, AL",34.0775000,-85.4877778
"Adamsburg, AL",34.3988889,-85.6722222
"Adamsville, AL",33.6008333,-86.9561111
"Addison, AL",34.2022222,-87.1813889
"Aden, AL",33.1586111,-86.9966667
"Adger, AL",33.3769444,-87.0936111
"Adkin Hill, AL",32.6088889,-86.3111111
"Adler, AL",32.7630556,-87.1683333
"Adville, AL",33.8838889,-86.6447222
"Agricola, AL",32.7683333,-85.7386111
"Ai, AL",33.6500000,-85.4472222
"Aimwell, AL",32.1213889,-87.9061111
"Airport Highlands, AL",33.5850000,-86.7416667
"Akinsville, AL",31.6355556,-85.6111111
"Akka, AL",30.7772222,-88.0230556
"Akron, AL",32.8763889,-87.7425000
"Alabama City, AL",34.0222222,-86.0455556
"Alabama Fork, AL",34.8513889,-86.9738889
"Alabama Port, AL",30.3627778,-88.1147222
"Alabama Shores, AL",34.7963889,-87.5525000
"Alabaster, AL",33.2441667,-86.8163889
"Alaga, AL",31.1261111,-85.0725000
"Alberta, AL",32.2319444,-87.4100000
"Alberton, AL",31.2777778,-86.1258333
"Albertville, AL",34.2675000,-86.2088889
"Alden, AL",33.6388889,-86.9652778
"Alder Springs, AL",34.3430556,-86.2158333
"Aldrich, AL",33.1075000,-86.8911111
"Aldridge, AL",33.7069444,-87.2419444
"Aldridge Grove, AL",34.4230556,-87.2405556
"Alexander City, AL",32.9438889,-85.9538889
"Alexandria, AL",33.7738889,-85.8855556
"Alexis, AL",34.1788889,-85.5122222
"Alfalfa, AL",32.5102778,-87.7644444
"Alice, AL",34.1291667,-86.2402778
"Aliceville, AL",33.1294444,-88.1513889
"Allens Crossroads, AL",34.4277778,-86.5419444
"Allens Factory, AL",34.2788889,-87.7213889
"Allenton, AL",31.9366667,-87.0533333
"Allenton Station, AL",31.9297222,-87.0236111
"Allenville, AL",32.4908333,-87.6608333
"Allgood, AL",33.9119444,-86.5094444
"Alliance, AL",33.5477778,-87.1263889
"Allison, AL",32.7866667,-87.9758333
"Allison Mills, AL",33.3897222,-86.1150000
"Allred, AL",31.7716667,-86.0083333
"Allsboro, AL",34.6941667,-88.1102778
"Allsop, AL",33.9411111,-85.7163889
"Alma, AL",31.4638889,-87.7538889
"Almeria, AL",32.0263889,-85.8505556
"Almond, AL",33.1463889,-85.6216667
"Almont, AL",33.1144444,-86.8791667
"Alpine, AL",33.3486111,-86.2386111
"Alpine Bay, AL",33.4480556,-86.2952778
"Alpine Shores, AL",34.2166667,-85.5263889
"Alta, AL",33.6708333,-87.5316667
"Alta Vista, AL",32.6547222,-85.3938889
"Altadena Ridge Estates, AL",33.4333333,-86.7466667
"Altadena Woods, AL",33.4052778,-86.7475000
"Altamont Park, AL",33.5094444,-86.7655556
"Alton, AL",33.5791667,-86.6375000
"Altoona, AL",34.0261111,-86.3261111
"America, AL",33.7377778,-87.2525000
"Andalusia, AL",31.3083333,-86.4833333
"Anderson, AL",34.9283333,-87.2663889
"Andrews Chapel, AL",34.3380556,-87.0844444
"Angel, AL",33.8352778,-85.8369444
"Anita, AL",33.1741667,-86.9802778
"Anne Manie, AL",32.0527778,-87.5708333
"Anniston, AL",33.6597222,-85.8316667
"Ansley, AL",31.8861111,-86.1158333
"Antioch, AL",32.9447222,-86.9986111
"Antioch Estates, AL",34.2458333,-85.6430556
"Apple Grove, AL",34.3986111,-86.6102778
"Appleton, AL",31.2208333,-87.1213889
"Aqua Vista, AL",34.8302778,-87.4852778
"Aquilla, AL",31.7122222,-88.4138889
"Arab, AL",34.3180556,-86.4958333
"Ararat, AL",31.9680556,-88.1466667
"Arbacoochee, AL",33.5761111,-85.5172222
"Archer, AL",33.2972222,-88.2216667
"Arcola, AL",32.5569444,-87.7675000
"Arcus, AL",31.5136111,-85.9752778
"Ardell, AL",33.9952778,-87.0986111
"Ardilla, AL",31.1413889,-85.1513889
"Ardmore, AL",34.9919444,-86.8469444
"Argo, AL",33.6816667,-86.5305556
"Arguta, AL",31.5691667,-85.5952778
"Ariton, AL",31.6000000,-85.7188889
"Arkadelphia, AL",33.9050000,-86.9625000
"Arkdell, AL",34.9597222,-87.4297222
"Arkwright, AL",33.3713889,-86.4025000
"Arley, AL",34.0788889,-87.2122222
"Arley Landing, AL",34.0441667,-87.2658333
"Arlington, AL",32.0569444,-87.5886111
"Armstead, AL",33.8819444,-86.5247222
"Armstrong, AL",32.2394444,-85.6577778
"Arnedra Subdivision, AL",33.2911111,-87.7022222
"Arona, AL",34.2216667,-86.0819444
"Arrowhead, AL",33.6586111,-86.6680556
"Asahel, AL",31.8677778,-87.4208333
"Asberry, AL",33.8944444,-85.7447222
"Asbury, AL",31.7005556,-87.7238889
"Asbury Park, AL",33.4627778,-86.7372222
"Ashbank, AL",34.0102778,-87.4875000
"Ashby, AL",33.0208333,-86.9194444
"Ashcraft Corner, AL",33.5266667,-87.9005556
"Ashford, AL",31.1827778,-85.2363889
"Ashland, AL",33.2736111,-85.8361111
"Ashridge, AL",34.2347222,-87.4686111
"Ashville, AL",33.8369444,-86.2544444
"Askea Grove, AL",34.2852778,-86.4594444
"Aspel, AL",34.6208333,-86.1655556
"Athens, AL",34.8027778,-86.9716667
"Atkeison, AL",31.9652778,-87.6863889
"Atmore, AL",31.0236111,-87.4938889
"Attalla, AL",34.0216667,-86.0886111
"Atwood, AL",34.3605556,-87.9950000
"Aubrey, AL",32.6669444,-85.4525000
"Aubrey Isle, AL",34.1527778,-85.7750000
"Auburn, AL",32.6097222,-85.4808333
"Augustin, AL",32.5061111,-87.1077778
"Aurora, AL",34.1166667,-86.1925000
"Austin Subdivision, AL",33.2091667,-87.4950000
"Austinville, AL",34.5747222,-87.0086111
"Autaugaville, AL",32.4338889,-86.6547222
"Ava, AL",33.3430556,-85.4780556
"Avalon Park, AL",33.4305556,-86.9902778
"Avant, AL",31.6213889,-86.7013889
"Avery, AL",34.1083333,-86.0361111
"Avon, AL",31.1891667,-85.2861111
"Avon Park, AL",33.5461111,-86.7713889
"Avondale, AL",33.5216667,-86.7780556
"Avondale Village, AL",33.5930556,-86.2761111
"Awin, AL",31.8377778,-86.9488889
"Axis, AL",30.9297222,-88.0272222
"Axle, AL",31.5955556,-87.3297222
"Ayres, AL",33.7313889,-86.5636111
"Ayres Estates, AL",33.7269444,-86.5583333
"Babbie, AL",31.2794444,-86.3255556
"Bachelors Chapel, AL",34.0194444,-85.8700000
"Backems Crossroads, AL",31.2416667,-85.6305556
"Backers Landing, AL",31.8083333,-87.4577778
"Bacon Level, AL",33.1286111,-85.2908333
"Bagley, AL",33.7555556,-87.0016667
"Bagley Meadows, AL",33.7538889,-86.9938889
"Bailey Cove Estates, AL",34.6650000,-86.5441667
"Bailey Crossroads, AL",31.1908333,-85.5938889
"Bailey Springs, AL",34.8955556,-87.5713889
"Baileys Landing, AL",31.6811111,-88.0816667
"Baileyton, AL",34.2622222,-86.6127778
"Baileytown, AL",34.1636111,-86.6597222
"Baker Hill, AL",31.7811111,-85.3022222
"Bald Hill, AL",31.1636111,-85.6355556
"Baldwin, AL",34.1891667,-86.9169444
"Balkum, AL",31.4175000,-85.2275000
"Ball Flat, AL",34.0177778,-85.7338889
"Ballfield Landing, AL",31.6125000,-88.0747222
"Ballplay, AL",34.0586111,-85.8080556
"Baltic, AL",31.6516667,-86.0041667
"Baltimore Hill, AL",34.8366667,-86.5422222
"Bama Dale, AL",31.2672222,-85.3761111
"Bama Park, AL",32.7161111,-85.8519444
"Bamford, AL",33.2758333,-86.9319444
"Bangor, AL",33.9744444,-86.7566667
"Bankhead, AL",34.5602778,-85.5530556
"Banks, AL",31.8150000,-85.8430556
"Bankston, AL",33.6713889,-87.6713889
"Baptist Hill, AL",32.5158333,-87.8313889
"Barachias, AL",32.2994444,-86.1963889
"Barber, AL",31.2341667,-85.2355556
"Barclay, AL",33.4191667,-86.1669444
"Barefield Crossroads, AL",31.5516667,-85.4525000
"Barfield, AL",33.3611111,-85.7158333
"Barlow, AL",31.5666667,-88.3236111
"Barlow Bend, AL",31.4544444,-87.6347222
"Barlow Landing, AL",30.9572222,-87.8725000
"Barnes, AL",31.5425000,-85.6744444
"Barnesville, AL",34.1397222,-88.0777778
"Barnett Chapel, AL",34.1619444,-87.2994444
"Barnett Crossroads, AL",31.2211111,-87.3044444
"Barney, AL",33.7161111,-87.1586111
"Barneys Lower Landing, AL",31.9922222,-88.0755556
"Barnisdale Forest, AL",33.5900000,-86.6786111
"Barnwell, AL",30.4247222,-87.8794444
"Barrett, AL",31.1919444,-85.4208333
"Barrett Crossroads, AL",33.1952778,-85.2938889
"Barry Village, AL",30.9986111,-88.0269444
"Barrytown, AL",31.8372222,-88.2527778
"Barton, AL",34.7386111,-87.8911111
"Bartonville, AL",33.5747222,-86.7805556
"Basham, AL",34.5147222,-87.0180556
"Bashi, AL",31.9711111,-87.8613889
"Basin, AL",31.3413889,-86.1308333
"Bass, AL",34.9319444,-85.9130556
"Bassetts Creek, AL",31.4644444,-88.0322222
"Batchelor Subdivision, AL",33.3469444,-87.5888889
"Batesville, AL",32.0088889,-85.3111111
"Bath Springs, AL",34.1116667,-85.8897222
"Battelle, AL",34.6494444,-85.5652778
"Battens Crossroads, AL",31.2608333,-85.8900000
"Battery Hill, AL",34.9527778,-85.7083333
"Battleground, AL",34.3044444,-86.9963889
"Battles Wharf, AL",30.4941667,-87.9277778
"Baxters, AL",31.7575000,-85.5811111
"Bay Minette, AL",30.8827778,-87.7730556
"Bay Springs, AL",34.1758333,-85.7155556
"Bay View, AL",33.5586111,-86.9736111
"Bayleys Corner, AL",30.4647222,-88.1144444
"Bayou La Batre, AL",30.4166667,-88.2250000
"Bayside, AL",30.4083333,-87.8236111
"Bazemore, AL",33.8944444,-87.7000000
"Beacon, AL",31.7144444,-86.8230556
"Beamon, AL",31.5188889,-85.5861111
"Beans Crossroads, AL",31.9991667,-85.8536111
"Beans Mill, AL",32.6969444,-85.2675000
"Bear Creek, AL",34.2747222,-87.7005556
"Beards Mill, AL",33.3655556,-88.1197222
"Beasley, AL",33.2119444,-88.1000000
"Beatrice, AL",31.7333333,-87.2047222
"Beaty Crossroads, AL",34.6955556,-85.6694444
"Beauregard, AL",32.5430556,-85.3708333
"Beaver Town, AL",33.1944444,-88.1980556
"Beaverton, AL",33.9311111,-88.0202778
"Beck, AL",31.2561111,-86.5847222
"Beda, AL",31.0508333,-86.5827778
"Bedford, AL",33.7958333,-88.2069444
"Beechwood, AL",32.1258333,-86.6561111
"Beechwood Acres, AL",34.7605556,-87.1705556
"Beehive, AL",32.5536111,-85.5780556
"Bel Air, AL",31.2313889,-85.4372222
"Bel Air Estates, AL",33.2619444,-87.6877778
"Belchers, AL",33.1094444,-87.2088889
"Belforest, AL",30.6036111,-87.8525000
"Belgreen, AL",34.4747222,-87.8663889
"Belk, AL",33.6475000,-87.9313889
"Belknap, AL",32.2061111,-87.0138889
"Bell, AL",33.3388889,-87.9605556
"Bell Factory, AL",34.8238889,-86.4738889
"Bell Mills, AL",33.6163889,-85.4747222
"Bell Springs, AL",34.3172222,-86.9152778
"Bell Station, AL",32.3300000,-86.1938889
"Bell-Merrill, AL",31.2122222,-85.4116667
"Bellamy, AL",32.4488889,-88.1336111
"Belle Ellen, AL",33.1244444,-87.0572222
"Belle Haven, AL",33.4608333,-86.8886111
"Belle Mina, AL",34.6566667,-86.8791667
"Belle Vista, AL",33.3763889,-86.3269444
"Bellefontaine, AL",30.4933333,-88.1036111
"Bellefonte, AL",34.7111111,-85.9452778
"Bellemeade, AL",34.8477778,-87.5950000
"Belleville, AL",31.4297222,-87.1091667
"Bellevue, AL",32.4375000,-87.3802778
"Bells Crossroads, AL",31.8952778,-85.5236111
"Belltown, AL",33.6033333,-85.6066667
"Bellview, AL",34.5450000,-85.9336111
"Bellwood, AL",31.1730556,-85.7933333
"Belmont, AL",32.5586111,-87.9425000
"Beloit, AL",32.3541667,-87.1486111
"Beltona, AL",33.7983333,-86.8486111
"Belview Heights, AL",34.7150000,-87.6916667
"Belwood, AL",33.4680556,-86.9116667
"Bemiston, AL",33.4100000,-86.1208333
"Bendale, AL",33.5619444,-86.7811111
"Benevola, AL",33.1091667,-87.9650000
"Benoit, AL",33.7538889,-87.1572222
"Bent Tree, AL",33.8791667,-86.7688889
"Bentley Hills, AL",33.5133333,-86.7444444
"Bentleyville, AL",32.9561111,-86.2602778
"Benton, AL",32.3066667,-86.8177778
"Berkley, AL",34.6397222,-86.4291667
"Berkley Hills, AL",33.6172222,-86.6969444
"Berlin, AL",34.1813889,-86.7422222
"Bermuda, AL",31.4872222,-87.1883333
"Berney Points, AL",33.4863889,-86.8625000
"Berneys, AL",33.3436111,-86.1494444
"Berry, AL",33.6597222,-87.6000000
"Berry Springs, AL",34.4294444,-85.5086111
