name,lat,lon
"Aa Junction, AR",36.0797222,-90.9397222
"Abbott, AR",35.0733333,-94.1936111
"Abco, AR",34.3488889,-92.8291667
"Aberdeen, AR",34.6033333,-91.3416667
"Accident, AR",36.2277778,-94.1013889
"Acorn, AR",34.6427778,-94.2008333
"Ada, AR",35.1069444,-92.8733333
"Adona, AR",35.0380556,-92.8977778
"Advance, AR",36.1552778,-92.3822222
"Aetna, AR",35.9297222,-90.5547222
"Agnos, AR",36.2772222,-91.6913889
"Ain, AR",34.2083333,-92.3375000
"Airport Village, AR",35.6377778,-91.1950000
"Alabam, AR",36.1525000,-93.6811111
"Alamo, AR",34.4738889,-93.4686111
"Albert, AR",34.3711111,-93.8744444
"Albion, AR",35.3425000,-91.7894444
"Alco, AR",35.8875000,-92.3669444
"Alexander, AR",34.6294444,-92.4411111
"Alf, AR",34.4897222,-93.8702778
"Alfrey, AR",34.8288889,-91.1550000
"Algoa, AR",35.5058333,-91.1166667
"Alicia, AR",35.8930556,-91.0827778
"Alix, AR",35.4247222,-93.7302778
"Allbrook, AR",33.8000000,-93.8886111
"Alleene, AR",33.7700000,-94.2602778
"Allendale, AR",34.8102778,-91.2663889
"Allis, AR",33.6277778,-91.9050000
"Allison, AR",35.9366667,-92.1172222
"Allport, AR",34.5419444,-91.7838889
"Alma, AR",35.4777778,-94.2216667
"Almond, AR",35.6958333,-91.7983333
"Almyra, AR",34.4061111,-91.4094444
"Alpena, AR",36.2947222,-93.2919444
"Alpha, AR",35.1155556,-93.2805556
"Alpine, AR",34.2288889,-93.3788889
"Alread, AR",35.6327778,-92.6797222
"Altheimer, AR",34.3191667,-91.8472222
"Alto, AR",35.5700000,-90.3311111
"Altus, AR",35.4461111,-93.7622222
"Aly, AR",34.7905556,-93.4861111
"Amagon, AR",35.5619444,-91.1102778
"Amanca, AR",35.1083333,-90.2297222
"Amboy, AR",34.8058333,-92.2913889
"Ames, AR",33.5747222,-93.2169444
"Amity, AR",34.2647222,-93.4608333
"Amos, AR",36.3658333,-92.5547222
"Amy, AR",33.7319444,-92.8152778
"Anderson, AR",34.9122222,-94.1213889
"Anderson Tully, AR",35.4852778,-90.6016667
"Andrews, AR",35.1838889,-91.5680556
"Annieville, AR",36.1550000,-91.2402778
"Anthony Subdivision, AR",35.0397222,-90.3402778
"Antioch, AR",35.9294444,-90.5769444
"Antoine, AR",34.0361111,-93.4205556
"Apalco, AR",33.3583333,-93.4600000
"Apex, AR",34.9997222,-94.4358333
"Aplin, AR",34.9738889,-92.9786111
"Apple Spur, AR",36.3561111,-94.1613889
"Appleby, AR",36.0211111,-94.2461111
"Applegate Ford, AR",36.2630556,-93.6108333
"Appleton, AR",35.4252778,-92.8741667
"Apt, AR",35.7741667,-90.6722222
"Arbaugh, AR",35.7816667,-93.5013889
"Arbor Grove, AR",36.0183333,-91.0475000
"Arcadia, AR",33.8422222,-93.4658333
"Archey Valley, AR",35.6963889,-92.7252778
"Ard, AR",35.1447222,-93.1916667
"Arden, AR",33.6894444,-94.2855556
"Arkadelphia, AR",34.1208333,-93.0536111
"Arkana, AR",36.2383333,-92.3163889
"Arkansas City, AR",33.6086111,-91.2066667
"Arkansas Post, AR",34.0236111,-91.3436111
"Arkawana, AR",36.4036111,-92.4608333
"Arkinda, AR",33.7802778,-94.4686111
"Arkmo, AR",35.9966667,-90.2475000
"Arkola, AR",35.0847222,-94.3088889
"Arlberg, AR",35.7336111,-92.3891667
"Armorel, AR",35.9200000,-89.7980556
"Armstrong, AR",36.3727778,-91.3172222
"Arnett, AR",35.8950000,-94.0394444
"Artesian, AR",33.4016667,-92.4688889
"Artex, AR",33.3875000,-93.8319444
"Arthur, AR",35.3013889,-92.6427778
"Artist Point, AR",35.7197222,-94.1372222
"Ash Flat, AR",36.2238889,-91.6083333
"Ashdown, AR",33.6741667,-94.1311111
"Asher, AR",35.9425000,-93.8502778
"Ashton, AR",33.3127778,-91.3391667
"Athelstan, AR",35.6980556,-90.1783333
"Athens, AR",34.3144444,-93.9766667
"Atkins, AR",35.2463889,-92.9363889
"Atkins Lake, AR",34.2097222,-91.8802778
"Atlanta, AR",33.1186111,-93.0525000
"Attica, AR",36.3508333,-90.9952778
"Atwood, AR",34.0983333,-94.0725000
"Aubrey, AR",34.7166667,-90.9002778
"Augsburg, AR",35.4144444,-93.2380556
"Augusta, AR",35.2822222,-91.3652778
"Aurelle, AR",33.0480556,-92.4055556
"Aurora, AR",35.9972222,-93.7025000
"Austin, AR",34.9983333,-91.9836111
"Auvergne, AR",35.5136111,-91.2305556
"Ava, AR",34.8694444,-93.2052778
"Avant, AR",34.6458333,-93.3397222
"Avery, AR",33.9297222,-91.6569444
