name,lat,lon
"A`asufou, AS",-14.3202778,-170.7638889
"Aasu, AS",-14.2975000,-170.7583333
"Afao, AS",-14.3366667,-170.7991667
"Afono, AS",-14.2641667,-170.6508333
"Afulei, AS",-14.2800000,-170.6238889
"Aganoa, AS",-14.2794444,-170.5791667
"Agugulu, AS",-14.3355556,-170.8216667
"Alao, AS",-14.2675000,-170.5636111
"Alaufau, AS",-14.1716667,-169.6788889
"Alega, AS",-14.2852778,-170.6375000
"Alofau, AS",-14.2791667,-170.6022222
"Amaluia, AS",-14.3383333,-170.7911111
"Amanave, AS",-14.3300000,-170.8294444
"Amaua, AS",-14.2769444,-170.6216667
"Amouli, AS",-14.2780556,-170.5825000
"Anasosopo, AS",-14.2886111,-170.6627778
"Anua, AS",-14.2750000,-170.6877778
"Aoa, AS",-14.2655556,-170.5838889
"Aoloau, AS",-14.3197222,-170.7700000
"Aoloaufou, AS",-14.3197222,-170.7677778
"Asili, AS",-14.3355556,-170.7955556
"Atu'u, AS",-14.2744444,-170.6847222
"Aua, AS",-14.2761111,-170.6638889
"Auasi, AS",-14.2766667,-170.5744444
"Auma, AS",-14.3408333,-170.7863889
"Aumi, AS",-14.2919444,-170.6466667
"Aunu'u, AS",-14.2886111,-170.5591667
"Autapini, AS",-14.2788889,-170.6975000
"Auto, AS",-14.2830556,-170.6269444
"Avaio, AS",-14.2852778,-170.6308333
"Avau, AS",-14.3108333,-170.6927778
"Etena, AS",-11.0552778,-171.0738889
"Faalefu, AS",-14.2669444,-170.5891667
"Faga, AS",-14.2177778,-169.4550000
"Faga'alu, AS",-14.2963889,-170.6836111
"Faga'itua, AS",-14.2719444,-170.6119444
"Fagalea, AS",-14.2891667,-170.7186111
"Fagalele, AS",-14.3466667,-170.7844444
"Fagali'i, AS",-14.3122222,-170.8247222
"Fagamalo, AS",-14.3036111,-170.8088889
"Fagamutu, AS",-14.3361111,-170.8050000
"Faganeanea, AS",-14.3061111,-170.6888889
"Fagasa, AS",-14.2908333,-170.7186111
"Fagatele, AS",-14.2933333,-170.7227778
"Fagatogo, AS",-14.2825000,-170.6900000
"Faiava, AS",-14.1663889,-169.6166667
"Failolo, AS",-14.3336111,-170.8258333
"Faleasao, AS",-14.2266667,-169.5122222
"Faleniu, AS",-14.3325000,-170.7444444
"Falili, AS",-14.3563889,-170.7800000
"Fatumafuti, AS",-14.3013889,-170.6772222
"Fitiuta, AS",-14.2222222,-169.4236111
"Fogaau, AS",-14.2819444,-170.5880556
"Fogagogo, AS",-14.3463889,-170.7211111
"Fogausa, AS",-14.2861111,-170.6036111
"Fusi, AS",-14.2788889,-170.7002778
"Futiga, AS",-14.3533333,-170.7541667
"Ili'ili, AS",-14.3516667,-170.7469444
"Itü`au, AS",-14.3477778,-170.7663889
"Lalomoana, AS",-14.1705556,-169.6216667
"Lalopua, AS",-14.2752778,-170.6952778
"Lauagae, AS",-14.2544444,-170.5686111
"Lauli'i, AS",-14.2922222,-170.6530556
"Lauliifou, AS",-14.2936111,-170.6588889
"Lauliituai, AS",-14.2916667,-170.6527778
"Leloaloa, AS",-14.2722222,-170.6780556
"Leone, AS",-14.3438889,-170.7850000
"Lepine, AS",-14.3238889,-170.7277778
"Leusoali'i, AS",-14.2261111,-169.4211111
"Luma, AS",-14.2316667,-169.5147222
"Maia, AS",-14.2194444,-169.4283333
"Malaeimi, AS",-14.3227778,-170.7338889
"Malaeloa, AS",-14.3441667,-170.7672222
"Malaeloa/Aitulagi, AS",-14.3436111,-170.7680556
"Malaeloa/Ituau, AS",-14.3472222,-170.7672222
"Malaloa, AS",-14.2808333,-170.6925000
"Maloata, AS",-14.3094444,-170.8147222
"Mapusaga, AS",-14.3300000,-170.7438889
"Mapusagafou, AS",-14.3305556,-170.7527778
"Masausi, AS",-14.2647222,-170.6041667
"Masefau, AS",-14.2591667,-170.6305556
"Matu'u, AS",-14.3036111,-170.6838889
"Mesepa, AS",-14.3313889,-170.7444444
"Nu'uuli, AS",-14.3158333,-170.6975000
"Nua, AS",-14.3330556,-170.8058333
"Ofu, AS",-14.1752778,-169.6775000
"Ogefao, AS",-14.2538889,-170.5777778
"Olosega, AS",-14.1816667,-169.6225000
