name,lat,lon
"A and F Trailer Court, AZ",33.2958333,-111.8411111
"A and F Trailer Park, AZ",33.4944444,-112.1102778
"A-1 Trailer Park, AZ",33.4486111,-112.0083333
"Abra, AZ",34.9019444,-112.4461111
"Achi, AZ",32.3444444,-112.0141667
"Adamana, AZ",34.9766667,-109.8216667
"Adamsville, AZ",33.0127778,-111.4413889
"Admiral Trailer Park, AZ",33.4508333,-111.9916667
"Adobe, AZ",33.6891667,-112.1219444
"Adobe Mountain Trailer Park, AZ",33.6861111,-112.1144444
"Agua Caliente, AZ",32.9852778,-113.3236111
"Agua Fria, AZ",33.6055556,-112.3138889
"Agua Linda, AZ",31.6788889,-111.0611111
"Aguila, AZ",33.9427778,-113.1733333
"Ahan Owuch, AZ",32.1425000,-112.3427778
"Ahwatukee, AZ",33.3416667,-111.9833333
"Aire Libre Mobile Home Park, AZ",33.6377778,-112.0172222
"Ajo, AZ",32.3716667,-112.8600000
"Ak Chin, AZ",32.2875000,-112.0083333
"Ak Chut Vaya, AZ",31.6305556,-111.8088889
"Ak Komelik, AZ",31.7177778,-112.2005556
"Ak-Chin Village, AZ",33.0283333,-112.0869444
"Alhambra, AZ",33.4983333,-112.1336111
"Ali Ak Chin, AZ",31.8580556,-112.5400000
"Ali Chuk, AZ",31.8150000,-112.5561111
"Ali Chukson, AZ",31.9136111,-111.7986111
"Ali Molina, AZ",31.9000000,-111.7736111
"Ali Oidak, AZ",32.3041667,-112.0250000
"Allah, AZ",33.9280556,-112.6900000
"Allan Lake Landing, AZ",34.8252778,-111.4358333
"Allentown, AZ",35.2919444,-109.1577778
"Allenville, AZ",33.3519444,-112.5858333
"Alma Gardens, AZ",33.4047222,-111.8538889
"Alma Meadows Mobile Home Park, AZ",33.4047222,-111.8569444
"Alpine, AZ",33.8480556,-109.1425000
"Alta Mira, AZ",33.3255556,-111.9069444
"Alto, AZ",31.6044444,-110.8775000
"Amado, AZ",31.7077778,-111.0638889
"Ambassador Downs Mobile Home Park, AZ",33.4066667,-111.7802778
"Amberwood, AZ",33.3616667,-111.8686111
"Amberwood II, AZ",33.3458333,-111.8447222
"Amberwood North, AZ",33.6597222,-112.1458333
"Ambrosia Mill, AZ",33.7997222,-113.1816667
"Amphitheater, AZ",32.2722222,-110.9716667
"Andalusia, AZ",33.5694444,-111.8694444
"Anegam, AZ",32.3727778,-112.0302778
"Angell, AZ",35.1955556,-111.3033333
"Antares, AZ",35.4197222,-113.8077778
"Apache, AZ",31.6902778,-109.1316667
"Apache Acres Trailer Park, AZ",33.4172222,-111.6013889
"Apache Flats, AZ",31.5580556,-110.3619444
"Apache Grove, AZ",32.8697222,-109.1897222
"Apache Junction, AZ",33.4150000,-111.5488889
"Apache Wells, AZ",33.4594444,-111.7102778
"Apache West Mobile Village, AZ",33.4138889,-111.8538889
"Apex, AZ",35.9430556,-112.1850000
"Apollo Mobile Home Park, AZ",33.5830556,-112.2683333
"Aponi-vi, AZ",35.8813889,-110.7133333
"Apron Crossing, AZ",34.4833333,-113.0469444
"Araby, AZ",32.6755556,-114.5213889
"Aragon Place, AZ",32.9722222,-109.3569444
"Aravaipa, AZ",32.9572222,-110.3544444
"Arcosanti, AZ",34.3430556,-112.1000000
"Aripine, AZ",34.4083333,-110.4302778
"Aristocrat Trailer Park, AZ",33.4947222,-112.0625000
"Arivaca, AZ",31.5747222,-111.3316667
"Arivaca Junction, AZ",31.7272222,-111.0605556
"Arizola, AZ",32.8511111,-111.7136111
"Arizona Acres Mobile Home Resort, AZ",33.4127778,-111.6263889
"Arizona City, AZ",32.7558333,-111.6702778
"Arizona Sun Sites, AZ",31.9166667,-109.9583333
"Arizona Village, AZ",34.8530556,-114.5836111
"Arlington, AZ",33.3255556,-112.7633333
"Arnold Place, AZ",34.4533333,-111.9175000
"Arntz, AZ",34.9358333,-110.0419444
"Arrowhead Ranch, AZ",33.6683333,-112.1916667
"Artesa, AZ",31.8994444,-111.8516667
"Artesia, AZ",32.6980556,-109.7069444
"Ash Fork, AZ",35.2250000,-112.4833333
"Asher, AZ",32.6755556,-114.0727778
"Ashurst, AZ",32.9841667,-109.9316667
"Athos, AZ",34.9500000,-114.1386111
"Audley, AZ",35.4016667,-113.0383333
"Aultman, AZ",34.6163889,-111.9136111
"Autumn Ridge, AZ",33.6530556,-112.1530556
"Avondale, AZ",33.4355556,-112.3488889
"Avra, AZ",32.3277778,-111.2175000
"Avra Valley, AZ",32.4377778,-111.3147222
"Aztec, AZ",32.8244444,-113.4491667
"Aztec Lodge, AZ",33.8450000,-110.9683333
"Babbit Winter, AZ",34.6252778,-110.8325000
"Baby Rocks, AZ",36.7752778,-110.0083333
"Bacavi, AZ",35.9236111,-110.6566667
"Bagdad, AZ",34.5811111,-113.2038889
"Bakerville, AZ",31.4227778,-109.8866667
"Baldwin Place, AZ",34.2855556,-112.4847222
"Baldwins Crossing, AZ",34.8238889,-111.8069444
"Bapchule, AZ",33.1363889,-111.8725000
"Barkerville, AZ",32.8316667,-110.9447222
"Barts Crossing, AZ",34.4722222,-110.9305556
"Basking Ridge, AZ",33.6394444,-111.9358333
"Bear, AZ",34.9425000,-112.2466667
"Bear Canyon Junction, AZ",33.5363889,-110.3936111
"Bear Flat Subdivision, AZ",34.2930556,-111.0669444
"Beardsley, AZ",33.6613889,-112.3783333
"Beaver Valley Estates Subdivision, AZ",34.3361111,-111.2961111
"Bel-Aire Trailer Park, AZ",33.4847222,-112.1144444
"Belaire Manor, AZ",33.5152778,-112.1791667
"Bell, AZ",34.2722222,-109.9141667
"Bellemont, AZ",35.2380556,-111.8327778
"Bellevue, AZ",33.3319444,-110.9427778
"Benson, AZ",31.9677778,-110.2938889
"Benson Junction, AZ",31.7391667,-110.1975000
"Bernardino, AZ",31.5105556,-109.3122222
"Berry, AZ",35.2527778,-113.9711111
"Betatakin Overlook, AZ",36.6816667,-110.5308333
"Bethany Grand Mobile Home Park, AZ",33.5261111,-112.1644444
"Bethany Villa Adult Mobile Home Park, AZ",33.5261111,-112.1633333
"Beverly Trailer Park, AZ",33.4061111,-111.8536111
"Beyerville, AZ",31.3902778,-110.8777778
"Bidahochi, AZ",35.4102778,-110.0611111
"Big Horn, AZ",32.8594444,-112.3919444
"Big Palm Trailer Park, AZ",33.4625000,-111.9791667
