name,lat,lon
"Abbott, CA",39.0205556,-121.6244444
"Aberdeen, CA",36.9780556,-118.2525000
"Abilene, CA",36.1455556,-119.0527778
"Abrams Lake Mobile Estates, CA",41.3380556,-122.3541667
"Acampo, CA",38.1747222,-121.2775000
"Accent Homes Mobile Home Park, CA",37.4300000,-122.4291667
"Acebedo, CA",35.8319444,-120.2008333
"Acolita, CA",33.0711111,-115.1838889
"Acorn, CA",34.6527778,-120.4922222
"Actis, CA",34.9586111,-118.1477778
"Acton, CA",34.4700000,-118.1958333
"Adams, CA",38.8563889,-122.7186111
"Adams Square, CA",34.1336111,-118.2402778
"Adams Station, CA",41.8427778,-123.9913889
"Adela, CA",37.7886111,-120.8622222
"Adelaida, CA",35.6455556,-120.8725000
"Adelanto, CA",34.5827778,-117.4083333
"Adin, CA",41.1938889,-120.9441667
"Adobe Corner, CA",37.4261111,-122.2652778
"Advance, CA",36.5158333,-118.9016667
"Aerial Acres, CA",35.0877778,-117.7911111
"Aetna Springs, CA",38.6536111,-122.4816667
"Afton, CA",39.4200000,-121.9652778
"Ager, CA",41.8663889,-122.4594444
"Agnew, CA",37.3947222,-121.9580556
"Agoura, CA",34.1430556,-118.7369444
"Agoura Hills, CA",34.1363889,-118.7736111
"Agra, CA",33.3333333,-117.4991667
"Agua Caliente, CA",38.3241667,-122.4869444
"Agua Dulce, CA",34.4963889,-118.3247222
"Agua Fria, CA",37.4850000,-120.0191667
"Aguanga, CA",33.4427778,-116.8641667
"Ahwahnee, CA",37.3655556,-119.7252778
"Ahwahnee Estates, CA",37.3708333,-119.7027778
"Ainsworth Corner, CA",41.9986111,-121.5586111
"Akers, CA",37.9983333,-121.2825000
"Al Tahoe, CA",38.9419444,-119.9825000
"Alabama Hill, CA",38.3550000,-120.5908333
"Alabama Hills, CA",36.5677778,-118.0888889
"Alameda, CA",37.7652778,-122.2405556
"Alamitos, CA",37.2505556,-121.8661111
"Alamo, CA",37.8502778,-122.0311111
"Alamo Oaks, CA",37.8394444,-121.9919444
"Alamorio, CA",32.9791667,-115.4605556
"Alba, CA",37.7980556,-121.0386111
"Albany, CA",37.8869444,-122.2966667
"Alberhill, CA",33.7272222,-117.3988889
"Albion, CA",39.2236111,-123.7675000
"Albrae, CA",37.4955556,-121.9883333
"Alder Creek, CA",38.6347222,-121.2005556
"Alder Springs, CA",37.0661111,-119.4011111
"Aldercroft Heights, CA",37.1608333,-121.9677778
"Alderglen Springs, CA",38.8352778,-123.0516667
"Alderpoint, CA",40.1763889,-123.6105556
"Alemandra, CA",39.1488889,-121.6869444
"Alessandro, CA",33.8861111,-117.2694444
"Alford Place, CA",40.2183333,-122.6655556
"Algerine, CA",37.9111111,-120.3822222
"Algoso, CA",35.3597222,-118.9241667
"Alhambra, CA",34.0952778,-118.1261111
"Alicia, CA",39.1027778,-121.5805556
"Alico, CA",36.5697222,-117.9622222
"Alimur Park Mobile Home Park, CA",36.9866667,-121.9605556
"Aliso, CA",33.7269444,-117.8322222
"Aliso Viejo, CA",33.6083333,-117.7444444
"Alla, CA",33.9811111,-118.4288889
"Alleghany, CA",39.4697222,-120.8422222
"Allen, CA",38.6172222,-120.1097222
"Allendale, CA",38.4447222,-121.9419444
"Allensworth, CA",35.8636111,-119.3880556
"Alliance, CA",40.8886111,-124.0866667
"Alliance Redwood, CA",38.4338889,-122.9719444
"Almanor, CA",40.2175000,-121.1730556
"Almanor West, CA",40.2363889,-121.2033333
"Almond, CA",33.8588889,-117.9838889
"Almonte, CA",37.8900000,-122.5238889
"Alondra Park, CA",33.8894444,-118.3300000
"Alpaugh, CA",35.8877778,-119.4863889
"Alphine Village, CA",38.7730556,-119.8169444
"Alpine, CA",32.8350000,-116.7655556
"Alpine Heights, CA",32.8180556,-116.7800000
"Alpine Meadows, CA",39.1786111,-120.2266667
"Alpine Village, CA",33.6061111,-116.4688889
"Alray, CA",34.3283333,-117.4819444
"Alsace, CA",33.9786111,-118.4147222
"Alta, CA",39.2066667,-120.8102778
"Alta Hill, CA",39.2300000,-121.0755556
"Alta Loma, CA",34.1222222,-117.5972222
"Alta Mesa, CA",37.3988889,-122.1336111
"Alta Sierra, CA",39.1416667,-121.0527778
"Alta Sierra Estates, CA",39.1141667,-121.0541667
"Alta Sierra Ranches, CA",39.1044444,-121.0236111
"Alta Vista, CA",37.4127778,-118.5416667
"Alta Vista Park, CA",39.2275000,-121.0655556
"Altacanyada, CA",34.2222222,-118.2111111
"Altadena, CA",34.1897222,-118.1302778
"Altamont, CA",37.7438889,-121.6616667
"Altaville, CA",38.0838889,-120.5608333
"Alten, CA",38.3813889,-122.8052778
"Alto, CA",37.9044444,-122.5244444
"Alton, CA",40.5475000,-124.1397222
"Alturas, CA",41.4872222,-120.5413889
"Alum Rock, CA",37.3661111,-121.8261111
"Alviso, CA",37.4261111,-121.9741667
"Amador City, CA",38.4194444,-120.8230556
"Amber Hills, CA",34.1422222,-117.2077778
"Ambler, CA",36.3080556,-119.2813889
"Ambler Park, CA",36.5763889,-121.7191667
"Amboy, CA",34.5577778,-115.7436111
"Ambrose, CA",41.5019444,-120.9802778
"American Canyon, CA",38.1750000,-122.2597222
"Amesti, CA",36.9636111,-121.7780556
"Amos, CA",33.1180556,-115.2550000
"Ampere, CA",38.1025000,-121.2422222
"Amsterdam, CA",37.4302778,-120.5411111
"Anaheim, CA",33.8352778,-117.9136111
"Anaheim Hills, CA",33.8444444,-117.7763889
"Anchor Bay, CA",38.8027778,-123.5766667
"Anderson, CA",40.4483333,-122.2966667
"Andersonia, CA",39.9780556,-123.8061111
"Andesite, CA",41.5325000,-122.2036111
"Andover, CA",39.3105556,-120.2461111
"Andrade Corner, CA",34.6486111,-118.3761111
"Angelino Heights, CA",34.0702778,-118.2538889
"Angels Camp, CA",38.0683333,-120.5386111
"Angelus Oaks, CA",34.1458333,-116.9816667
"Angiola, CA",35.9891667,-119.4750000
"Angwin, CA",38.5758333,-122.4488889
"Anita, CA",39.8108333,-121.9772222
"Annapolis, CA",38.7219444,-123.3686111
"Annette, CA",35.6508333,-120.1780556
"Ansel, CA",34.9050000,-118.1533333
"Antelope, CA",38.7083333,-121.3288889
"Antelope Acres, CA",34.7544444,-118.2886111
"Antelope Center, CA",34.5800000,-117.9683333
"Antelope Hills, CA",33.6055556,-117.1661111
"Antes, CA",36.3086111,-119.1297222
"Antioch, CA",38.0050000,-121.8047222
"Antlers, CA",40.8955556,-122.3700000
"Antonio, CA",34.8352778,-120.5688889
"Anza, CA",33.5550000,-116.6727778
"Apex, CA",38.7269444,-120.8222222
"Apollo, CA",35.3416667,-116.8736111
"Apple Valley, CA",34.5008333,-117.1850000
"Apple Valley Estates, CA",38.0111111,-120.3277778
"Apple Valley Highlands, CA",34.3911111,-117.2166667
"Applegate, CA",39.0008333,-120.9913889
"Aptos, CA",36.9772222,-121.8983333
"Arabian Gardens Mobile Home Park, CA",33.7305556,-116.2405556
"Arastraville, CA",37.9980556,-120.2258333
"Araz Junction, CA",32.7472222,-114.7136111
"Arbee, CA",39.2111111,-121.9947222
"Arbios, CA",36.7766667,-120.3969444
"Arboga, CA",39.0513889,-121.5547222
"Arbolada, CA",34.4497222,-119.2572222
"Arbor, CA",37.9616667,-121.7222222
"Arbuckle, CA",39.0175000,-122.0566667
"Arcade, CA",38.4758333,-121.5786111
"Arcadia, CA",34.1397222,-118.0344444
"Arcata, CA",40.8666667,-124.0816667
"Archer, CA",34.4205556,-115.3647222
"Arcilla, CA",33.7833333,-117.4786111
"Arden Town, CA",38.5741667,-121.3819444
"Arena, CA",37.3708333,-120.6752778
"Argos, CA",34.7258333,-116.2500000
"Arguello, CA",34.5783333,-120.6419444
"Argus, CA",35.7472222,-117.3944444
"Arlanza, CA",33.9427778,-117.4647222
"Arlight, CA",34.5777778,-120.6383333
"Arlington, CA",33.9202778,-117.4455556
"Arlington Station, CA",33.9141667,-117.4402778
"Arlynda Corners, CA",40.5950000,-124.2538889
"Armistead, CA",35.5477778,-117.9266667
"Armona, CA",36.3158333,-119.7075000
"Armstrong, CA",39.3283333,-120.2352778
"Arnold, CA",38.2555556,-120.3500000
"Arnold Heights, CA",33.8936111,-117.2780556
"Aromas, CA",36.8886111,-121.6419444
"Arrowbear Lake, CA",34.2108333,-117.0825000
"Arrowhead Equestrian Estates, CA",34.3577778,-117.2488889
"Arrowhead Highlands, CA",34.2300000,-117.2619444
"Arrowhead Junction, CA",34.9427778,-114.8236111
"Arrowhead Springs, CA",34.1866667,-117.2608333
"Arroyo Fairways Mobile Home Club, CA",33.7458333,-116.9111111
"Arroyo Grande, CA",35.1186111,-120.5897222
"Arroyo Mobile Home Park, CA",34.3733333,-119.3061111
"Arroyo Vista, CA",38.7233333,-121.0536111
"Arroz, CA",38.6208333,-121.9700000
"Artesia, CA",33.8658333,-118.0822222
"Artois, CA",39.6197222,-122.1927778
"Arts Trailer Court, CA",34.2236111,-119.1397222
"Arvin, CA",35.2091667,-118.8275000
"Asco, CA",37.6830556,-121.8716667
"Ash Creek Junction, CA",41.2675000,-122.0766667
"Ash Hill, CA",34.7069444,-116.0541667
"Ashford Junction, CA",35.9097222,-116.6725000
"Ashland, CA",37.6947222,-122.1127778
"Ashrama, CA",37.3072222,-121.4686111
"Aspen Springs, CA",37.5547222,-118.7122222
"Aspen Valley, CA",37.8275000,-119.7702778
"Aspendell, CA",37.2380556,-118.5975000
"Asti, CA",38.7630556,-122.9719444
"Asuncion, CA",35.5150000,-120.6783333
"Asylum, CA",39.1336111,-123.1994444
"Atascadero, CA",35.4894444,-120.6697222
"Athens, CA",33.9200000,-118.2802778
"Atherton, CA",37.4613889,-122.1966667
"Athlone, CA",37.2080556,-120.3569444
"Atlanta, CA",37.8130556,-121.1197222
"Atlas, CA",38.4291667,-122.2469444
"Atolia, CA",35.3147222,-117.6083333
"Atwater, CA",37.3477778,-120.6080556
"Atwood, CA",33.8655556,-117.8300000
"Auberry, CA",37.0808333,-119.4844444
"Auburn, CA",38.8966667,-121.0758333
"Auburn Hills Mobile Estates, CA",38.9261111,-121.0872222
"Auburn Lake Trails, CA",38.9144444,-120.9513889
"Auckland, CA",36.5880556,-119.1058333
"August, CA",37.9788889,-121.2611111
"Aukum, CA",38.5572222,-120.7255556
"Aurant, CA",34.0780556,-118.1633333
"Aurora, CA",37.6600000,-121.0016667
"Austin, CA",37.2425000,-121.9972222
"Avalon, CA",33.3427778,-118.3269444
"Avalon Village, CA",33.8127778,-118.2630556
"Avena, CA",37.8430556,-121.0652778
"Avenal, CA",36.0041667,-120.1280556
"Avery, CA",38.2044444,-120.3688889
"Avery Place, CA",40.1819444,-121.7794444
"Avila Beach, CA",35.1800000,-120.7308333
"Avila Place, CA",41.0430556,-120.8666667
"Avinsino Corner, CA",38.6936111,-120.6755556
"Avocado, CA",36.7894444,-119.4030556
"Avocado Heights, CA",34.0361111,-117.9902778
"Avon, CA",38.0327778,-122.0741667
"Azalea, CA",41.2783333,-122.3011111
"Azure Vista, CA",32.7194444,-117.2622222
"Azusa, CA",34.1336111,-117.9066667
"Baden, CA",37.6497222,-122.4330556
"Badger, CA",36.6313889,-119.0122222
"Badwater, CA",36.2297222,-116.7661111
"Bagdad, CA",34.5827778,-115.8747222
"Bahia, CA",38.0966667,-122.1019444
"Bailhache, CA",38.6036111,-122.8536111
"Bak, CA",38.4575000,-122.6702778
"Baker, CA",35.2650000,-116.0736111
"Bakersfield, CA",35.3733333,-119.0177778
"Balance Rock, CA",35.8061111,-118.6511111
"Balboa, CA",33.5869444,-117.9000000
"Balboa Island, CA",33.5944444,-117.8908333
"Balch, CA",35.0427778,-116.0266667
"Balch Camp, CA",36.9030556,-119.1222222
"Balderson Station, CA",38.9347222,-120.7530556
"Baldwin Hills, CA",34.0019500,-118.3569500
"Baldwin Lake, CA",34.2794444,-116.7963889
"Baldwin Park, CA",34.0852778,-117.9600000
"Baldy Mesa, CA",34.4591667,-117.4502778
"Bale, CA",38.5541667,-122.5094444
"Ballarat, CA",36.0477778,-117.2225000
"Ballard, CA",34.6358333,-120.1122222
"Ballena, CA",33.0652778,-116.7458333
"Ballico, CA",37.4544444,-120.7050000
"Ballou, CA",34.0491667,-117.6061111
"Baltimore Park, CA",37.9308333,-122.5313889
"Baltimore Town, CA",39.3877778,-120.5391667
"Banadelle Ranchos, CA",36.9666667,-119.8930556
"Bancroft, CA",37.9338889,-122.0461111
"Bancroft Point, CA",32.7369444,-116.9847222
"Bandini, CA",34.0066667,-118.1669444
"Banfield Place, CA",40.0866667,-122.6075000
"Bangle, CA",33.8244444,-118.2277778
"Bangor, CA",39.3886111,-121.4041667
"Bankhead Springs, CA",32.6497222,-116.2430556
"Banner, CA",33.0688889,-116.5452778
"Banner Crest, CA",39.2355556,-121.0180556
"Banning, CA",33.9255556,-116.8755556
"Bannister, CA",35.2655556,-119.0997222
"Bannock, CA",34.9366667,-114.8630556
"Banta, CA",37.7544444,-121.3697222
"Bar J Ranch, CA",38.6619444,-121.0097222
"Barber, CA",39.7147222,-121.8344444
"Barber City, CA",33.7588889,-118.0233333
"Bard, CA",32.7891667,-114.5552778
"Bardi, CA",37.7647222,-121.1641667
"Bardsdale, CA",34.3716667,-118.9319444
"Barlow, CA",38.4250000,-122.8575000
"Barnwell, CA",35.2930556,-115.2350000
"Baroda, CA",34.6866667,-120.5916667
"Barona, CA",32.9358333,-116.8672222
"Baronet Estates, CA",36.5630556,-121.7538889
"Barrett, CA",37.6400000,-120.2847222
"Barrett Junction, CA",32.6113889,-116.7063889
"Barro, CA",38.5261111,-122.4916667
"Barstow, CA",34.8986111,-117.0219444
"Barstow Heights, CA",34.8697222,-117.0552778
"Barsug, CA",34.9575000,-120.5719444
"Bartle, CA",41.2577778,-121.8200000
"Bartlett, CA",36.4766667,-118.0300000
"Bartlett Springs, CA",39.1838889,-122.7033333
"Bartolo, CA",34.0063889,-118.0613889
"Barton, CA",38.4547222,-120.5291667
"Basin, CA",35.0430556,-116.2941667
"Bass Lake, CA",37.3247222,-119.5652778
"Bass Lake Annex, CA",37.2713889,-119.5330556
"Bassett, CA",34.0497222,-117.9958333
"Bassetts, CA",39.6197222,-120.5863889
"Batavia, CA",38.4063889,-121.8586111
"Bateman Place, CA",40.6236111,-121.7375000
"Batto, CA",38.2836111,-122.4358333
"Baumberg, CA",37.6208333,-122.0991667
"Baxter, CA",39.2130556,-120.7800000
"Bay Park, CA",32.7816667,-117.2055556
"Bay Point, CA",38.0291667,-121.9605556
"Bay Shores, CA",33.6147222,-117.9100000
