name,lat,lon
"Abarr, CO",39.8505556,-102.7066667
"Abbeyville, CO",38.7775000,-106.4916667
"Abeyta, CO",37.0797222,-104.1858333
"Able, CO",38.0605556,-102.8691667
"Acequia, CO",39.5236111,-105.0275000
"Acres Green, CO",39.5566667,-104.8955556
"Adelaide, CO",38.5600000,-105.0902778
"Adena, CO",40.0083333,-103.8861111
"Adna, CO",40.3394444,-104.8277778
"Agate, CO",39.4616667,-103.9416667
"Aguilar, CO",37.4027778,-104.6527778
"Akin, CO",39.2547222,-108.2625000
"Akron, CO",40.1605556,-103.2138889
"Alamo, CO",37.6555556,-104.9580556
"Alamo Placita, CO",39.7208333,-104.9752778
"Alamosa, CO",37.4694444,-105.8694444
"Alden, CO",40.4575000,-104.5813889
"Alder, CO",38.3694444,-106.0388889
"Alice, CO",39.8183333,-105.6422222
"Allenspark, CO",40.1944444,-105.5250000
"Allison, CO",37.0244444,-107.4875000
"Alma, CO",39.2838889,-106.0622222
"Alma Junction, CO",39.2675000,-106.0447222
"Almont, CO",38.6647222,-106.8455556
"Alpine, CO",37.6891667,-106.5883333
"Alta, CO",37.8863889,-107.8522222
"Alta Vista, CO",39.0269444,-104.1119444
"Altona, CO",40.1338889,-105.2822222
"Altura, CO",39.7402778,-104.8038889
"Alvin, CO",40.3077778,-102.0752778
"American City, CO",39.8725000,-105.5866667
"Americus, CO",38.9025000,-106.1650000
"Ames, CO",37.8647222,-107.8816667
"Amherst, CO",40.6827778,-102.1655556
"Andersonville, CO",40.5938889,-105.0566667
"Andrix, CO",37.2794444,-103.1922222
"Angora, CO",40.1766667,-108.5750000
"Animas Forks, CO",37.9311111,-107.5708333
"Ansel, CO",37.7030556,-106.1019444
"Antero Junction, CO",38.9233333,-105.9647222
"Antlers, CO",39.5433333,-107.7272222
"Anton, CO",39.7416667,-103.2166667
"Antonito, CO",37.0791667,-106.0080556
"Anvil Points, CO",39.5161111,-107.9222222
"Apache City, CO",37.8583333,-104.8305556
"Appleton, CO",39.1208333,-108.6075000
"Applewood, CO",39.7472222,-105.1622222
"Ara, CO",40.0250000,-105.2497222
"Arapahoe, CO",38.8500000,-102.1816667
"Arboles, CO",37.0280556,-107.4186111
"Archer, CO",39.5333333,-105.0763889
"Argo Mill, CO",39.7427778,-105.5061111
"Arickaree, CO",39.6991667,-103.0655556
"Aristocrat Ranchettes, CO",40.1091667,-104.7619444
"Arlington, CO",38.3361111,-103.3427778
"Armel, CO",39.7972222,-102.1077778
"Aroya, CO",38.8541667,-103.1250000
"Arriba, CO",39.2861111,-103.2750000
"Arriola, CO",37.4425000,-108.6455556
"Arrowhead, CO",40.5791667,-105.0238889
"Arrowood, CO",40.1872222,-105.5102778
"Arvada, CO",39.8027778,-105.0869444
"Ashcroft, CO",39.0536111,-106.7991667
"Aspen, CO",39.1911111,-106.8169444
"Aspen Meadows, CO",39.9763889,-105.4127778
"Aspen Park, CO",39.5391667,-105.2941667
"Atchee, CO",39.5630556,-108.9122222
"Atlanta, CO",37.5036111,-102.9955556
"Atwood, CO",40.5477778,-103.2691667
"Auburn, CO",40.3680556,-104.6361111
"Ault, CO",40.5825000,-104.7313889
"Aurora, CO",39.7294444,-104.8313889
"Austin, CO",38.7811111,-107.9502778
"Avalo, CO",40.8033333,-103.6497222
"Avon, CO",39.6313889,-106.5216667
"Avondale, CO",38.2375000,-104.3505556
"Axial, CO",40.2852778,-107.7913889
"Ayer, CO",37.7580556,-103.8458333
"Badito, CO",37.7272222,-105.0136111
"Bailey, CO",39.4055556,-105.4727778
"Bakerville, CO",39.6913889,-105.8044444
"Balarat, CO",40.1591667,-105.3958333
"Baldwin, CO",38.7638889,-107.0472222
"Balfour, CO",38.9072222,-105.7238889
"Balltown, CO",39.0777778,-106.2805556
"Balzac, CO",40.4069444,-103.4708333
"Barela, CO",37.1155556,-104.2611111
"Bark Ranch, CO",40.1175000,-105.4388889
"Barnesville, CO",40.4791667,-104.4791667
"Barr Lake, CO",39.9444444,-104.7747222
"Bartlett, CO",37.4333333,-102.1436111
"Basalt, CO",39.3688889,-107.0322222
"Basin, CO",38.0658333,-108.5361111
"Battle Creek, CO",41.0013889,-107.2444444
"Battlement Mesa, CO",39.4413889,-108.0244444
"Baxter, CO",38.2758333,-104.4911111
