name,lat,lon
"Adams Morgan, DC",38.9213889,-77.0425000
"American University Park, DC",38.9513889,-77.0902778
"Anacostia, DC",38.8663889,-76.9841667
"Barnaby Terrace, DC",38.8333333,-76.9894444
"Barnaby Woods, DC",38.9747222,-77.0600000
"Barry Farms, DC",38.8563889,-76.9916667
"Bellevue, DC",38.8266667,-77.0200000
"Benning, DC",38.8950000,-76.9491667
"Benning Heights, DC",38.8816667,-76.9363889
"Bloomingdale, DC",38.9166667,-77.0116667
"Brentwood Village, DC",38.9208333,-76.9847222
"Brightwood, DC",38.9611111,-77.0277778
"Brightwood Park, DC",38.9569444,-77.0252778
"Brookland, DC",38.9327778,-76.9844444
"Buena Vista, DC",38.8569444,-76.9797222
"Burleith, DC",38.9152778,-77.0727778
"Buzzard Point, DC",38.8722222,-77.0111111
"Capitol Hill, DC",38.8888889,-77.0005556
"Capitol View, DC",38.8894444,-76.9316667
"Cathedral Heights, DC",38.9255556,-77.0777778
"Central Northeast, DC",38.8958333,-76.9416667
"Chevy Chase, DC",38.9638889,-77.0680556
"Chevy Chase Heights, DC",38.9594444,-77.0777778
"Chillum Station, DC",38.9555556,-77.0044444
"Chinatown, DC",38.9008333,-77.0230556
"Cleveland Park, DC",38.9361111,-77.0658333
"Cloisters, DC",38.9111111,-77.0666667
"Colonial Village, DC",38.9925000,-77.0402778
"Colony Hill, DC",38.9130556,-77.0875000
"Columbia Heights, DC",38.9255556,-77.0297222
"Congress Heights, DC",38.8427778,-77.0005556
"Congress Park, DC",38.8411111,-76.9911111
"Cookes Park, DC",38.9113889,-77.0605556
"Crestwood, DC",38.9416667,-77.0408333
"Deanwood, DC",38.8983333,-76.9297222
"Douglass Dwellings, DC",38.8483333,-76.9780556
"Dupont Circle, DC",38.9083333,-77.0444444
"Dupont Park, DC",38.8713889,-76.9505556
"East Central, DC",38.9000000,-77.0125000
"East End, DC",38.8958333,-77.0111111
"Eastland Gardens, DC",38.9083333,-76.9430556
"Eckington, DC",38.9125000,-77.0094444
"Edgewood, DC",38.9225000,-77.0008333
"Edgewood Terrace, DC",38.9233333,-76.9930556
"Embassy Park, DC",38.9355556,-77.0833333
"Fairfax Village, DC",38.8619444,-76.9513889
"Fairlawn, DC",38.8708333,-76.9791667
"Farragut Square, DC",38.9027778,-77.0444444
"Foggy Bottom, DC",38.9013889,-77.0625000
"Forest Hills, DC",38.9508333,-77.0583333
"Fort Davis, DC",38.8666667,-76.9463889
"Fort Dupont, DC",38.8725000,-76.9388889
"Fort Lincoln New Town, DC",38.9222222,-76.9566667
"Foxhall, DC",38.9222222,-77.0944444
"Foxhall Crescent, DC",38.9230556,-77.0925000
"Foxhall Terrace, DC",38.9138889,-77.0736111
"Foxhall Village, DC",38.9116667,-77.0847222
"Franklin McPherson Square, DC",38.9013889,-77.0333333
"Friendship Heights, DC",38.9569444,-77.0791667
"Garfield Heights, DC",38.8555556,-76.9697222
"Gateway, DC",38.9208333,-76.9638889
"Georgetown, DC",38.9047222,-77.0627778
"Giesboro, DC",38.8444444,-77.0166667
"Glover Park, DC",38.9208333,-77.0775000
"Good Hope, DC",38.8625000,-76.9641667
"Greenway, DC",38.8875000,-76.9550000
"Hampshire Knolls, DC",38.9611111,-77.0041667
"Hawthorne, DC",38.9802778,-77.0550000
"Hillcrest, DC",38.8619444,-76.9583333
"Indian Rock Terrace, DC",38.9088889,-77.0875000
"Isherwood, DC",38.8944444,-76.9791667
"Ivy City, DC",38.9111111,-76.9850000
"Judiciary Square, DC",38.8986111,-77.0166667
