name,lat,lon
"Abbotts Mill, DE",38.8863889,-75.4769444
"Adams Crossroads, DE",38.7972222,-75.7016667
"Adamsville, DE",38.8313889,-75.6894444
"Addick Estates, DE",39.8027778,-75.4500000
"Afton, DE",39.8269444,-75.4811111
"Ainsley Woods, DE",39.7625000,-75.7083333
"Airmont Acres, DE",39.5311111,-75.6744444
"Alapocas, DE",39.7708333,-75.5597222
"Alban Park, DE",39.7291667,-75.5750000
"Albertson, DE",39.7402778,-75.6277778
"Albertson Park, DE",39.7416667,-75.6277778
"Albion, DE",39.7138889,-75.6625000
"Alisa Estates, DE",39.3461111,-75.6383333
"Amaranth, DE",39.7138889,-75.7833333
"Anderson Crossroads, DE",38.8586111,-75.3702778
"Andersons Corner, DE",38.6986111,-75.2597222
"Andrews Lake Estates, DE",39.0208333,-75.5258333
"Andrewsville, DE",38.8613889,-75.6352778
"Anglesey, DE",39.7588889,-75.6163889
"Angola Acres II Mobile Home Park, DE",38.6730556,-75.1580556
"Angola Beach Mobile Home Park, DE",38.6530556,-75.1650000
"Angola Crest II Mobile Home Park, DE",38.6683333,-75.1533333
"Angola Crest Mobile Home Park, DE",38.6694444,-75.1561111
"Angola Landing, DE",38.6438889,-75.1272222
"Angola Neck Park Mobile Home Park, DE",38.6708333,-75.1511111
"Angola by the Bay, DE",38.6708333,-75.1750000
"Aniline Village, DE",39.8138889,-75.4430556
"Anne Acres, DE",38.7002778,-75.0830556
"Anneville, DE",39.1291667,-75.5194444
"Arabian Acres, DE",38.7355556,-75.2266667
"Arbor Pointe Apartments, DE",39.7113889,-75.6477778
"Arbour Park, DE",39.6541667,-75.7652778
"Arbre Park Mobile Home Park, DE",38.7100000,-75.2038889
"Arden, DE",39.8091667,-75.4869444
"Ardencroft, DE",39.8041667,-75.4916667
"Ardentown, DE",39.8083333,-75.4833333
"Argo Corners, DE",38.8713889,-75.3458333
"Argos Choice, DE",38.9500000,-75.5100000
"Armstrong, DE",39.4805556,-75.7169444
"Arundel, DE",39.7361111,-75.6680556
"Ashbourne Hills, DE",39.8097222,-75.4680556
"Ashland, DE",39.7997222,-75.6575000
"Ashley, DE",39.7291667,-75.5833333
"Ashley Heights, DE",39.7252778,-75.5794444
"Aspen Meadows, DE",38.7347222,-75.1308333
"Atlanta, DE",38.7086111,-75.6783333
"Atlanta Estates, DE",38.6638889,-75.6333333
"Auburn, DE",39.8083333,-75.6888889
"Auburn Hills, DE",39.8041667,-75.6930556
"Augustine, DE",39.7638889,-75.5541667
"Augustine Hills, DE",39.7636111,-75.5508333
"Avalon, DE",39.7305556,-75.6222222
"Avalon Park Mobile Home Park, DE",38.6577778,-75.2666667
"Bacons, DE",38.5083333,-75.5700000
"Baileys Landing, DE",38.5722222,-75.6438889
"Bald Eagle Village, DE",38.7058333,-75.0988889
"Bank Harbor Retreat, DE",38.5588889,-75.0986111
"Banks Acres, DE",38.5569444,-75.1113889
"Banks Development, DE",38.5533333,-75.1138889
"Banks Harbor Estates, DE",38.5577778,-75.0972222
"Banksville Park, DE",38.5555556,-75.1186111
"Barkers Landing, DE",39.0850000,-75.4575000
"Barkley, DE",39.8319444,-75.5188889
"Barley Woods, DE",39.7727778,-75.6133333
"Basin Corner, DE",39.6805556,-75.5902778
"Bay City Mobile Home Park, DE",38.6316667,-75.1330556
"Bay Colony, DE",38.5861111,-75.1444444
"Bay Harbor, DE",38.7052778,-75.0986111
"Bay Shore Hills, DE",38.6950000,-75.1450000
"Bay Shore Mobile Home Park, DE",38.5761111,-75.0844444
"Bay View Estates, DE",38.4561111,-75.1300000
"Bay View Heights, DE",39.0547222,-75.4019444
"Bay View Park, DE",38.5075000,-75.0597222
"Bay Vista, DE",38.6972222,-75.0980556
"Bayard, DE",38.5002778,-75.1319444
"Bayberry Dunes, DE",38.5713889,-75.0605556
"Bayside Hamlet, DE",38.5811111,-75.0769444
"Bayview Manor, DE",39.6388889,-75.6125000
"Bayville, DE",38.4683333,-75.0891667
"Beachfield, DE",38.7250000,-75.1222222
"Beachwood, DE",38.4958333,-75.1580556
"Beacon Hill, DE",39.8244444,-75.5072222
"Beades Estate, DE",39.1141667,-75.5300000
"Bear, DE",39.6291667,-75.6586111
"Beaver Brook Apartments, DE",39.6402778,-75.6230556
"Beaver Dam Acres, DE",38.6872222,-75.2100000
"Beaver Valley, DE",39.8391667,-75.5644444
"Becks Landing, DE",39.6236111,-75.6988889
"Beech Haven, DE",39.1958333,-75.5958333
"Beech Hill, DE",39.7502778,-75.7277778
"Beechers Lot, DE",39.6438889,-75.7041667
"Beechwold, DE",39.7813889,-75.5300000
"Belford Manor, DE",39.7333333,-75.6522222
"Bella Vista, DE",39.7652778,-75.6819444
"Bellefonte, DE",39.7661111,-75.5097222
"Bellevue, DE",39.7708333,-75.4838889
"Bellewood, DE",39.7916667,-75.5300000
"Belltown, DE",38.7469444,-75.1783333
"Belltown Woods, DE",39.6111111,-75.7233333
"Belmoor, DE",39.7250000,-75.5930556
"Belvidere, DE",39.7219444,-75.6158333
"Ben Robins Landing, DE",38.6580556,-75.1569444
"Bennum, DE",38.7111111,-75.3144444
"Benton, DE",39.8111111,-75.5188889
"Berkeley Farms, DE",39.7555556,-75.7388889
"Berkeley Ridge, DE",39.7819444,-75.6805556
"Berrytown, DE",39.0125000,-75.5944444
"Bestfield, DE",39.7194444,-75.6083333
"Bethany Beach, DE",38.5394444,-75.0555556
"Bethany Dunes, DE",38.5630556,-75.0586111
"Bethany Village, DE",38.5597222,-75.0591667
"Bethel, DE",38.5705556,-75.6197222
"Bethesda, DE",39.1375000,-75.6930556
"Beverly Woods, DE",39.8200000,-75.4800000
"Bicentennial Village, DE",39.1652778,-75.5541667
"Biddles Corner, DE",39.5250000,-75.6494444
"Big Oak Corners, DE",39.2694444,-75.5888889
"Big Pine, DE",38.8505556,-75.6947222
"Birch Knoll, DE",39.8325000,-75.5044444
"Birch Pointe, DE",39.7069444,-75.7000000
"Birchwood Park, DE",39.6763889,-75.6902778
"Birds Corner, DE",39.5633333,-75.6405556
"Bishops Corner, DE",39.2236111,-75.5761111
"Black Hog Landing, DE",38.7738889,-75.1908333
"Blackbird, DE",39.3708333,-75.6594444
"Blackbird Landing, DE",39.3888889,-75.6361111
"Blackiston, DE",39.2705556,-75.7008333
"Blackwater, DE",38.5458333,-75.1625000
"Blackwater Beach, DE",38.5800000,-75.1580556
"Blackwater Cove, DE",38.5575000,-75.1358333
"Blackwater Village, DE",38.5558333,-75.1597222
"Blades, DE",38.6355556,-75.6102778
"Blanchard, DE",38.8205556,-75.6525000
"Blue Ball, DE",39.7772222,-75.5450000
"Blue Rock Manor, DE",39.7958333,-75.5430556
"Bookhammer Landing, DE",38.6777778,-75.1363889
"Bossard Property, DE",38.6516667,-75.6330556
"Bottom Hills, DE",38.6172222,-75.0713889
"Boulder Brook, DE",39.7961111,-75.5227778
"Bowen Landing, DE",38.9202778,-75.4094444
"Bowers Beach, DE",39.0597222,-75.4016667
"Boxwood, DE",39.7263889,-75.5972222
"Boyds Corner, DE",39.5000000,-75.6494444
"Boyers Village, DE",38.5436111,-75.1550000
"Brackenville, DE",39.7805556,-75.6833333
"Brackenville Woods, DE",39.7902778,-75.6616667
"Branchview, DE",38.6397222,-75.6700000
"Brandon, DE",39.8258333,-75.5244444
"Brandywine, DE",39.8294444,-75.5347222
"Brandywine Estates, DE",39.7888889,-75.4833333
"Brandywine Forge, DE",39.8333333,-75.5222222
"Brandywine Hills, DE",39.7680556,-75.5250000
"Brandywine Springs, DE",39.7444444,-75.6444444
"Brandywine Springs Manor, DE",39.7486111,-75.6375000
"Brandywood, DE",39.8208333,-75.5083333
"Breezewood, DE",39.0527778,-75.5536111
"Breezewood II, DE",39.6600000,-75.7055556
"Brenford, DE",39.2563889,-75.6111111
"Briar Hook, DE",38.6825000,-75.6602778
"Briar Park, DE",39.1061111,-75.5444444
"Briarwood Manor, DE",38.7205556,-75.3008333
"Brick Store, DE",39.3219444,-75.5730556
"Bridgeville, DE",38.7425000,-75.6047222
"Bridgeville Manor, DE",38.7333333,-75.5958333
"Bridgeville North, DE",38.7541667,-75.5963889
"Bridleshire Farms, DE",39.7638889,-75.7305556
"Bristle Knoll, DE",39.7166667,-75.7819444
"Broad Acres, DE",38.6397222,-75.5761111
"Broad Creek, DE",38.5855556,-75.5841667
"Broad Creek Estates, DE",38.5619444,-75.6175000
"Broadkill Beach, DE",38.8280556,-75.2122222
"Brookdale Heights, DE",39.0838889,-75.4927778
"Brookfield, DE",39.0961111,-75.5388889
"Brookhaven, DE",39.6966667,-75.6913889
"Brookhaven Estates, DE",39.0569444,-75.5002778
"Brookhill Farms, DE",39.7758333,-75.6861111
"Brookland Terrace, DE",39.7433333,-75.6238889
"Brookmeade, DE",39.7541667,-75.6291667
"Brookmont Farms, DE",39.6277778,-75.6925000
"Brookside, DE",39.6669444,-75.7272222
"Brown Street, DE",38.9141667,-75.4069444
"Browns Corner, DE",39.0911111,-75.5191667
"Brownsville, DE",38.9136111,-75.6800000
"Bryan Park, DE",38.6897222,-75.5875000
"Bryans Store, DE",38.5925000,-75.4097222
"Buck Hill Landing, DE",38.5597222,-75.2222222
"Buckingham Heights, DE",39.8063889,-75.4972222
"Bullseye, DE",38.5916667,-75.2236111
"Bunting, DE",38.4633333,-75.1544444
"Burton Acres, DE",38.5763889,-75.2627778
"Burwood, DE",39.0927778,-75.5622222
"Burwood Farms, DE",39.0927778,-75.5622222
"Bush Manor, DE",39.2077778,-75.5636111
"Buttonwood, DE",39.6833333,-75.5569444
"Byewood Manor, DE",38.5602778,-75.1200000
"Calhoun Landing, DE",38.5925000,-75.1208333
"Camden, DE",39.1133333,-75.5422222
"Camelot Mobile Home Park, DE",38.7200000,-75.1197222
"Cameron Hills, DE",39.7930556,-75.6944444
"Canby Park Estates, DE",39.7388889,-75.5819444
"Candlewicke, DE",39.1208333,-75.5202778
"Cannon, DE",38.6994444,-75.6152778
"Cantebury Apartments, DE",38.7427778,-75.5927778
"Cantebury, DE",39.6452778,-75.6297222
"Canterbury, DE",39.0425000,-75.5558333
"Canterbury Hills, DE",39.7625000,-75.6541667
"Cape Windsor Mobile Home Park, DE",38.4536111,-75.0736111
"Capes Cove Mobile Home Park, DE",38.7641667,-75.1694444
"Capital Trail Farms, DE",39.7291667,-75.6458333
"Capitol Green, DE",39.1550000,-75.5172222
"Capitol Park, DE",39.1413889,-75.5044444
"Captains Grant Mobile Home Park, DE",38.6027778,-75.1847222
"Caravel Farms, DE",39.5958333,-75.7208333
"Cardiff, DE",39.8133333,-75.5383333
"Careys Estate Mobile Home Park, DE",38.5533333,-75.3683333
"Carlisle Village, DE",39.1875000,-75.5791667
"Carousel Knoll, DE",39.7291667,-75.6750000
"Carpenter, DE",39.8183333,-75.4647222
"Carpenters Corner, DE",38.7425000,-75.1505556
"Carrcroft, DE",39.7875000,-75.5063889
"Carrcroft Crest, DE",39.7916667,-75.5041667
"Carriage Lane, DE",39.1094444,-75.5230556
"Carsylian Acres, DE",38.7513889,-75.2305556
"Carter Development, DE",39.1197222,-75.5302778
"Casson Corner, DE",39.1605556,-75.6086111
"Castle Apartments, DE",39.6722222,-75.5877778
"Castle Hills, DE",39.6863889,-75.5650000
"Catalina Gardens, DE",39.6513889,-75.7458333
"Cavaliers Country Club Apartments, DE",39.6844444,-75.6466667
"Cave Colony, DE",38.7638889,-75.2902778
"Cedar Brae Farm, DE",39.3647222,-75.6825000
"Cedar Farms, DE",39.6327778,-75.7083333
"Cedar Heights, DE",39.7208333,-75.6166667
"Cedar Shores, DE",38.5747222,-75.0938889
"Cedarbrook Acres, DE",39.2791667,-75.6097222
"Cedars, DE",39.7416667,-75.6375000
"Cedars Knoll, DE",39.7444444,-75.6355556
"Cedarville Mobile Home Park, DE",38.5813889,-75.0863889
"Centennial Village, DE",39.6397222,-75.6597222
"Centerville, DE",39.8213889,-75.6169444
"Chalfonte, DE",39.8188889,-75.5330556
"Chambersville, DE",39.3636111,-75.5791667
"Champlin Village, DE",39.7286111,-75.5936111
"Channin, DE",39.8311111,-75.5097222
"Chapel Hill, DE",39.7013889,-75.7313889
"Chapeltown, DE",39.0997222,-75.6972222
"Chaplecroft, DE",39.1208333,-75.5388889
"Charter Oaks, DE",39.7833333,-75.6875000
"Chatham, DE",39.8041667,-75.5166667
"Chelsea Estates, DE",39.6911111,-75.5938889
"Cherokee Woods, DE",39.6750000,-75.7097222
"Cherry Hill, DE",39.6819444,-75.7730556
"Cherrytree Landing, DE",38.6430556,-75.5913889
"Chestnut Grove, DE",39.1694444,-75.5719444
"Chestnut Hill Estates, DE",39.6791667,-75.7069444
"Chestnut Knoll, DE",38.9575000,-75.4527778
"Cheswold, DE",39.2191667,-75.5861111
"Choate, DE",39.7022222,-75.6958333
"Choptank Mills, DE",39.0669444,-75.7355556
"Christiana, DE",39.6650000,-75.6602778
"Christiana Acres, DE",39.6888889,-75.6194444
"Christiana Green, DE",39.6541667,-75.6797222
"Christiana Landing, DE",39.6500000,-75.6580556
"Christiana Village, DE",39.6652778,-75.6647222
"Christina Manor, DE",39.6791667,-75.7875000
"Church Hill, DE",39.7722222,-75.6736111
"Church Hill Village, DE",38.9344444,-75.4761111
"Circle Haven Mobile Home Park, DE",38.9361111,-75.5611111
"Claridge Court, DE",39.6483333,-75.6213889
"Clarksons Crossroads, DE",38.7144444,-75.6527778
"Clarksville, DE",38.5488889,-75.1480556
"Clay Acres, DE",39.5930556,-75.7125000
"Claymont, DE",39.8005556,-75.4600000
"Claymont Addition, DE",39.7986111,-75.4708333
"Claymont Heights, DE",39.7958333,-75.4708333
"Clayton, DE",39.2905556,-75.6347222
"Clearfield, DE",39.7319444,-75.5944444
"Clearview Manor, DE",39.7055556,-75.5680556
"Cleland Heights, DE",39.7347222,-75.5750000
"Clermont, DE",39.7888889,-75.5275000
"Clifton Park Manor, DE",39.7583333,-75.5125000
"Club House Landing, DE",38.5625000,-75.0911111
"Coach Hill, DE",39.7116667,-75.7055556
"Cocked Hat, DE",38.7666667,-75.6111111
"Coffee Run, DE",39.7513889,-75.6583333
"Cokesbury Village, DE",39.7750000,-75.6583333
"College Park, DE",39.6736111,-75.7694444
"Collins Beach, DE",39.3852778,-75.5222222
"Collins Creek Estates, DE",38.5611111,-75.1213889
"Collins Mill Park, DE",38.7091667,-75.5241667
"Collins Park, DE",39.6861111,-75.5566667
"Collins Park Mobile Home Park, DE",38.5550000,-75.0866667
"Collins Pond Acres, DE",38.7105556,-75.5138889
"Collins and Russell Development, DE",38.7875000,-75.3233333
"Colmar Manor, DE",39.2833333,-75.6097222
"Colonial Acres, DE",38.6066667,-75.5619444
"Colonial East Mobile Home Park, DE",38.7352778,-75.1369444
"Colonial Heights, DE",39.7472222,-75.5847222
"Colonial Village Apartments, DE",39.6847222,-75.5688889
"Colony Hills, DE",39.7111111,-75.6097222
"Columbia, DE",38.4977778,-75.6780556
"Concord, DE",39.7641667,-75.5430556
"Concord Heights, DE",38.6530556,-75.5413889
"Concord Hills, DE",39.8338889,-75.5458333
"Concord Manor, DE",39.8055556,-75.5416667
"Concord Towers, DE",39.6741667,-75.6800000
"Conley Chapel Village Mobile Home Park, DE",38.6913889,-75.1986111
"Cool Spring, DE",38.7319444,-75.2486111
"Cool Spring Farms, DE",38.7258333,-75.2527778
"Cool Spring Farms Mobile Home Park, DE",38.7250000,-75.2477778
"Cool Spring Manor, DE",38.7197222,-75.2563889
"Cooper Farm, DE",39.7402778,-75.6416667
"Coopers Corner, DE",39.1388889,-75.5222222
"Corbit, DE",39.5880556,-75.6597222
"Corner Ketch, DE",39.7491667,-75.7413889
"Cornish Hills, DE",39.7708333,-75.7083333
"Cottage Mill, DE",39.6533333,-75.7550000
"Country Club Estates, DE",38.9022222,-75.4097222
"Country Estates, DE",38.5388889,-75.1027778
"Country Living Mobile Home Park, DE",38.5863889,-75.3452778
"Country Village, DE",38.7163889,-75.1500000
"Countryside Farms, DE",39.5886111,-75.7169444
"County Seat Gardens Mobile Home Park, DE",38.7166667,-75.3894444
"Coventry, DE",39.6722222,-75.6361111
"Coverdale Crossroads, DE",38.7102778,-75.5313889
"Covered Bridge Farms, DE",39.7000000,-75.7833333
"Covey Creek, DE",38.7563889,-75.1583333
"Cowgills Corner, DE",39.1958333,-75.4805556
"Cozy Cove Mobile Home Park, DE",38.6263889,-75.1263889
"Craigs Mill, DE",38.6266667,-75.6483333
"Cranston Heights, DE",39.7333333,-75.6308333
"Crestfield, DE",39.8208333,-75.4975000
"Cricket Hill, DE",39.7888889,-75.7152778
"Cripple Creek, DE",38.7669444,-75.2400000
"Cristine Manor, DE",39.6888889,-75.7833333
"Cross Keys, DE",38.5658333,-75.3683333
"Crossgates, DE",39.1388889,-75.5361111
"Crystal Run Farm, DE",39.5150000,-75.7002778
"Cuelen Acres, DE",38.5252778,-75.2188889
"D and K Mobile Home Park, DE",38.9708333,-75.5269444
"Dagsboro, DE",38.5491667,-75.2461111
"Danfield Acres, DE",38.6763889,-75.2413889
"Daniels Tract, DE",39.3833333,-75.5347222
"Darley Woods, DE",39.8166667,-75.4736111
