name,lat,lon
"Abe Springs, FL",30.3655556,-85.1475000
"Aberdeen, FL",26.5502778,-80.1488889
"Achan, FL",27.8591667,-81.9686111
"Acline, FL",26.8847222,-82.0152778
"Adam, FL",29.4911111,-82.5063889
"Adams, FL",30.4650000,-83.0461111
"Adamsville, FL",27.8144444,-82.3841667
"Adventura, FL",25.9650000,-80.1430556
"Agricola, FL",27.7875000,-81.8916667
"Alachua, FL",29.7513889,-82.4250000
"Aladdin City, FL",25.5702778,-80.4544444
"Alamana, FL",28.9427778,-81.1027778
"Alameda, FL",25.7630556,-80.2977778
"Alcoma, FL",27.8947222,-81.4825000
"Alderene Park, FL",28.8111111,-81.3658333
"Alderman, FL",28.4902778,-82.1652778
"Aldermans Ford, FL",27.8622222,-82.1458333
"Alexander Springs, FL",29.0800000,-81.5783333
"Alford, FL",30.6936111,-85.3922222
"Allandale, FL",29.1213889,-80.9766667
"Allanton, FL",30.0313889,-85.4577778
"Allapattah, FL",25.8141667,-80.2241667
"Allenhurst, FL",28.7361111,-80.7558333
"Allentown, FL",30.7625000,-87.0422222
"Alliance, FL",30.6097222,-85.1136111
"Alma, FL",30.6108333,-83.9063889
"Aloma, FL",28.6005556,-81.3066667
"Alpine, FL",27.6319444,-81.4763889
"Alpine Heights, FL",30.7447222,-86.2100000
"Altamonte Springs, FL",28.6608333,-81.3658333
"Altha, FL",30.5702778,-85.1272222
"Alton, FL",30.0527778,-83.1380556
"Altoona, FL",28.9655556,-81.6488889
"Alturas, FL",27.8713889,-81.7152778
"Alva, FL",26.7152778,-81.6102778
"Amelia City, FL",30.5900000,-81.4575000
"American Beach, FL",30.5747222,-81.4441667
"Anastasia, FL",29.8875000,-81.2897222
"Anclote, FL",28.1758333,-82.7808333
"Andalusia, FL",29.4997222,-81.4850000
"Andover, FL",25.9680556,-80.2130556
"Andover Golf Estates, FL",25.9638889,-80.2086111
"Andover Lakes Estates, FL",25.9658333,-80.2022222
"Andrew, FL",30.3997222,-84.4102778
"Andrews, FL",29.5400000,-82.8388889
"Andytown, FL",26.1455556,-80.4419444
"Angel City, FL",28.3441667,-80.6608333
"Anglers Park, FL",25.1397222,-80.3975000
"Anglevillas, FL",27.4600000,-80.3722222
"Ankona, FL",27.3402778,-80.2752778
"Anna Maria, FL",27.5308333,-82.7336111
"Anona, FL",27.8950000,-82.8308333
"Anthony, FL",29.2891667,-82.1119444
"Antioch, FL",28.0466667,-82.2491667
"Apalachicola, FL",29.7255556,-84.9833333
"Apollo Beach, FL",27.7727778,-82.4077778
"Apopka, FL",28.6802778,-81.5097222
"Aqui Esta, FL",26.9061111,-82.0472222
"Araquey, FL",29.9461111,-81.3375000
"Arcadia, FL",27.2155556,-81.8586111
"Archbold, FL",27.1811111,-81.3522222
"Archer, FL",29.5297222,-82.5191667
"Ards Crossroads, FL",30.9591667,-85.6933333
"Argyle, FL",30.7194444,-86.0444444
"Argyle Forest, FL",30.1936111,-81.7550000
"Ariel, FL",28.9002778,-80.8638889
"Aripeka, FL",28.4319444,-82.6644444
"Arlington, FL",28.8691667,-82.3602778
"Arlington Park, FL",26.3066667,-80.1072222
"Armstrong, FL",29.7619444,-81.4480556
"Arno, FL",29.7716667,-82.5555556
"Arran, FL",30.1902778,-84.4161111
"Arrant Settlement, FL",30.8591667,-85.9741667
"Arredondo, FL",29.6047222,-82.4094444
"Arredondo Estates, FL",29.6047222,-82.4163889
"Arundel, FL",27.0877778,-80.2986111
"Asbury Lake, FL",30.0488889,-81.8216667
"Ashmore, FL",30.0852778,-84.4702778
"Ashton, FL",28.2461111,-81.2441667
"Ashville, FL",30.6163889,-83.6466667
"Astatula, FL",28.7094444,-81.7330556
"Astor, FL",29.1622222,-81.5255556
"Astor Farms, FL",28.8291667,-81.3633333
"Astor Park, FL",29.1533333,-81.5722222
"Athena, FL",29.9877778,-83.4944444
"Atlantic Beach, FL",30.3341667,-81.3988889
"Atlantic Heights, FL",25.8550000,-80.1208333
"Atlantis, FL",26.5905556,-80.1011111
"Auburn, FL",30.8200000,-86.5377778
"Auburndale, FL",28.0650000,-81.7888889
"Aucilla, FL",30.4797222,-83.7544444
"Audubon, FL",28.4369444,-80.6600000
"Aurantia, FL",28.7277778,-80.8877778
"Aurora, FL",28.1355556,-80.6850000
"Avalon Beach, FL",30.5300000,-87.1016667
"Aventura, FL",25.9561111,-80.1394444
"Avoca, FL",30.5777778,-83.0269444
"Avon Park, FL",27.5955556,-81.5063889
"Avon Park Lakes, FL",27.6280556,-81.5486111
"Avondale, FL",30.3041667,-81.7113889
"Ayers, FL",28.4630556,-82.4438889
"Azalea Park, FL",28.5408333,-81.3008333
"Azalea Terrace, FL",30.2869444,-81.5611111
"Babson Park, FL",27.8316667,-81.5225000
"Bagdad, FL",30.5986111,-87.0311111
"Bahama Beach, FL",30.1972222,-85.8425000
"Bahia Oaks, FL",29.1263889,-82.2166667
"Bahia Shores, FL",27.7355556,-82.7388889
"Bahia Subdivision, FL",28.7772222,-81.3633333
"Bahoma, FL",30.8144444,-85.5080556
"Bailey, FL",30.5680556,-83.5919444
"Bailey Hall, FL",27.2830556,-82.5630556
"Baird, FL",27.6872222,-81.9561111
"Bairs Den, FL",27.2080556,-81.3286111
"Baker, FL",30.7969444,-86.6813889
"Baker Settlement, FL",30.8669444,-85.9050000
"Bakers Mill, FL",30.5794444,-82.9394444
"Bakerstown, FL",29.3477778,-81.4916667
"Bakersville, FL",29.9058333,-81.4913889
"Bal Harbour, FL",25.8913889,-80.1272222
"Baldwin, FL",30.3025000,-81.9755556
"Ballard Pines, FL",27.9155556,-80.4786111
"Ballentine Manor, FL",27.4011111,-82.5655556
"Balm, FL",27.7591667,-82.2613889
"Bamboo, FL",28.8225000,-81.9658333
"Barber Quarters, FL",27.2522222,-80.8394444
"Barberville, FL",29.1869444,-81.4211111
"Barcola, FL",27.8341667,-81.8827778
"Bardin, FL",29.7141667,-81.7250000
"Barker Store, FL",30.9141667,-85.9161111
"Barrineau Park, FL",30.6936111,-87.4361111
"Barth, FL",30.7613889,-87.3302778
"Bartow, FL",27.8961111,-81.8433333
"Barwal, FL",26.3086111,-80.0900000
"Bascom, FL",30.9277778,-85.1186111
"Basinger, FL",27.4000000,-81.0166667
"Baskin, FL",27.8966667,-82.7952778
"Bass, FL",30.1083333,-82.6961111
"Bass Haven, FL",29.9269444,-81.5850000
"Bassville Park, FL",28.8402778,-81.7688889
"Basswood Estates, FL",27.2777778,-80.8575000
"Battle Ground Forks, FL",30.5044444,-85.9497222
"Baum, FL",30.5138889,-84.0802778
"Baxter, FL",30.5133333,-82.2338889
"Bay City, FL",29.7563889,-85.0205556
"Bay Harbor, FL",30.1469444,-85.6147222
"Bay Harbor Islands, FL",25.8872222,-80.1313889
"Bay Heights, FL",25.7455556,-80.2219444
"Bay Hill, FL",28.4677778,-81.5163889
"Bay Lake, FL",28.4772222,-81.9061111
"Bay Pines, FL",27.8138889,-82.7783333
"Bay Point, FL",24.6263889,-81.5925000
"Bay Ridge, FL",28.7563889,-81.5600000
"Bay Springs, FL",30.7733333,-87.4791667
"Bay View, FL",30.4594444,-86.1772222
"Bayard, FL",30.1433333,-81.5130556
"Bayhead, FL",30.3072222,-85.5819444
"Bayonet Point, FL",28.3263889,-82.6836111
"Bayou Crossing, FL",30.7641667,-85.9002778
"Bayou George, FL",30.2625000,-85.5400000
"Bayport, FL",28.5455556,-82.6422222
"Bayshore, FL",26.7150000,-81.8236111
"Bayshore Gardens, FL",27.4250000,-82.5905556
"Bayshore Manor, FL",26.6766667,-81.8647222
"Bayview, FL",30.1925000,-85.7127778
"Bayway, FL",27.7125000,-82.6972222
"Baywood, FL",29.7188889,-81.8163889
"Beach Haven, FL",30.3847222,-87.3077778
"Beach Highlands, FL",30.3527778,-86.2494444
"Beachville, FL",29.9977778,-82.8613889
"Beacon Beach, FL",30.0963889,-85.6475000
"Beacon Hill, FL",29.9227778,-85.3858333
"Beacon Hills, FL",30.3822222,-81.5075000
"Beacon Lakes, FL",28.2111111,-82.7458333
"Beacon Square, FL",28.2083333,-82.7555556
"Bealsville, FL",27.9452778,-82.0797222
"Bean City, FL",26.6816667,-80.7619444
"Bear Hollow, FL",27.2083333,-81.2880556
"Beattys Corner, FL",27.9666667,-82.1708333
"Beauclerc, FL",30.2000000,-81.6333333
"Beauclerc Gardens, FL",30.1988889,-81.6322222
"Beaver Creek, FL",30.8800000,-86.7786111
"Beck Hammock, FL",28.7866667,-81.2186111
"Becker, FL",30.6711111,-81.6413889
"Beckhamtown, FL",29.6558333,-82.0772222
"Bee Ridge, FL",27.2836111,-82.4808333
"Beechwood, FL",30.2916667,-81.5169444
"Beeghly Heights, FL",30.4905556,-81.6741667
"Beetree Ford, FL",29.2302778,-82.6488889
"Bel Marra, FL",26.4058333,-80.0722222
"Bel-Air, FL",28.7947222,-81.2547222
"Belair, FL",30.3800000,-84.2683333
"Belandville, FL",30.9816667,-86.8488889
"Bell, FL",29.7552778,-82.8627778
"Bellair, FL",30.1741667,-81.7408333
"Belle Glade, FL",26.6841667,-80.6677778
"Belle Glade Camp, FL",26.6572222,-80.6830556
"Belle Isle, FL",28.4580556,-81.3594444
"Belle Meade, FL",26.0494444,-81.6997222
"Belleair, FL",27.9355556,-82.8063889
"Belleair Beach, FL",27.9227778,-82.8433333
"Belleair Bluffs, FL",27.9211111,-82.8172222
"Belleair Shores, FL",27.9163889,-82.8455556
"Belleview, FL",29.0550000,-82.0625000
"Belleview Heights, FL",29.0202778,-82.0700000
"Bells Mill, FL",30.6619444,-85.5747222
"Bellview, FL",30.4613889,-87.3150000
"Bellville, FL",30.5961111,-83.2575000
"Bellwood, FL",28.5047222,-80.7847222
"Bellwood Estates, FL",30.5038889,-84.3283333
"Belmont, FL",30.4980556,-82.7508333
"Belmore, FL",29.8863889,-81.8988889
"Belspur, FL",27.3416667,-82.4533333
"Benbow, FL",26.8147222,-81.0463889
"Bennett, FL",30.3916667,-85.5322222
"Benson Junction, FL",28.8650000,-81.3297222
"Benton, FL",30.4863889,-82.6608333
"Bentwood Grove, FL",28.7569444,-81.2719444
"Bereah, FL",27.6608333,-81.6258333
"Beresford, FL",29.0022222,-81.3475000
"Berkeley, FL",28.5025000,-82.5888889
"Bermont, FL",26.9452778,-81.7608333
"Berry, FL",28.3186111,-81.8622222
"Berrydale, FL",30.8991667,-87.0138889
"Bertha, FL",28.6183333,-81.2663889
"Bessemer, FL",27.0072222,-80.6013889
"Bessent, FL",30.2211111,-82.1147222
"Bethany, FL",27.4738889,-82.2644444
"Bethel, FL",30.2519444,-84.3241667
"Bethlehem, FL",30.9244444,-85.7391667
"Bethune Beach, FL",28.9488889,-80.8380556
"Betts, FL",30.5375000,-85.3933333
"Beulah, FL",30.5341667,-87.4016667
"Bevell Place, FL",28.4797222,-82.0433333
"Bevens, FL",28.9663889,-82.4011111
"Beverley Beach, FL",25.9947222,-80.1186111
"Beverley Terrace, FL",27.3688889,-82.5072222
"Beverly, FL",29.8527778,-84.9686111
"Beverly Beach, FL",29.5144444,-81.1447222
"Beverly Hills, FL",28.9166667,-82.4583333
"Beville Heights, FL",29.6563889,-82.3997222
"Bevilles Corner, FL",28.6494444,-82.0547222
"Bid-A-Wee, FL",30.2025000,-85.8500000
"Big Blackjack Landing, FL",29.9163889,-84.5836111
"Big Coppitt Key, FL",24.5961111,-81.6602778
"Big Hammock, FL",30.4663889,-86.3680556
"Big Pine, FL",24.6722222,-81.3494444
"Big Pine Key, FL",24.6694444,-81.3541667
"Big Scrub, FL",29.0113889,-81.8013889
"Biggar, FL",26.5202778,-81.8911111
"Biltmore, FL",30.3608333,-81.7294444
"Biltmore Beach, FL",30.1436111,-85.7580556
"Bimini, FL",29.4822222,-81.3558333
"Birch Ocean Front, FL",26.1308333,-80.1063889
"Biscayne Gardens, FL",25.9130556,-80.2105556
"Biscayne Park, FL",25.8822222,-80.1808333
"Biscayne Village, FL",30.4361111,-81.7188889
"Bithlo, FL",28.5544444,-81.1066667
"Black Creek, FL",30.5080556,-84.0883333
"Black Diamond, FL",28.9122222,-82.4861111
"Black Hammock, FL",30.5222222,-81.4808333
"Black Point, FL",29.4469444,-81.3052778
"Blackman, FL",30.9244444,-86.6366667
"Blacks Ford, FL",30.0469444,-81.5605556
"Blacks Still, FL",30.4666667,-82.8022222
"Blake, FL",29.1705556,-81.0388889
"Bland, FL",29.9019444,-82.4991667
"Blanton, FL",28.4113889,-82.2466667
"Blitchton, FL",29.2822222,-82.3369444
"Blitchville, FL",29.6447222,-82.8825000
"Blocker, FL",30.5872222,-84.2736111
"Bloomingdale, FL",27.8933333,-82.2405556
"Blountstown, FL",30.4433333,-85.0452778
"Blowing Rocks, FL",26.9766667,-80.0819444
"Bloxham, FL",30.3883333,-84.6308333
"Blue Gulf Beach, FL",30.3411111,-86.2058333
"Blue Inlet, FL",26.3780556,-80.0738889
"Blue Lake, FL",28.3027778,-82.0575000
"Blue Lakes Ridge, FL",28.9850000,-81.5311111
"Blue Mountain Beach, FL",30.3372222,-86.1972222
"Blue Springs, FL",30.4863889,-83.2200000
"Blue Springs Landing, FL",28.9430556,-81.3400000
"Bluefield, FL",27.1997222,-80.5875000
"Bluff Springs, FL",30.9361111,-87.2947222
"Bluffton, FL",29.1261111,-81.5019444
"Boardman, FL",29.4672222,-82.2141667
"Boca Ciega, FL",27.7602778,-82.7663889
"Boca Del Mar, FL",26.3447222,-80.1469444
"Boca Grande, FL",26.7486111,-82.2622222
"Boca Harbour, FL",26.4122222,-80.0725000
"Boca Pointe, FL",26.3327778,-80.1597222
"Boca Raton, FL",26.3583333,-80.0833333
"Boca West, FL",26.3802778,-80.1600000
"Boden, FL",28.8347222,-81.1261111
"Bogia, FL",30.8422222,-87.3244444
"Bohemia, FL",30.4833333,-87.1600000
"Bokeelia, FL",26.7052778,-82.1591667
"Bon Ami, FL",30.1144444,-84.9872222
"Bon Terra, FL",29.5813889,-81.1883333
"Bonaventure, FL",28.2736111,-80.6936111
"Bonifay, FL",30.7916667,-85.6797222
"Bonita Shores, FL",26.3305556,-81.8269444
"Bonita Springs, FL",26.3394444,-81.7788889
"Bonnie, FL",27.8630556,-81.9313889
"Bonnie Lock, FL",26.2791667,-80.1280556
"Bookertown, FL",28.8280556,-81.3319444
"Bostwick, FL",29.7738889,-81.6372222
"Boulogne, FL",30.7713889,-81.9761111
"Bounds Crossing, FL",30.7980556,-85.9125000
"Bowden, FL",30.2658333,-81.6183333
"Bowling Green, FL",27.6380556,-81.8241667
"Boyd, FL",30.1888889,-83.6066667
"Boyette, FL",27.8172222,-82.2227778
"Boynton Beach, FL",26.5250000,-80.0666667
"Braden Castle, FL",27.4961111,-82.5305556
"Bradenton, FL",27.4986111,-82.5750000
"Bradenton Beach, FL",27.4666667,-82.7041667
"Bradford, FL",30.6550000,-85.5516667
"Bradfordville, FL",30.5611111,-84.2177778
"Bradley Junction, FL",27.7950000,-81.9805556
"Branchborough, FL",28.2588889,-82.0894444
"Branchton, FL",28.1344444,-82.2872222
"Branchville, FL",30.6538889,-84.4827778
"Brandon, FL",27.9375000,-82.2861111
"Branford, FL",29.9588889,-82.9283333
"Brannonville, FL",30.2244444,-85.5927778
"Bratt, FL",30.9655556,-87.4275000
"Breezeswept Park Estates, FL",26.1288889,-80.2127778
"Brent, FL",30.4686111,-87.2361111
"Brentwood, FL",30.3588889,-81.6588889
"Brentwood Estates, FL",26.1891667,-80.1472222
"Brewers Landing, FL",29.8730556,-81.6208333
"Brewster, FL",27.7525000,-81.9797222
"Brickell Hammock, FL",25.7497222,-80.2047222
"Brickton, FL",30.7336111,-87.3213889
"Brickyard, FL",29.9625000,-85.0219444
"Bridgeport, FL",28.0269444,-82.6911111
"Bridges, FL",27.4083333,-81.9069444
"Bridle Path Acres, FL",30.5088889,-84.2625000
"Brighton, FL",27.2255556,-81.0952778
"Brightsville, FL",30.3213889,-81.8525000
"Briny Breezes, FL",26.5080556,-80.0511111
"Bristol, FL",30.4319444,-84.9758333
"Broad Branch, FL",30.3113889,-85.2955556
"Broadview Park, FL",26.0991667,-80.2088889
"Broadwater, FL",27.7263889,-82.6875000
"Brock Crossroad, FL",30.6902778,-85.6294444
"Bronson, FL",29.4475000,-82.6425000
"Brooker, FL",29.8886111,-82.3327778
"Brooklyn, FL",30.3233333,-81.6747222
"Brookridge, FL",28.5508333,-82.4922222
"Brookside, FL",27.7672222,-80.5516667
"Brooksville, FL",28.5550000,-82.3880556
"Broscan, FL",29.6816667,-83.3436111
"Broward Estates, FL",26.1252778,-80.1936111
"Broward Gardens, FL",26.0569444,-80.2077778
"Broward Highlands, FL",26.2980556,-80.1111111
"Browardale, FL",26.1283333,-80.1927778
"Brown, FL",29.9947222,-82.4266667
"Browns Farm, FL",26.5611111,-80.5163889
"Browns Still, FL",29.9841667,-82.4908333
"Brownsdale, FL",30.8822222,-87.2255556
"Brownsville, FL",30.4250000,-87.2519444
"Browntown, FL",30.9822222,-85.4672222
"Brownville, FL",27.2977778,-81.8241667
"Broxson, FL",30.5675000,-86.9219444
"Bruce, FL",30.4722222,-85.9652778
"Bruceville, FL",29.2336111,-81.9472222
"Bruing, FL",28.1355556,-82.4638889
"Bryant, FL",26.8494444,-80.6166667
"Bryceville, FL",30.3844444,-81.9388889
"Bucell Junction, FL",30.0694444,-83.5558333
"Buchanan, FL",27.4116667,-81.7927778
"Buckhead Ridge, FL",27.1300000,-80.8938889
"Buckhorn, FL",30.1355556,-83.9150000
"Buckingham, FL",26.6747222,-81.7322222
"Buckingham West, FL",29.6583333,-82.4352778
"Buckville, FL",30.1288889,-83.2925000
"Buda, FL",29.7588889,-82.6261111
"Buena Vista, FL",30.8794444,-85.0350000
"Buenaventura Lakes, FL",28.3355556,-81.3533333
"Buffalo Bluff, FL",29.5794444,-81.6738889
"Bunche Park, FL",25.9202778,-80.2372222
"Bunker, FL",30.3872222,-86.0827778
"Bunker Donation, FL",30.5311111,-85.8694444
"Bunker Hill, FL",27.5933333,-82.1869444
"Bunnell, FL",29.4658333,-81.2580556
"Burbank, FL",29.2905556,-82.0011111
"Burnetts Lake, FL",29.7872222,-82.4777778
"Burnt Store Marina, FL",26.7647222,-82.0511111
"Bushnell, FL",28.6647222,-82.1130556
"Butler Beach, FL",29.7980556,-81.2672222
"Byrd, FL",29.6775000,-81.4611111
"Byrneville, FL",30.9661111,-87.3269444
"Cabbage Grove, FL",30.2094444,-83.8738889
"Cadillac, FL",29.7413889,-82.5388889
"Cairo, FL",30.3047222,-85.4772222
"Caleb, FL",30.2766667,-81.8319444
"Callahan, FL",30.5619444,-81.8308333
"Callaway, FL",30.1527778,-85.5700000
"Calphos, FL",28.9119444,-82.3844444
"Cambon, FL",30.3458333,-81.8063889
"Cameron City, FL",28.7566667,-81.2188889
"Camp Echockotee, FL",30.1522222,-81.7272222
"Camp Ocala, FL",29.1075000,-81.6311111
"Camp Roosevelt, FL",29.1458333,-82.1155556
"Campbell, FL",28.2586111,-81.4566667
"Campbellton, FL",30.9491667,-85.4022222
"Camps, FL",28.5911111,-82.4308333
"Camps Still, FL",30.4322222,-82.8672222
"Campton, FL",30.8733333,-86.5183333
"Campville, FL",29.6661111,-82.1186111
"Cana, FL",27.2833333,-80.4933333
"Canaan, FL",28.7900000,-81.2227778
"Canal Point, FL",26.8588889,-80.6338889
"Canaveral Acres, FL",28.4166667,-80.8347222
"Candler, FL",29.0711111,-81.9683333
"Caney Creek, FL",30.8997222,-86.2086111
"Cannon Town, FL",30.8547222,-86.6741667
"Canova Beach, FL",28.1388889,-80.5805556
"Cantonment, FL",30.6083333,-87.3400000
"Cape Canaveral, FL",28.4055556,-80.6050000
"Cape Coral, FL",26.5625000,-81.9497222
"Cape Haze, FL",26.8500000,-82.2944444
"Capitola, FL",30.4508333,-84.0880556
"Capps, FL",30.4102778,-83.9111111
"Captiva, FL",26.5216667,-82.1894444
"Cara, FL",29.3444444,-82.2630556
"Carbur, FL",29.9180556,-83.4280556
"Cardwell, FL",26.7655556,-80.6600000
"Caribbean Key, FL",26.3997222,-80.0725000
"Carlson, FL",28.8241667,-82.1819444
"Carlton, FL",27.3430556,-80.4227778
"Carlton Village, FL",28.9322222,-81.8855556
"Carnestown, FL",25.9105556,-81.3644444
"Carol City, FL",25.9402778,-80.2458333
"Carrabelle, FL",29.8530556,-84.6644444
