name,lat,lon
"Aderew, FM",6.9358333,158.2750000
"Adohro, FM",6.8186111,158.1822222
"Ahlek, FM",6.8752778,158.2811111
"Ahseia, FM",6.9547222,158.1819444
"Alamoar, FM",6.9597222,158.2597222
"Amachang, FM",7.3491667,151.6305556
"Aranga, FM",7.3055556,151.8700000
"Arapwa, FM",6.8213889,158.1633333
"Arohn, FM",6.8644444,158.2841667
"Aun, FM",7.3327778,151.8463889
"Awachang, FM",7.3433333,151.5813889
"Awak Pah, FM",6.9588889,158.2458333
"Awak Pow, FM",6.9644444,158.2575000
"Baleabaat', FM",9.5030556,138.1283333
"Baqanimaqut, FM",9.5044444,138.1141667
"Bechyal, FM",9.6102778,138.1738889
"Beenik, FM",9.4991667,138.1200000
"Bileeyibuw, FM",9.5238889,138.1494444
"Biloechaang, FM",9.5500000,138.1266667
"Binaew, FM",9.5397222,138.1863889
"Bugol, FM",9.5147222,138.1619444
"Bulwol, FM",9.6300000,138.1525000
"Bunuknuk, FM",9.5688889,138.1238889
"Choichoi, FM",9.7577778,140.5152778
"Choqol, FM",9.5886111,138.1844444
"Chorong, FM",7.4097222,151.6644444
"Chukienu, FM",7.3486111,151.6183333
"Chukuram, FM",7.3472222,151.5958333
"Chun, FM",7.3736111,151.8611111
"Colonia, FM",9.5144444,138.1294444
"Daabaab, FM",9.5436111,138.1366667
"Daabach, FM",9.5383333,138.1497222
"Dachangar, FM",9.5144444,138.1122222
"Danipei, FM",6.9755556,158.1925000
"Darachaq, FM",9.5333333,138.1822222
"Dariikaan, FM",9.4913889,138.0783333
"Deafqorean, FM",9.5147222,138.1680556
"Dechumur, FM",9.5169444,138.1669444
"Deeningol, FM",9.5602778,138.1577778
"Dehd, FM",6.8719444,158.3136111
"Dekehn Iap, FM",6.9422222,158.2158333
"Deleurlap, FM",6.8763889,158.2991667
"Depe, FM",6.8288889,158.2825000
"Derraak, FM",9.5447222,138.1972222
"Diadi, FM",6.8613889,158.3233333
"Dien Pei, FM",6.8363889,158.3102778
"Dienpo, FM",6.8305556,158.1505556
"Dienrar, FM",6.9755556,158.2819444
"Dilaeg, FM",9.5227778,138.1661111
"Dinaey, FM",9.5113889,138.1038889
"Dingiin, FM",9.5980556,138.1852778
"Dolesewi Pah, FM",6.8352778,158.2875000
"Dolesewi Powe, FM",6.8333333,158.2816667
"Doqomchuuy, FM",9.5236111,138.1572222
"Dugor, FM",9.5325000,138.1236111
"Dulkaan, FM",9.4625000,138.0755556
"Edinsei, FM",6.8661111,158.2844444
"Elenieng, FM",6.8150000,158.2386111
"Eliapw, FM",6.8505556,158.2936111
"Enniefich, FM",7.3363889,151.5636111
"Epin, FM",7.3713889,151.5688889
"Epinua, FM",7.3744444,151.5800000
"Epinup, FM",7.4333333,151.8594444
"Etiemar, FM",7.3736111,151.5886111
"Faal, FM",9.6216667,138.1661111
"Faichopuech, FM",7.3002778,151.8183333
"Fais, FM",7.4500000,151.8377778
"Faison, FM",7.3494444,151.6616667
"Fakowon, FM",7.3905556,151.7061111
"Falarik, FM",7.2580556,144.4480556
"Fananowas, FM",7.3775000,151.5736111
"Fanasito, FM",7.3216667,151.6113889
"Faneakaan, FM",9.5136111,138.1588889
"Fanip, FM",7.4811111,151.8772222
"Fankachau, FM",7.3813889,151.8800000
"Fanomo, FM",7.3825000,151.7155556
"Fanqaliiliy, FM",9.5030556,138.0988889
"Fansafak, FM",7.3769444,151.7013889
"Faraq, FM",9.4841667,138.0758333
"Farekich, FM",7.3222222,151.6011111
"Faro, FM",7.3266667,151.6277778
"Fason, FM",7.3519444,151.8488889
"Faucha, FM",7.3172222,151.6058333
"Feeduqor, FM",9.5005556,138.0811111
"Fein, FM",7.3427778,151.8266667
"Feini, FM",7.3438889,151.8277778
"Finaunpes, FM",5.3663889,163.0172222
"Finfoko, FM",5.3672222,162.9916667
"Finfokoa, FM",5.3633333,163.0188889
"Finfukul, FM",5.3672222,163.0063889
"Finkol Te, FM",5.2769444,162.9797222
"Finolof, FM",5.3408333,162.9597222
"Finpukal, FM",5.3416667,163.0186111
"Fiteadooq, FM",9.4444444,138.0675000
"Fomseng, FM",5.3361111,163.0072222
"Fongen, FM",7.3547222,151.8188889
"Founom, FM",6.6763889,158.7641667
"Foup, FM",7.3688889,151.6202778
"Foupo, FM",7.3600000,151.6269444
"Gaatmoqon, FM",9.5380556,138.0966667
"Gachalaaw, FM",9.4580556,138.0697222
"Gachpar, FM",9.5397222,138.1919444
