name,lat,lon
"Aaron, GA",32.5680556,-81.9925000
"Abba, GA",31.7566667,-83.3705556
"Abbeville, GA",31.9919444,-83.3069444
"Abbottsford, GA",33.0472222,-85.1797222
"Abercorn Heights, GA",32.0325000,-81.1069444
"Aberdeen, GA",33.4088889,-84.6019444
"Aberdeen Estates, GA",33.6625000,-84.8133333
"Abernathys Mill, GA",33.8641667,-85.2097222
"Abide Awhile, GA",33.5805556,-83.9638889
"Abilene, GA",33.6491667,-85.0497222
"Abington Green, GA",34.0519444,-84.5833333
"Academy Acres, GA",30.8955556,-83.2491667
"Ace Mobile Home Park, GA",33.5605556,-84.2663889
"Achord, GA",32.1061111,-82.9688889
"Acorn Pond, GA",31.8102778,-83.8552778
"Acorn Tree, GA",33.9577778,-84.7927778
"Acree, GA",31.5552778,-83.9961111
"Acworth, GA",34.0658333,-84.6769444
"Acworth Beach, GA",34.0608333,-84.6825000
"Adabelle, GA",32.2913889,-81.9272222
"Adairsville, GA",34.3686111,-84.9341667
"Adams Crossroads, GA",33.9641667,-84.1397222
"Adamson, GA",33.2677778,-85.2322222
"Adamsville, GA",33.7591667,-84.5052778
"Adasburg, GA",33.7061111,-82.5483333
"Addison Heights, GA",34.0327778,-84.5341667
"Adel, GA",31.1369444,-83.4236111
"Adelaide, GA",31.2666667,-84.1486111
"Adgateville, GA",33.2230556,-83.6711111
"Adrian, GA",32.5305556,-82.5894444
"Aerial, GA",34.6644444,-83.6444444
"Afton, GA",34.5002778,-84.2455556
"Agricola, GA",33.1944444,-82.7205556
"Ahaluna, GA",34.3125000,-83.8627778
"Ai, GA",34.8336111,-84.4527778
"Aikenton, GA",33.3722222,-83.5486111
"Ailey, GA",32.1872222,-82.5658333
"Aimar, GA",31.7527778,-81.6716667
"Airport Grove, GA",33.6469444,-83.8450000
"Airport Subdivision, GA",31.5194444,-84.2041667
"Akes, GA",33.9672222,-85.3180556
"Akin, GA",31.4558333,-81.7044444
"Akins, GA",32.3061111,-81.6205556
"Akins Mill, GA",32.5141667,-81.8161111
"Akridge, GA",30.9830556,-84.1605556
"Alabama Junction, GA",32.0758333,-81.1402778
"Alaculsy, GA",34.9886111,-84.6330556
"Alamo, GA",32.1469444,-82.7780556
"Alandale, GA",34.2058333,-83.8286111
"Alapaha, GA",31.3850000,-83.2230556
"Albany, GA",31.5783333,-84.1558333
"Albaugh, GA",32.5455556,-83.8258333
"Alcorns, GA",32.4094444,-83.1102778
"Alcovy, GA",33.6397222,-83.7869444
