name,lat,lon
"Adacao, GU",13.4894444,144.8530556
"Adelup, GU",13.4752778,144.7272222
"Afami, GU",13.4558333,144.7586111
"Agafo Gumas, GU",13.5816667,144.8761111
"Agat, GU",13.3813889,144.6547222
"Anigua, GU",13.4763889,144.7333333
"Apra Heights, GU",13.4002778,144.6800000
"Apra Junction, GU",13.4091667,144.6730556
"Apurguan, GU",13.4825000,144.7708333
"Asagas, GU",13.2830556,144.7433333
"Asan, GU",13.4713889,144.7138889
"Asatdas, GU",13.5169444,144.8636111
"Asbeco, GU",13.4658333,144.8377778
"Asfaja, GU",13.2783333,144.7450000
"Asmisen, GU",13.3972222,144.7675000
"Asmuyao, GU",13.4427778,144.7975000
"Aspengo, GU",13.4616667,144.7944444
"Astumbo, GU",13.5511111,144.8447222
"Ayuja, GU",13.4002778,144.6616667
"Bacuna, GU",13.4713889,144.7177778
"Barrigada, GU",13.4683333,144.7988889
"Barrigada Heights, GU",13.4858333,144.8225000
"Baza Gardens, GU",13.3708333,144.7491667
"Bile, GU",13.2750000,144.6616667
"Bingot, GU",13.2713889,144.6600000
"Biyae, GU",13.3586111,144.6461111
"Bordallo Subdivision, GU",13.3969444,144.6708333
"Calacag, GU",13.4686111,144.7113889
"Camp Dealy, GU",13.3508333,144.7666667
"Camp Roxas, GU",13.4052778,144.6669444
"Canada, GU",13.4586111,144.7869444
"Carlos Heights, GU",13.5147222,144.8116667
"Catan Maga, GU",13.4305556,144.7941667
"Cerain, GU",13.3938889,144.6594444
"Chagamin Lago, GU",13.2780556,144.7497222
"Chalan Mamajanao, GU",13.4922222,144.7800000
"Chalan Pago, GU",13.4391667,144.7738889
"Coontz Junction, GU",13.4766667,144.7269444
"Corten Torres, GU",13.4402778,144.8025000
"Dededo, GU",13.5152778,144.8361111
"East Hagatna, GU",13.4741667,144.7552778
"Flora Pago Gardens, GU",13.4408333,144.7741667
"Gayinero, GU",13.5294444,144.9016667
"Hafa Adai Village Subdivision, GU",13.5005556,144.8416667
"Hagatna, GU",13.4741667,144.7477778
"Hagatna Heights, GU",13.4688889,144.7438889
"Harmon Garden, GU",13.5063889,144.8200000
"Harmon Park Subdivision, GU",13.5116667,144.8116667
"Harmon Village, GU",13.5336111,144.8086111
"Inarajan, GU",13.2755556,144.7433333
