name,lat,lon
"Ah Fong Village, HI",20.8533333,-156.4647222
"Ahuimanu, HI",21.4447222,-157.8377778
"Aiea, HI",21.3822222,-157.9336111
"Aiea Heights, HI",21.3908333,-157.9202778
"Aina Haina, HI",21.2819444,-157.7525000
"Ainaloa, HI",19.5269444,-154.9930556
"Ainapo, HI",19.3591667,-155.4241667
"Airport Village, HI",20.8222222,-156.4541667
"Akolea Plantation Estates, HI",19.7033333,-155.1344444
"Akona, HI",20.1036111,-155.6116667
"Akupu, HI",21.3941667,-158.1030556
"Alabama Village, HI",20.8658333,-156.4541667
"Alewa Heights, HI",21.3430556,-157.8527778
"Aliamanu, HI",21.3547222,-157.9275000
"Alii Kai, HI",19.6155556,-155.9780556
"Aloha Kona, HI",19.6408333,-155.9855556
"Anaehoomalu, HI",19.9169444,-155.8902778
"Anahola, HI",22.1452778,-159.3155556
"Camp Maluhia, HI",20.9566667,-156.5377778
"Captain Cook, HI",19.4969444,-155.9216667
"Chinatown, HI",21.3150000,-157.8663889
"Cod Fish Village, HI",20.8963889,-156.4211111
"Country Garden Estates, HI",19.0688889,-155.8011111
"Crater Village, HI",20.9008333,-156.6650000
"Crestview, HI",21.4088889,-157.9994444
"Eden Roc, HI",19.4902778,-155.1027778
"Eleele, HI",21.9102778,-159.5872222
"Elevenmile Homestead, HI",19.6063889,-155.0752778
"Ewa, HI",21.3425000,-158.0402778
"Ewa Beach, HI",21.3155556,-158.0072222
"Ewa Gentry, HI",21.3441667,-158.0308333
"Ewa Villages, HI",21.3455556,-158.0408333
"Ewa-Schofield Junction, HI",21.3994444,-157.9813889
"Fern Acres, HI",19.5122222,-155.0802778
"Fern Forest, HI",19.4655556,-155.1355556
"Fernandez Village, HI",21.3502778,-158.0333333
"Foster Village, HI",21.3652778,-157.9277778
"Glenwood, HI",19.4908333,-155.1538889
"Haena, HI",19.6455556,-154.9877778
"Haiku, HI",20.9175000,-156.3258333
"Haina, HI",20.0961111,-155.4719444
"Hakalau, HI",19.8997222,-155.1291667
"Halaula, HI",20.2375000,-155.7805556
"Halawa, HI",20.2269444,-155.7683333
"Halawa Heights, HI",21.3816667,-157.9183333
"Hale Homaha, HI",22.2258333,-159.5497222
"Hale Pili, HI",19.6291667,-155.8705556
"Haleiwa, HI",21.5902778,-158.1125000
"Halena, HI",21.0925000,-157.2344444
"Halepiula, HI",19.9311111,-155.3944444
"Haliimaile, HI",20.8711111,-156.3438889
"Hamakuapoko, HI",20.9219444,-156.3480556
"Hamoa, HI",20.7233333,-155.9886111
"Hana, HI",20.7580556,-155.9902778
