name,lat,lon
"Abbott, IA",42.4852778,-93.0661111
"Abingdon, IA",41.0822222,-92.1388889
"Ackley, IA",42.5541667,-93.0530556
"Ackworth, IA",41.3669444,-93.4725000
"Adair, IA",41.5005556,-94.6433333
"Adaville, IA",42.7508333,-96.4041667
"Adaza, IA",42.1952778,-94.4941667
"Adel, IA",41.6144444,-94.0172222
"Adelphi, IA",41.5333333,-93.4261111
"Afton, IA",41.0275000,-94.1977778
"Agency, IA",40.9950000,-92.3066667
"Ainsworth, IA",41.2888889,-91.5522222
"Akron, IA",42.8288889,-96.5591667
"Albany, IA",42.8658333,-91.7586111
"Albaton, IA",42.1855556,-96.2905556
"Albert City, IA",42.7819444,-94.9483333
"Albia, IA",41.0266667,-92.8055556
"Albion, IA",42.1125000,-92.9883333
"Alburnett, IA",42.1483333,-91.6183333
"Alden, IA",42.5202778,-93.3758333
"Alexander, IA",42.8058333,-93.4763889
"Algona, IA",43.0700000,-94.2327778
"Alice, IA",42.1975000,-91.6955556
"Alleman, IA",41.8202778,-93.6102778
"Allen, IA",41.8050000,-95.8183333
"Allendorf, IA",43.4147222,-95.6430556
"Allerton, IA",40.7063889,-93.3650000
"Allison, IA",42.7527778,-92.7950000
"Almont, IA",41.9752778,-90.1988889
"Almoral, IA",42.5355556,-91.2897222
"Almoral Spring, IA",42.5163889,-91.2725000
"Alpha, IA",42.9966667,-92.0475000
"Alta, IA",42.6736111,-95.2902778
"Alta Vista, IA",43.1986111,-92.4169444
"Alton, IA",42.9875000,-96.0102778
"Altoona, IA",41.6441667,-93.4644444
"Alvord, IA",43.3422222,-96.3008333
"Amana, IA",41.8000000,-91.8705556
"Amber, IA",42.1280556,-91.1800000
"Ambrose, IA",41.5313889,-92.2333333
"Ames, IA",42.0347222,-93.6197222
"Amish, IA",41.5358333,-91.7863889
"Amund, IA",43.4733333,-93.7930556
"Anamosa, IA",42.1083333,-91.2850000
"Anderson, IA",40.8013889,-95.6038889
"Andover, IA",41.9791667,-90.2516667
"Andrew, IA",42.1536111,-90.5922222
"Andrews, IA",41.7533333,-93.7569444
"Angus, IA",41.8833333,-94.1572222
"Anita, IA",41.4452778,-94.7644444
"Ankeny, IA",41.7297222,-93.6055556
"Anthon, IA",42.3883333,-95.8663889
"Aplington, IA",42.5841667,-92.8841667
"Arbor Hill, IA",41.3666667,-94.3180556
"Arcadia, IA",42.0316667,-95.0458333
"Archer, IA",43.1152778,-95.7455556
"Ardon, IA",41.3950000,-91.1883333
"Aredale, IA",42.8330556,-93.0052778
"Argand, IA",42.2816667,-91.3452778
"Argo, IA",41.6258333,-90.4325000
"Argyle, IA",40.5316667,-91.5661111
"Arion, IA",41.9491667,-95.4633333
"Arispe, IA",40.9494444,-94.2188889
"Arlington, IA",42.7491667,-91.6711111
"Armah, IA",41.5313889,-92.2091667
"Armel Acres Mobile Home Estates, IA",42.7880556,-96.1805556
"Armour, IA",42.5127778,-92.2550000
"Armstrong, IA",43.3961111,-94.4780556
"Arnold, IA",42.8108333,-94.1983333
"Arnolds Park, IA",43.3727778,-95.1236111
"Arrowhead Mobile Home Park, IA",41.9861111,-92.5908333
"Artesian, IA",42.7283333,-92.3369444
"Arthur, IA",42.3347222,-95.3472222
"Asbury, IA",42.5144444,-90.7513889
"Ascot, IA",41.4136111,-95.8980556
"Ash Grove, IA",40.8708333,-92.5527778
"Ashawa, IA",41.5722222,-93.7561111
"Ashland, IA",40.9586111,-92.2363889
"Ashton, IA",43.3113889,-95.7908333
"Aspinwall, IA",41.9119444,-95.1352778
"Astor, IA",41.8700000,-95.2663889
"Atalissa, IA",41.5711111,-91.1658333
"Athelstan, IA",40.5722222,-94.5372222
"Atkins, IA",41.9969444,-91.8619444
"Atlantic, IA",41.4036111,-95.0136111
"Attica, IA",41.2297222,-93.0158333
"Atwood, IA",41.3250000,-92.4058333
"Auburn, IA",42.2513889,-94.8775000
"Audubon, IA",41.7180556,-94.9322222
"Augusta, IA",40.7580556,-91.2755556
"Aurelia, IA",42.7127778,-95.4363889
"Aureola, IA",42.9683333,-92.8777778
"Aurora, IA",42.6188889,-91.7283333
"Austinville, IA",42.5858333,-92.9569444
"Avery, IA",41.0652778,-92.7141667
"Avoca, IA",41.4766667,-95.3377778
"Avon, IA",41.5286111,-93.5230556
"Avon Lake, IA",41.5219444,-93.5008333
"Ayresville, IA",41.6847222,-91.0138889
"Ayrshire, IA",43.0391667,-94.8325000
"Aztec Mobile Home Park, IA",40.6347222,-91.3625000
"Badger, IA",42.6144444,-94.1458333
"Bagley, IA",41.8461111,-94.4297222
"Bailey, IA",43.4650000,-92.6077778
"Baird, IA",41.7986111,-95.6541667
"Baldwin, IA",42.0741667,-90.8413889
"Balfour, IA",41.0488889,-95.6675000
"Balltown, IA",42.6380556,-90.8686111
"Ballyclough, IA",42.4258333,-90.7180556
"Bancroft, IA",43.2927778,-94.2177778
"Bangor, IA",42.1733333,-93.0933333
"Bankston, IA",42.5186111,-90.9611111
"Bard, IA",41.2402778,-91.2875000
"Barnes City, IA",41.5083333,-92.4680556
"Barney, IA",41.1666667,-94.0036111
"Barnum, IA",42.5086111,-94.3650000
"Barrell, IA",40.6980556,-93.8672222
"Bartlett, IA",40.8850000,-95.7947222
"Bassett, IA",43.0630556,-92.5152778
"Batavia, IA",40.9941667,-92.1672222
"Battle Creek, IA",42.3155556,-95.5983333
"Bauer, IA",41.2038889,-93.3069444
"Baxter, IA",41.8261111,-93.1513889
"Bayard, IA",41.8519444,-94.5580556
"Beaches Resort, IA",43.4283333,-95.1736111
