name,lat,lon
"Aberdeen, ID",42.9441667,-112.8375000
"Aberdeen Junction, ID",43.2230556,-112.4700000
"Abstein Place, ID",44.9708333,-115.4858333
"Acequia, ID",42.6680556,-113.5961111
"Adair, ID",47.3422222,-115.6111111
"Addie, ID",48.9536111,-116.1652778
"Adelaide, ID",42.8072222,-113.7211111
"Agatha, ID",46.5108333,-116.5758333
"Ahsahka, ID",46.5022222,-116.3230556
"Aiken, ID",43.2091667,-112.4058333
"Albion, ID",42.4127778,-113.5772222
"Alder Creek, ID",47.2227778,-116.6066667
"Alexander, ID",42.6511111,-111.7083333
"Algoma, ID",48.1969444,-116.5711111
"Allendale, ID",43.6763889,-116.8738889
"Allens Spur, ID",48.7405556,-116.3652778
"Almo, ID",42.1002778,-113.6327778
"Alpha, ID",44.3911111,-116.0069444
"Alpine, ID",44.5936111,-116.4938889
"Alridge, ID",43.2113889,-112.0041667
"Alton, ID",42.2275000,-111.1508333
"Amalga, ID",42.5769444,-113.7238889
"American Falls, ID",42.7861111,-112.8536111
"Ammon, ID",43.4697222,-111.9658333
"Amsco, ID",43.7647222,-116.6483333
"Amsterdam, ID",42.2958333,-114.5838889
"Anderson, ID",42.0205556,-111.9561111
"Anderson Place, ID",42.2447222,-114.9500000
"Annis, ID",43.7283333,-111.9352778
"Apple Valley, ID",43.8400000,-116.9955556
"Appleton, ID",42.7480556,-114.6344444
"Arbon, ID",42.4558333,-112.5675000
"Archabal, ID",44.8469444,-116.1211111
"Archer, ID",43.7136111,-111.7819444
"Arco, ID",43.6366667,-113.2994444
"Arimo, ID",42.5600000,-112.1705556
"Arling, ID",44.6252778,-116.0491667
"Arrow, ID",46.4780556,-116.7669444
"Artesian City, ID",42.4172222,-114.1602778
"Asbestos Point, ID",45.8180556,-115.9397222
"Ashton, ID",44.0716667,-111.4475000
"Aspendale, ID",46.6769444,-116.4963889
"Athol, ID",47.9480556,-116.7069444
"Atlanta, ID",43.8016667,-115.1258333
"Atlas, ID",47.7005556,-116.8286111
"Atomic City, ID",43.4450000,-112.8119444
"Avery, ID",47.2505556,-115.8041667
"Avon, ID",46.8261111,-116.6127778
"Bacon, ID",44.6361111,-116.5469444
"Baker, ID",45.0947222,-113.7336111
"Bancroft, ID",42.7202778,-111.8850000
"Banida, ID",42.2311111,-111.9416667
"Banks, ID",44.0805556,-116.1230556
"Banner, ID",44.0200000,-115.5347222
"Bannock, ID",42.8613889,-112.7219444
"Barber, ID",43.5652778,-116.1122222
"Barite, ID",43.5563889,-114.3255556
"Barlow, ID",43.6711111,-112.0122222
"Barrymore, ID",42.6808333,-114.4622222
"Barton, ID",44.3844444,-116.7988889
"Basalt, ID",43.3155556,-112.1636111
"Basin, ID",42.2455556,-113.7836111
"Bassett, ID",43.6511111,-112.0875000
"Bates, ID",43.6916667,-111.2000000
"Bayhorse, ID",44.3977778,-114.3108333
"Bayview, ID",47.9802778,-116.5591667
"Beachs Corner, ID",43.5425000,-111.9633333
"Bear, ID",45.0244444,-116.6711111
"Bear Creek Summer Home Area, ID",44.1666667,-115.1930556
"Bear Lake Hot Springs, ID",42.1086111,-111.2644444
"Bear Lake Sands, ID",42.0516667,-111.2527778
"Beatty, ID",43.6083333,-116.3400000
"Bedstead Corner, ID",44.2758333,-111.7922222
"Beeman, ID",46.4055556,-116.5241667
"Beer Bottle Crossing, ID",44.6086111,-116.2300000
"Beetville, ID",42.4886111,-113.8305556
"Bellevue, ID",43.4636111,-114.2597222
"Bellgrove, ID",47.5338889,-116.9138889
"Belmont, ID",47.9261111,-116.6386111
"Belvidere, ID",44.4755556,-116.0325000
"Bench, ID",42.5036111,-111.6794444
"Benewah, ID",47.2277778,-116.7833333
"Bengoechea Place, ID",42.3047222,-115.8469444
"Bennington, ID",42.3911111,-111.3208333
"Berenice, ID",43.8277778,-112.9733333
"Berger, ID",42.4697222,-114.5738889
"Bergstrom Place, ID",42.1944444,-114.9358333
"Bern, ID",42.3397222,-111.3852778
"Besslen, ID",42.9086111,-114.1727778
"Best Corner, ID",46.5619444,-116.1497222
"Big Cedar, ID",46.0811111,-115.8133333
"Big Creek, ID",45.1272222,-115.3233333
"Big Eddy, ID",44.2161111,-116.1063889
"Big George, ID",46.5027778,-116.4919444
"Big Springs, ID",44.4983333,-111.2550000
"Bills, ID",42.5322222,-114.2855556
"Bingo Creek Landing, ID",46.7572222,-115.7358333
"Black Bear, ID",47.5161111,-115.8513889
"Black Canyon, ID",43.9266667,-116.4413889
"Black Pine, ID",42.0725000,-112.9794444
"Blackbird, ID",45.1133333,-114.2188889
"Blackcloud, ID",47.5047222,-115.9036111
"Blackfoot, ID",43.1905556,-112.3441667
"Blackrock, ID",42.7969444,-112.3261111
"Blacks Creek, ID",43.4777778,-116.1372222
"Blacktail, ID",48.1205556,-116.4852778
"Blackwell, ID",47.6977778,-116.8069444
"Blaine, ID",43.3425000,-114.5947222
"Blake, ID",46.4733333,-116.1766667
"Blanchard, ID",48.0169444,-116.9827778
"Bliss, ID",42.9269444,-114.9486111
"Bloomington, ID",42.1919444,-111.4005556
"Blue Dome, ID",44.1602778,-112.9105556
"Boehls, ID",46.8747222,-115.9044444
"Bogle, ID",47.3530556,-115.7366667
"Boise, ID",43.6136111,-116.2025000
"Boise Hills Village, ID",43.6325000,-116.1888889
"Boise Junction, ID",43.6050000,-116.2558333
"Boles, ID",45.9105556,-116.5030556
"Bonanza, ID",44.3705556,-114.7269444
"Bone, ID",43.3125000,-111.7944444
"Bonners Ferry, ID",48.6913889,-116.3152778
"Border, ID",42.1830556,-111.0466667
"Boulder, ID",43.8405556,-114.5055556
"Bovill, ID",46.8588889,-116.3925000
"Bowmont, ID",43.4561111,-116.5400000
"Box Canyon, ID",44.3788889,-111.4047222
"Boyer, ID",48.3230556,-116.4427778
"Bradley, ID",47.5463889,-116.1597222
"Bramwell, ID",43.8383333,-116.5819444
"Bridge, ID",42.1294444,-113.3416667
"Broadford, ID",43.4697222,-114.2794444
"Bronx, ID",48.3519444,-116.5463889
"Broten, ID",48.2211111,-116.4163889
"Brownlee, ID",44.0088889,-116.2444444
"Bruce Eddy, ID",46.5136111,-116.2897222
"Bruneau, ID",42.8805556,-115.7963889
"Brunning, ID",46.4841667,-116.1427778
"Buckingham, ID",43.9891667,-116.8925000
"Budge, ID",42.6088889,-113.8236111
"Buhl, ID",42.5991667,-114.7586111
"Buist, ID",42.3272222,-112.6047222
"Bullion, ID",43.4727778,-114.3758333
"Buncel Place, ID",42.5502778,-116.0236111
"Bundy, ID",46.3613889,-116.7563889
"Bunn, ID",47.5111111,-115.8980556
"Burgdorf, ID",45.2772222,-115.9119444
"Burke, ID",47.5202778,-115.8191667
"Burley, ID",42.5358333,-113.7919444
"Burmah, ID",43.1294444,-114.2594444
"Burns, ID",48.6261111,-116.3938889
"Burton, ID",43.7975000,-111.8572222
"Butte City, ID",43.6100000,-113.2433333
"Byrne, ID",43.6919444,-111.7458333
"Cabarton, ID",44.4355556,-116.0391667
"Cabinet, ID",48.0844444,-116.0725000
"Cable Car Crossing, ID",45.4538889,-115.9419444
"Cache, ID",43.7880556,-111.1622222
"Calder, ID",47.2777778,-116.1902778
"Caldwell, ID",43.6630556,-116.6863889
"Calendar, ID",45.6241667,-115.6688889
"Camas, ID",44.0075000,-112.2202778
"Cambridge, ID",44.5727778,-116.6750000
"Cameron, ID",46.6058333,-116.5711111
"Camp Creek Summer Home Area, ID",44.1738889,-115.2213889
"Canfield, ID",45.8377778,-116.3708333
"Canyon, ID",47.5752778,-116.4116667
"Carbon Center, ID",47.5583333,-115.9000000
"Cardiff, ID",46.5744444,-115.8113889
"Cardiff Mill, ID",46.4708333,-115.7936111
"Cardwell, ID",47.2091667,-116.5625000
"Carey, ID",43.3077778,-113.9438889
"Careywood, ID",48.0347222,-116.6422222
"Caribel, ID",46.2580556,-115.9436111
"Caribou City, ID",43.1030556,-111.2638889
"Carmen, ID",45.2425000,-113.8925000
"Carrietown, ID",43.6050000,-114.6994444
"Cascade, ID",44.5163889,-116.0408333
"Castle Rocks, ID",43.3283333,-115.3136111
"Castleford, ID",42.5208333,-114.8675000
"Casto, ID",44.5680556,-114.8477778
"Cataldo, ID",47.5488889,-116.3286111
"Cathedral Pines, ID",43.7775000,-114.5258333
"Cavendish, ID",46.5602778,-116.4330556
"Cayuse Junction, ID",46.5991667,-114.8530556
"Cedar, ID",42.5938889,-114.7047222
"Cedar Creek, ID",48.0183333,-116.4452778
"Cedarhill, ID",42.2669444,-112.7305556
"Cedron, ID",43.6222222,-111.1902778
"Centerville, ID",43.9127778,-115.8913889
"Central, ID",42.6350000,-111.8108333
"Central Cove, ID",43.6072222,-116.8616667
"Cerro Grande, ID",43.4411111,-112.9325000
"Chalk Cut, ID",42.9811111,-115.5322222
"Challis, ID",44.5047222,-114.2308333
"Chapin, ID",43.6433333,-111.1100000
"Chatcolet, ID",47.3722222,-116.7625000
"Chausse, ID",42.1808333,-111.0830556
"Cherry Creek, ID",42.0983333,-112.2280556
"Cherrylane, ID",46.5161111,-116.6805556
"Cherryville, ID",42.0405556,-111.7486111
"Chesley, ID",46.3491667,-116.5519444
"Chester, ID",43.9994444,-111.5691667
"Chesterfield, ID",42.8669444,-111.9011111
"Chilco, ID",47.8638889,-116.7455556
"Chilly, ID",44.0777778,-113.8780556
"China Hat, ID",42.1016667,-115.9391667
"China Hill, ID",42.5527778,-111.8266667
"Chubbuck, ID",42.9208333,-112.4652778
"Clagstone, ID",48.0197222,-116.8055556
"Clarendon Hot Springs, ID",43.5594444,-114.4141667
"Clark Fork, ID",48.1452778,-116.1747222
"Clark Tree, ID",46.2969444,-115.7105556
"Clarkia, ID",47.0108333,-116.2519444
"Clarkson, ID",43.2116667,-112.4177778
"Clarksville, ID",47.7538889,-116.7319444
"Clawson, ID",43.7980556,-111.1100000
"Clayton, ID",44.2594444,-114.4008333
"Claytonia, ID",43.5675000,-116.8319444
"Clearwater, ID",46.0225000,-115.8900000
"Cleft, ID",43.2394444,-115.8497222
"Clementsville, ID",43.8766667,-111.3691667
"Cleveland, ID",42.3400000,-111.7125000
"Clicks, ID",46.2802778,-116.5338889
"Cliffs, ID",42.6391667,-116.9794444
"Clifton, ID",42.1900000,-112.0072222
"Clover, ID",42.5141667,-114.6866667
"Cloverdale, ID",43.6197222,-116.3330556
"Clyde, ID",44.1358333,-113.2461111
"Cobalt, ID",45.0930556,-114.2308333
"Cocolalla, ID",48.1080556,-116.6163889
"Coeur d'Alene, ID",47.6777778,-116.7794444
"Coeur d'Alene Junction, ID",47.7566667,-116.9113889
"Coffee Point, ID",43.1563889,-112.9672222
"Colburn, ID",48.3972222,-116.5341667
"Coleman, ID",48.0041667,-116.9058333
"Collier Place, ID",42.5791667,-116.2394444
"Collins, ID",43.2022222,-112.3750000
"Coltman, ID",43.6177778,-112.0113889
"Comical Turn, ID",42.5613889,-116.1436111
"Conant, ID",42.2761111,-113.4488889
"Concord, ID",45.5847222,-115.6827778
"Concrete, ID",44.3552778,-116.7944444
"Conda, ID",42.7283333,-111.5316667
"Conkling Park, ID",47.4044444,-116.7572222
"Connor, ID",42.2811111,-113.5005556
"Coolin, ID",48.4797222,-116.8483333
"Cooper, ID",46.4466667,-116.0538889
"Copeland, ID",48.9022222,-116.3877778
"Copperville, ID",45.7530556,-116.3233333
"Cora, ID",47.0038889,-116.9638889
"Corbin Junction, ID",47.8911111,-116.7197222
"Cornwall, ID",46.7088889,-116.8647222
"Cotterel, ID",42.5172222,-113.4583333
"Cotton, ID",43.4263889,-112.0875000
"Cottonwood, ID",46.0486111,-116.3486111
"Coulam, ID",42.2275000,-111.9825000
"Council, ID",44.7300000,-116.4372222
"Cow Creek, ID",46.4958333,-115.9319444
"Cox, ID",43.3736111,-112.0527778
"Craig Junction, ID",46.2755556,-116.5327778
"Craigmont, ID",46.2413889,-116.4661111
"Cream Can Junction, ID",42.9386111,-113.3847222
"Crescent, ID",46.6433333,-116.4244444
"Crill Place, ID",42.8258333,-116.4527778
"Cross Trails, ID",45.4763889,-115.6908333
"Crossport, ID",48.7011111,-116.2202778
"Crouch, ID",44.1152778,-115.9700000
"Crystal, ID",44.1672222,-116.8900000
"Culdesac, ID",46.3747222,-116.6722222
"Cully Moores, ID",46.5305556,-115.9905556
"Culver, ID",48.3188889,-116.4550000
"Cuprum, ID",45.0866667,-116.6883333
"Curry, ID",42.5638889,-114.5544444
"Custer, ID",44.3875000,-114.6950000
"Dairy Creek, ID",42.4625000,-112.4291667
"Dalton Gardens, ID",47.7297222,-116.7691667
"Daniels, ID",42.3730556,-112.4122222
"Dans Place, ID",42.2725000,-115.8313889
"Darby, ID",43.6941667,-111.0652778
"Darlington, ID",43.8136111,-113.4138889
"Davidson, ID",45.8430556,-116.5944444
"Dayton, ID",42.1130556,-111.9927778
"De Lamar, ID",43.0244444,-116.8305556
"De Smet, ID",47.1461111,-116.9147222
"DeVeny Place, ID",45.3575000,-116.3941667
"DeWoff, ID",42.7066667,-113.2597222
"Deal, ID",43.5066667,-116.5405556
"Deary, ID",46.7994444,-116.5550000
"Declo, ID",42.5183333,-113.6272222
"Deep Creek, ID",42.5936111,-114.8452778
"Dehlin, ID",43.3844444,-111.7088889
"Del Monte, ID",43.8688889,-116.5422222
"Delta, ID",47.6077778,-115.9402778
"Democrat, ID",43.0963889,-116.7744444
"Dent, ID",46.6238889,-116.2022222
"Denton, ID",48.2027778,-116.2472222
"Denver, ID",45.9983333,-116.2350000
"Devils Ladder, ID",45.1783333,-116.4344444
"Dew Drop Place, ID",42.0244444,-115.9438889
"Dewey, ID",43.0402778,-116.7613889
"Diamond, ID",44.4141667,-116.7750000
"Dickens Place, ID",42.1497222,-115.9713889
"Dickensheet Junction, ID",48.4519444,-116.9069444
"Dickey, ID",44.1344444,-113.9044444
"Dickshooter, ID",42.3916667,-116.5008333
"Dietrich, ID",42.9094444,-114.2644444
"Dingle, ID",42.2194444,-111.2672222
"Dixie, ID",45.5541667,-115.4602778
"Doles, ID",43.6697222,-116.7827778
"Don, ID",42.9094444,-112.5291667
"Doniphan, ID",43.4108333,-114.4836111
"Donnelly, ID",44.7316667,-116.0800000
"Dover, ID",48.2516667,-116.6100000
"Downata Hot Springs, ID",42.3886111,-112.0883333
"Downey, ID",42.4286111,-112.1236111
"Doyle Place, ID",42.8452778,-116.3330556
"Driggs, ID",43.7233333,-111.1105556
"Drummond, ID",43.9986111,-111.3444444
"Dry Forty, ID",42.4511111,-116.4125000
"Dryden, ID",46.1361111,-116.2005556
"Dubois, ID",44.1763889,-112.2300000
"Dudley, ID",47.5419444,-116.4233333
"Dufort, ID",48.1652778,-116.5958333
"Duncan Place, ID",42.0355556,-114.8088889
"Eagle, ID",43.6955556,-116.3530556
"Eagle Nest, ID",44.6072222,-115.9422222
"Easley Hot Springs, ID",43.7805556,-114.5422222
"East Greenacres, ID",47.7525000,-116.9688889
"East Hope, ID",48.2419444,-116.2944444
"East Kamiah, ID",46.2027778,-116.0069444
"Eastport, ID",48.9994444,-116.1802778
"Eaton, ID",44.2758333,-117.0802778
"Eccles, ID",44.3269444,-111.3008333
"Echo Beach, ID",47.8877778,-116.8755556
"Eddyville, ID",47.6161111,-116.7305556
"Eden, ID",42.6058333,-114.2100000
"Edgemere, ID",48.0758333,-116.8141667
"Edmonds, ID",43.9130556,-111.8800000
"Edwardsburg, ID",45.1188889,-115.3250000
"Egin, ID",43.9366667,-111.8366667
"Egypt, ID",42.0966667,-111.8366667
"Eiffie, ID",44.0255556,-116.9172222
"Eighteenmile, ID",44.3002778,-111.9016667
"Eileen, ID",48.7763889,-116.1625000
"Elba, ID",42.2483333,-113.5605556
"Elizabeth Park, ID",47.5297222,-116.0919444
"Elk Bend, ID",44.8844444,-113.9680556
"Elk City, ID",45.8269444,-115.4358333
"Elk Creek, ID",47.5338889,-116.0569444
"Elk River, ID",46.7836111,-116.1788889
"Elk Summit, ID",46.3238889,-114.6488889
"Elkhorn Village, ID",43.6794444,-114.3316667
"Ellis, ID",44.6919444,-114.0475000
"Elmira, ID",48.4797222,-116.4613889
"Emerald Creek, ID",47.0719444,-116.3272222
"Emida, ID",47.1158333,-116.5969444
"Emigrant Crossing, ID",43.0480556,-115.2855556
"Emmett, ID",43.8736111,-116.4983333
"Enaville, ID",47.5625000,-116.2491667
"English point, ID",47.7866667,-116.7088889
"Enrose, ID",43.7016667,-116.7458333
"Era, ID",43.5805556,-113.5786111
"Erlmo, ID",47.2597222,-116.0491667
"Estes, ID",46.7777778,-117.0188889
"Ethelton, ID",47.2550000,-115.9047222
"Eugene, ID",46.4444444,-116.5511111
"Evans Landing, ID",48.0755556,-116.5305556
"Evergreen, ID",44.8902778,-116.3891667
"Excelsior Beach, ID",47.8802778,-116.8758333
