name,lat,lon
"Abbot, IL",37.5572222,-88.6988889
"Abingdon, IL",40.8044444,-90.4016667
"Adair, IL",40.4188889,-90.4966667
"Adams, IL",39.8652778,-91.1980556
"Adams Corner, IL",38.5130556,-87.7419444
"Addieville, IL",38.3913889,-89.4900000
"Addison, IL",41.9316667,-87.9888889
"Adeline, IL",42.1433333,-89.4902778
"Aden, IL",38.2416667,-88.4583333
"Adenmoor, IL",39.3658333,-87.7966667
"Adrian, IL",40.5208333,-91.1669444
"Advance, IL",39.1566667,-88.0288889
"Afolkey, IL",42.4325000,-89.5744444
"Afton Center, IL",41.8491667,-88.7736111
"Agnew, IL",41.7866667,-89.8000000
"Ahern, IL",41.1541667,-87.6047222
"Aiken, IL",42.3525000,-90.4152778
"Akin, IL",37.9880556,-88.7475000
"Akin Junction, IL",38.0100000,-88.7613889
"Akron, IL",40.9038889,-89.6538889
"Aladdin, IL",39.7163889,-91.3230556
"Alandale, IL",38.9388889,-90.2291667
"Albany, IL",41.7894444,-90.2191667
"Albers, IL",38.5433333,-89.6122222
"Albion, IL",38.3775000,-88.0561111
"Alda, IL",38.4627778,-89.2366667
"Alden, IL",42.4588889,-88.5177778
"Aldridge, IL",37.5583333,-89.4700000
"Aledo, IL",41.1997222,-90.7491667
"Alexander, IL",39.7244444,-90.0380556
"Alexis, IL",41.0633333,-90.5558333
"Alexis Junction, IL",41.0672222,-90.6383333
"Algonquin, IL",42.1655556,-88.2941667
"Alhambra, IL",38.8883333,-89.7313889
"Aliceville, IL",41.5522222,-89.8794444
"Allen, IL",40.3050000,-89.6494444
"Allendale, IL",38.5266667,-87.7097222
"Allens Corners, IL",42.0994444,-88.4813889
"Allens Spring, IL",37.3688889,-88.6569444
"Allentown, IL",40.5558333,-89.3966667
"Allenville, IL",39.5555556,-88.5297222
"Allerton, IL",39.9116667,-87.9363889
"Allright, IL",39.2972222,-87.7488889
"Alma, IL",38.7216667,-88.9091667
"Almora, IL",42.0608333,-88.3361111
"Almora Heights, IL",42.0427778,-88.3438889
"Alonzo, IL",40.5666667,-87.7311111
"Alorton, IL",38.5897222,-90.1200000
"Alpha, IL",41.1916667,-90.3800000
"Alpine, IL",41.5863889,-87.8813889
"Alsey, IL",39.5605556,-90.4338889
"Alsip, IL",41.6688889,-87.7386111
"Alta, IL",40.8108333,-89.6341667
"Altamont, IL",39.0619444,-88.7480556
"Altgeld Gardens, IL",41.6544444,-87.6019444
"Altmar, IL",41.1419444,-88.8925000
"Alto Pass, IL",37.5702778,-89.3175000
"Alton, IL",38.8905556,-90.1841667
"Altona, IL",41.1147222,-90.1644444
"Altorf, IL",41.1902778,-87.9622222
"Alvin, IL",40.3083333,-87.6083333
"Alworth, IL",42.2436111,-89.2455556
"Amboy, IL",41.7141667,-89.3286111
"Amenia, IL",40.0219444,-88.6663889
"Ament Corners, IL",41.5972222,-88.4358333
"America, IL",37.1383333,-89.1236111
"Ames, IL",38.1466667,-90.0544444
"Amity, IL",38.7763889,-87.9241667
"Anchor, IL",40.5680556,-88.5355556
"Ancona, IL",41.0405556,-88.8725000
"Andalusia, IL",41.4391667,-90.7175000
"Anderson, IL",39.9822222,-90.1588889
"Andover, IL",41.2938889,-90.2919444
"Andres, IL",41.3716667,-87.8825000
"Andrew, IL",39.8955556,-89.6400000
"Andrews and Hurds Subdivision, IL",41.6666667,-87.6319444
"Anna, IL",37.4602778,-89.2469444
"Annapolis, IL",39.1444444,-87.8166667
"Annawan, IL",41.3972222,-89.9044444
"Antioch, IL",42.4772222,-88.0955556
"Apple River, IL",42.5050000,-90.0986111
"Applegate, IL",38.7927778,-87.7966667
"Appleton, IL",40.9358333,-90.1608333
"Aptakisic, IL",42.1825000,-87.9472222
"Arbury Hills, IL",41.5355556,-87.8475000
"Arcadia, IL",39.8391667,-90.2447222
"Archer, IL",39.7813889,-89.7358333
"Archie, IL",39.8941667,-87.8283333
"Arcola, IL",39.6847222,-88.3063889
"Arenzville, IL",39.8769444,-90.3733333
"Argenta, IL",39.9819444,-88.8227778
"Argo Fay, IL",42.0041667,-90.0172222
"Argyle, IL",42.3600000,-88.9400000
"Arlington, IL",41.4736111,-89.2491667
"Arlington Heights, IL",42.0883333,-87.9805556
"Armington, IL",40.3388889,-89.3113889
"Armstrong, IL",40.3063889,-87.8777778
"Arnold, IL",39.7211111,-90.1450000
"Aroma Park, IL",41.0797222,-87.8113889
"Arpee, IL",41.1830556,-90.9469444
"Arrowsmith, IL",40.4494444,-88.6316667
"Arthur, IL",39.7147222,-88.4722222
"Ashdale Junction, IL",42.0850000,-89.9244444
"Ashkum, IL",40.8802778,-87.9550000
"Ashland, IL",39.8877778,-90.0077778
"Ashley, IL",38.3294444,-89.1908333
"Ashmore, IL",39.5330556,-88.0222222
"Ashton, IL",41.8661111,-89.2211111
"Askvig Addition, IL",41.9438889,-89.0741667
"Assumption, IL",39.5202778,-89.0488889
"Astoria, IL",40.2275000,-90.3594444
"Athens, IL",39.9608333,-89.7238889
"Athensville, IL",39.4555556,-90.1891667
"Atkinson, IL",41.4208333,-90.0150000
"Atlanta, IL",40.2594444,-89.2333333
"Atlas, IL",39.5138889,-90.9694444
"Atterberry, IL",40.0608333,-89.9236111
"Attila, IL",37.7697222,-88.7711111
"Atwater, IL",39.3327778,-89.7250000
"Atwood, IL",39.7994444,-88.4622222
"Auburn, IL",39.5916667,-89.7463889
"Augerville, IL",40.1397222,-88.1716667
"Augsburg, IL",38.8666667,-89.0133333
"Augusta, IL",40.2300000,-90.9500000
"Aurora, IL",41.7605556,-88.3200000
"Austin, IL",41.8875000,-87.7647222
"Aux Sable, IL",41.3947222,-88.3286111
"Ava, IL",37.8883333,-89.4947222
"Avena, IL",39.0075000,-88.9277778
"Avery Hill, IL",38.5530556,-90.0269444
"Averyville, IL",40.7166667,-89.5622222
"Aviston, IL",38.6066667,-89.6075000
"Avon, IL",40.6641667,-90.4347222
"Ayers, IL",38.9636111,-89.4519444
"Babcock, IL",41.5294444,-90.3958333
"Babylon, IL",40.5908333,-90.3491667
"Bader, IL",40.1730556,-90.3686111
"Baileyville, IL",42.1972222,-89.5933333
"Bainbridge, IL",37.7338889,-88.9930556
"Baker, IL",41.5555556,-88.8111111
"Bakers Crossroads, IL",37.6280556,-89.1147222
"Bakerville, IL",38.2583333,-88.8975000
"Balcom, IL",37.4130556,-89.2061111
"Bald Bluff, IL",41.0186111,-90.8536111
"Bald Mound, IL",41.8461111,-88.4063889
"Baldwin, IL",38.1830556,-89.8425000
"Baldwin Beach, IL",40.3458333,-90.0319444
"Baldwin Heights, IL",38.4497222,-89.1447222
"Ballou, IL",41.2775000,-88.1019444
"Bancroft Corners, IL",42.4211111,-87.8619444
"Bando, IL",39.8275000,-89.7094444
"Banklick, IL",37.8272222,-88.7022222
"Banner, IL",40.5169444,-89.9083333
"Bannister, IL",38.6188889,-88.8597222
"Bannockburn, IL",42.1933333,-87.8663889
"Barbers Corners, IL",41.7108333,-88.0683333
"Barclay, IL",39.8747222,-89.5177778
"Bardolph, IL",40.4950000,-90.5644444
"Barlow Park, IL",40.3094444,-87.6230556
"Barnes, IL",40.5027778,-88.9016667
"Barnett, IL",39.2644444,-89.6972222
"Barnhill, IL",38.2844444,-88.3641667
"Barr, IL",39.4047222,-90.1041667
"Barreville, IL",42.2755556,-88.2625000
"Barrington, IL",42.1538889,-88.1361111
"Barrington Center, IL",42.1105556,-88.1941667
"Barrington Hills, IL",42.1686111,-88.2575000
"Barrington Woods, IL",42.1522222,-88.0558333
"Barrow, IL",39.5061111,-90.4013889
"Barry, IL",39.6941667,-91.0388889
"Barstow, IL",41.5183333,-90.3569444
"Bartelso, IL",38.5363889,-89.4663889
"Bartlett, IL",41.9950000,-88.1855556
"Bartonville, IL",40.6502778,-89.6519444
"Basco, IL",40.3277778,-91.2000000
"Batavia, IL",41.8500000,-88.3125000
"Batavia Junction, IL",41.7952778,-88.2405556
"Batchtown, IL",39.0330556,-90.6575000
"Bates, IL",39.7241667,-89.8494444
"Batestown, IL",40.1200000,-87.6963889
"Bath, IL",40.1933333,-90.1408333
"Baum, IL",39.3275000,-90.3155556
"Bay City, IL",37.2488889,-88.4966667
"Bay View Garden, IL",40.8088889,-89.5205556
"Bayle City, IL",39.1138889,-89.1661111
"Baylestown, IL",39.0913889,-89.8794444
"Baylis, IL",39.7283333,-90.9080556
"Beach Park, IL",42.4222222,-87.8572222
"Beach Station, IL",42.4211111,-87.8491667
"Beamington, IL",39.6708333,-89.5916667
"Beardstown, IL",40.0175000,-90.4241667
"Bearsdale, IL",39.8969444,-89.0111111
"Beason, IL",40.1436111,-89.1933333
"Beaty, IL",40.2750000,-90.2458333
"Beaucoup, IL",38.3497222,-89.2919444
"Beaver Creek, IL",38.7675000,-89.3936111
"Beaverton Crossroads, IL",42.4077778,-88.8216667
"Beaverville, IL",40.9544444,-87.6544444
"Beckemeyer, IL",38.6055556,-89.4358333
"Bedford, IL",39.5291667,-90.5841667
"Bedford Park, IL",41.7627778,-87.8000000
"Bee Creek, IL",39.4002778,-90.6358333
"Beecher, IL",41.3405556,-87.6213889
"Beecher City, IL",39.1880556,-88.7866667
"Beechville, IL",38.9713889,-90.6475000
"Belden, IL",42.4741667,-88.3472222
"Belgium, IL",40.0613889,-87.6380556
"Belgium Row, IL",40.1330556,-87.7536111
"Belknap, IL",37.3250000,-88.9388889
"Bell, IL",40.1919444,-89.3875000
"Bell Ridge, IL",39.5077778,-87.7647222
"Bellair, IL",39.1419444,-87.9452778
"Belle Prairie City, IL",38.2225000,-88.5552778
"Belle Rive, IL",38.2327778,-88.7405556
"Belleview, IL",39.3508333,-90.7811111
"Belleville, IL",38.5200000,-89.9838889
"Bellevue, IL",40.6844444,-89.6800000
"Bellflower, IL",40.3400000,-88.5269444
"Bellmont, IL",38.3844444,-87.9113889
"Belltown, IL",39.3825000,-90.4077778
"Bellwood, IL",41.8813889,-87.8830556
"Belmont, IL",41.7927778,-88.0377778
"Belmont Village, IL",38.9422222,-90.1844444
"Beltrees, IL",38.9594444,-90.3255556
"Belvidere, IL",42.2638889,-88.8441667
"Bement, IL",39.9219444,-88.5719444
"Benld, IL",39.0927778,-89.8038889
"Bennett, IL",40.0641667,-87.8061111
"Bennett Landing, IL",37.5338889,-89.4983333
"Bennington, IL",38.5241667,-88.1313889
"Bensenville, IL",41.9550000,-87.9400000
"Benson, IL",40.8505556,-89.1222222
"Bentley, IL",40.3444444,-91.1116667
"Benton, IL",37.9966667,-88.9200000
"Benton Park, IL",38.0597222,-88.9147222
"Bentown, IL",40.4719444,-88.8063889
"Benville, IL",39.8641667,-90.8647222
"Berdan, IL",39.3650000,-90.3952778
"Berger, IL",41.6236111,-87.5919444
"Berkeley, IL",41.8888889,-87.9033333
"Berlin, IL",39.7588889,-89.9030556
"Bernice, IL",41.5791667,-87.5480556
"Berry, IL",39.7130556,-89.4708333
"Berryville, IL",38.5994444,-87.9286111
"Berwick, IL",40.7991667,-90.5383333
"Berwyn, IL",41.8505556,-87.7936111
"Bessie, IL",37.9972222,-88.8125000
"Bethalto, IL",38.9091667,-90.0405556
"Bethany, IL",39.6455556,-88.7380556
"Bethel, IL",39.7763889,-90.4247222
"Beverly, IL",39.7933333,-90.9908333
"Beverly Manor, IL",40.6950000,-89.4675000
"Bible Grove, IL",38.8719444,-88.4461111
"Biddleborn, IL",38.2977778,-89.6847222
"Big Bay, IL",37.3166667,-88.7216667
"Big Foot Prairie, IL",42.4950000,-88.5988889
"Big Rock, IL",41.7638889,-88.5469444
"Big Run Acres, IL",41.6469444,-88.0252778
"Biggs, IL",40.2413889,-89.9041667
"Biggsville, IL",40.8536111,-90.8647222
"Billett, IL",38.6644444,-87.6522222
"Bingham, IL",39.1141667,-89.2133333
"Binghampton, IL",41.7166667,-89.3038889
"Bingman Station, IL",38.0830556,-88.2447222
"Binney, IL",38.9900000,-89.7272222
"Binnie Hills, IL",42.1211111,-88.3636111
"Binnie Lakes, IL",42.1163889,-88.3594444
"Birch Island, IL",39.1313889,-90.6811111
"Birds, IL",38.8369444,-87.6677778
"Birkbeck, IL",40.1769444,-88.8683333
"Birkner, IL",38.5622222,-90.0291667
"Birmingham, IL",40.2641667,-90.8208333
"Bishop, IL",40.3458333,-89.8747222
"Bishop Hill, IL",41.2016667,-90.1188889
"Bismarck, IL",40.2638889,-87.6080556
"Bissell, IL",39.8461111,-89.5816667
"Bixby, IL",38.4930556,-90.2236111
"Black, IL",38.4677778,-88.1027778
"Blackhawk, IL",42.1875000,-90.2238889
"Blackland, IL",39.7613889,-89.1038889
"Blacks, IL",40.0702778,-90.9980556
"Blackstone, IL",41.0844444,-88.6908333
"Blaine, IL",42.4469444,-88.8030556
"Blair, IL",38.0447222,-89.7419444
"Blairsville, IL",37.8111111,-89.1236111
"Blakes, IL",41.4586111,-88.7527778
"Blanding, IL",42.2747222,-90.3858333
"Blandinsville, IL",40.5561111,-90.8658333
"Block, IL",39.9683333,-88.0855556
"Blodgett, IL",41.3775000,-88.1900000
"Bloomfield, IL",40.0208333,-91.3069444
"Bloomingdale, IL",41.9575000,-88.0808333
