name,lat,lon
"Aaron, IN",38.8830556,-85.1258333
"Aberdeen, IN",38.9052778,-84.9875000
"Abington, IN",39.7330556,-84.9630556
"Aboite, IN",41.0008333,-85.3180556
"Abydel, IN",38.5705556,-86.5611111
"Academie, IN",41.1708333,-85.1458333
"Acme, IN",38.9780556,-86.0588889
"Acton, IN",39.6555556,-85.9669444
"Adams, IN",39.3825000,-85.5600000
"Adams Mill, IN",40.4805556,-86.5088889
"Adamsboro, IN",40.7844444,-86.2669444
"Ade, IN",40.8683333,-87.4447222
"Adel, IN",39.1919444,-86.7958333
"Advance, IN",39.9958333,-86.6200000
"Adyeville, IN",38.1908333,-86.7694444
"Aetna, IN",41.5919444,-87.2894444
"Africa, IN",37.8402778,-87.0727778
"Ainsworth, IN",41.4877778,-87.2586111
"Aix, IN",41.0413889,-87.1513889
"Akron, IN",41.0383333,-86.0280556
"Alamo, IN",39.9819444,-87.0572222
"Alaska, IN",39.4702778,-86.6413889
"Albany, IN",40.3008333,-85.2419444
"Albion, IN",41.3955556,-85.4244444
"Aldine, IN",41.2008333,-86.6744444
"Alert, IN",39.1602778,-85.6783333
"Alexandria, IN",40.2627778,-85.6758333
"Alfont, IN",39.9513889,-85.8147222
"Alford, IN",38.4913889,-87.2427778
"Alfordsville, IN",38.5605556,-86.9483333
"Algiers, IN",38.4872222,-87.1750000
"Alida, IN",41.5105556,-86.9030556
"Allen, IN",41.2000000,-85.1958333
"Allen Crossing, IN",39.1038889,-85.3169444
"Allendale, IN",39.3916667,-87.3958333
"Allensville, IN",38.8730556,-85.0202778
"Alliance, IN",40.0333333,-85.6500000
"Allisonville, IN",39.9050000,-86.0783333
"Allman, IN",39.6172222,-86.4311111
"Alma Lake, IN",39.6083333,-87.0194444
"Alpine, IN",39.5538889,-85.1758333
"Alquina, IN",39.6127778,-85.0547222
"Alta, IN",39.7722222,-87.3866667
"Altamont Switch, IN",40.3786111,-86.8744444
"Alto, IN",40.4400000,-86.1655556
"Alton, IN",38.1225000,-86.4177778
"Altona, IN",41.3513889,-85.1550000
"Alvarado, IN",41.5766667,-84.8377778
"Ambia, IN",40.4900000,-87.5169444
"Ambler, IN",41.7158333,-86.7966667
"Amboy, IN",40.6013889,-85.9288889
"America, IN",40.6791667,-85.7019444
"Americus, IN",40.5258333,-86.7580556
"Ames, IN",40.0333333,-86.8869444
"Amity, IN",39.4261111,-86.0011111
"Amo, IN",39.6880556,-86.6136111
"Anderson, IN",40.1052778,-85.6802778
"Andersonville, IN",39.4975000,-85.2888889
"Andrews, IN",40.8625000,-85.6016667
"Andry, IN",41.7177778,-86.7580556
"Angola, IN",41.6347222,-84.9994444
"Anita, IN",39.4258333,-86.1913889
"Annandale Estates, IN",39.2177778,-86.2661111
"Annapolis, IN",39.8525000,-87.2505556
"Anoka, IN",40.7219444,-86.2825000
"Ansley Acres, IN",41.0783333,-85.2122222
"Anthony, IN",40.2777778,-85.4361111
"Anthony Wayne Village, IN",41.0394444,-85.1055556
"Antioch, IN",40.2280556,-86.5058333
"Antioch Grange, IN",38.7372222,-85.4702778
"Antiville, IN",40.4975000,-84.9786111
"Apalona, IN",38.1544444,-86.6322222
"Arabia, IN",39.7661111,-87.3219444
"Arba, IN",40.0108333,-84.8669444
"Arcadia, IN",40.1758333,-86.0216667
"Arcana, IN",40.5386111,-85.5033333
"Arcola, IN",41.1036111,-85.2941667
"Arctic Springs, IN",38.2830556,-85.7113889
"Arda, IN",38.5172222,-87.2505556
"Ardmore, IN",41.6891667,-86.3175000
"Argos, IN",41.6972222,-86.2450000
"Ari, IN",41.2636111,-85.2494444
"Arlington, IN",39.6425000,-85.5763889
"Armiesburg, IN",39.7633333,-87.3511111
"Armstrong, IN",38.1091667,-87.6472222
"Arney, IN",39.2186111,-86.9316667
"Aroma, IN",40.1994444,-85.8741667
"Arrowhead Park, IN",41.2788889,-85.7900000
"Art, IN",39.4027778,-87.1552778
"Arthur, IN",38.3405556,-87.2458333
"Artic, IN",41.4736111,-84.8147222
"Artist Point, IN",38.1608333,-86.3705556
"Ash Grove, IN",40.5477778,-86.8477778
"Ash Iron Springs, IN",38.0352778,-87.1866667
"Ashboro, IN",39.3988889,-87.1058333
"Ashby Yards, IN",38.4744444,-87.2847222
"Asherville, IN",39.4747222,-87.0622222
"Ashland, IN",39.9261111,-85.3044444
"Ashley, IN",41.5272222,-85.0655556
"Asphaltum, IN",41.1002778,-86.9980556
"Athens, IN",41.0536111,-86.1252778
"Atherton, IN",39.6080556,-87.3619444
"Atkinson, IN",40.5627778,-87.2466667
"Atkinsonville, IN",39.3777778,-86.8733333
"Atlanta, IN",40.2152778,-86.0263889
"Attica, IN",40.2941667,-87.2488889
"Atwood, IN",41.2608333,-85.9752778
"Auburn, IN",41.3669444,-85.0588889
"Auburn Junction, IN",41.3519444,-85.0747222
"Augusta, IN",38.3313889,-87.1908333
"Aultshire, IN",40.2119444,-85.3461111
"Aurora, IN",39.0569444,-84.9013889
"Austin, IN",38.7583333,-85.8080556
"Avalon, IN",41.0161111,-85.1577778
"Avalon Hills, IN",39.8780556,-86.0558333
"Avery, IN",40.3088889,-86.4405556
"Avilla, IN",41.3658333,-85.2388889
"Avoca, IN",38.9119444,-86.5477778
"Avon, IN",39.7627778,-86.3997222
"Avonburg, IN",38.8863889,-85.1722222
"Aylesworth, IN",40.2030556,-87.2430556
"Ayrshire, IN",38.3719444,-87.2408333
"Azalia, IN",39.0916667,-85.8472222
"Babcock, IN",41.5725000,-87.1050000
"Bacon, IN",38.4105556,-86.4333333
"Badger Grove, IN",40.5836111,-86.9636111
"Baileys Corner, IN",41.0708333,-86.9983333
"Bainbridge, IN",39.7611111,-86.8119444
"Bainter Town, IN",41.5169444,-85.8172222
"Baker, IN",39.1305556,-87.3125000
"Bakers Corner, IN",40.1305556,-86.1375000
"Bakertown, IN",41.3663889,-85.3572222
"Balbec, IN",40.5308333,-85.1488889
"Bald Knobs, IN",39.0200000,-86.1705556
"Baldridge, IN",39.2230556,-87.3722222
"Baldwin Heights, IN",38.3413889,-87.5713889
"Ballstown, IN",39.2505556,-85.2441667
"Bandmill, IN",38.5383333,-87.6027778
"Bandon, IN",38.1372222,-86.6002778
"Banner Mills, IN",39.9327778,-87.1011111
"Banning Corner, IN",40.3663889,-87.1625000
"Banquo, IN",40.6963889,-85.6197222
"Banta, IN",39.5238889,-86.2502778
"Bar-Barry Heights, IN",40.4561111,-86.9158333
"Barbee, IN",41.2908333,-85.7122222
"Barbersville, IN",38.9058333,-85.2808333
"Barce, IN",40.6208333,-87.2766667
"Bargersville, IN",39.5208333,-86.1677778
"Barnard, IN",39.8486111,-86.7005556
"Barnhart Town, IN",39.5038889,-87.4355556
"Barrett, IN",38.2005556,-87.8694444
"Barrick Corner, IN",39.2561111,-87.0733333
"Bartle, IN",38.5602778,-85.8875000
"Bartlettsville, IN",38.9702778,-86.4419444
"Bartonia, IN",40.1152778,-84.8511111
"Bartons Location, IN",38.5291667,-87.3394444
"Bascom Corner, IN",38.9088889,-84.9686111
"Bass Lake, IN",41.2072222,-86.6019444
"Bass Station, IN",41.1852778,-86.6022222
"Batesville, IN",39.3000000,-85.2222222
"Bath, IN",39.5083333,-84.8625000
"Battle Ground, IN",40.5083333,-86.8416667
"Baugh City, IN",38.0416667,-87.4125000
"Bayfield, IN",41.2747222,-85.7069444
"Beal, IN",38.5766667,-87.6300000
"Beamer, IN",39.3666667,-86.9375000
"Beanblossom, IN",39.2669444,-86.2491667
"Bear Branch, IN",38.9127778,-85.0750000
"Bear Wallow, IN",39.3236111,-86.3688889
"Beard, IN",40.3736111,-86.4505556
"Beardstown, IN",41.1380556,-86.6025000
"Beatrice, IN",41.4269444,-87.1894444
"Beattys Corner, IN",41.6222222,-86.8938889
"Beatys Beach, IN",41.6841667,-85.6036111
"Beaver City, IN",40.9069444,-87.4155556
"Beaver Dam, IN",41.0861111,-86.0133333
"Becks Grove, IN",39.0791667,-86.1166667
"Becks Mill, IN",38.5352778,-86.1555556
"Beckville, IN",40.0105556,-86.7097222
"Bedford, IN",38.8611111,-86.4872222
"Bee Ridge, IN",39.5369444,-87.1694444
"Beech Brook, IN",39.5522222,-85.7977778
"Beech Grove, IN",39.7219444,-86.0900000
"Beechwood, IN",38.2066667,-86.4244444
"Beehunter, IN",38.9561111,-87.1211111
"Beesons, IN",39.7216667,-85.1330556
"Behlmer Corner, IN",39.2025000,-85.1697222
"Belknap, IN",37.9833333,-87.6880556
"Bell Center, IN",40.8686111,-86.6391667
"Bell Rohr Park, IN",41.3316667,-85.7811111
"Belle Arbor, IN",39.7202778,-85.9875000
"Belle Union, IN",39.5730556,-86.7061111
"Belleview, IN",38.8558333,-85.3780556
"Belleville, IN",39.6772222,-86.4883333
"Bellfountain, IN",40.4333333,-84.8636111
"Bellmore, IN",39.7591667,-87.1052778
"Belmont, IN",39.1519444,-86.3472222
"Belshaw, IN",41.2563889,-87.4533333
"Ben Davis, IN",39.7480556,-86.2694444
"Benefiel Corner, IN",39.1283333,-87.4088889
"Bengal, IN",39.4733333,-85.9227778
"Benham, IN",38.9836111,-85.2502778
"Bennetts Switch, IN",40.5850000,-86.1127778
"Bennettsville, IN",38.4255556,-85.8086111
"Bennington, IN",38.8588889,-85.1405556
"Benton, IN",41.5091667,-85.7611111
"Benton House, IN",39.7647222,-86.0763889
"Bentonville, IN",39.7452778,-85.1941667
"Benwood, IN",39.5611111,-87.1141667
"Berlien, IN",41.6366667,-84.8766667
"Berne, IN",40.6577778,-84.9519444
"Bethany, IN",39.1738889,-86.0652778
"Bethel, IN",39.9866667,-84.8302778
"Bethel Village, IN",39.1519444,-85.9247222
"Bethevan, IN",40.5250000,-85.6333333
"Bethlehem, IN",38.5391667,-85.4205556
"Between-The-Lakes Park, IN",41.3247222,-85.7366667
"Beverly Hill, IN",41.5488889,-86.9855556
"Beverly Shores, IN",41.6925000,-86.9775000
"Bicknell, IN",38.7741667,-87.3077778
"Big Four Yard, IN",39.7611111,-86.3583333
"Big Hill, IN",41.0452778,-86.1958333
"Big Springs, IN",40.0702778,-86.2605556
"Billie Creek Village, IN",39.7613889,-87.2019444
"Billingsville, IN",39.5558333,-84.9097222
"Billtown, IN",39.5100000,-87.1861111
"Billville, IN",39.5036111,-87.1255556
"Bippus, IN",40.9441667,-85.6238889
"Birchim, IN",41.7102778,-86.6027778
"Birdseye, IN",38.3166667,-86.6958333
"Birmingham, IN",40.9377778,-86.1094444
"Black Oak, IN",38.6625000,-87.0811111
"Black Point, IN",41.4050000,-85.6836111
"Black Rock, IN",40.3677778,-87.0969444
"Blackhawk, IN",39.3088889,-87.3002778
"Blackhawk Beach, IN",41.5177778,-87.0411111
"Blackiston Mill, IN",38.3355556,-85.7980556
"Blackiston Village, IN",38.3319444,-85.7930556
"Blaine, IN",40.4025000,-85.0561111
"Blairsville, IN",38.0788889,-87.7619444
"Blakesburg, IN",39.8072222,-86.9100000
"Blanford, IN",39.6650000,-87.5205556
"Blocher, IN",38.7180556,-85.6566667
"Bloods Wood Crossing, IN",38.5386111,-87.6302778
"Bloomer, IN",40.0838889,-85.7680556
"Bloomfield, IN",39.0269444,-86.9375000
"Blooming Grove, IN",39.5022222,-85.0647222
"Bloomingdale, IN",39.8333333,-87.2497222
"Bloomingport, IN",40.0269444,-84.9947222
"Bloomington, IN",39.1652778,-86.5263889
"Blountsville, IN",40.0600000,-85.2402778
"Blue, IN",38.9250000,-85.0047222
"Blue Lick, IN",38.5083333,-85.8047222
"Blue Ridge, IN",39.5191667,-85.6355556
"Blue River, IN",38.5300000,-85.9394444
"Bluecast, IN",41.1541667,-84.8694444
"Bluff Creek, IN",39.5575000,-86.2208333
"Bluff Point, IN",40.3458333,-84.9772222
"Bluffs, IN",39.5688889,-86.2511111
"Bluffton, IN",40.7386111,-85.1716667
"Board Park, IN",39.5927778,-86.6700000
"Bobtown, IN",39.0194444,-85.9461111
"Boggstown, IN",39.5630556,-85.9163889
"Bogle Corner, IN",39.1775000,-87.1847222
"Bolivar, IN",40.9641667,-85.7875000
"Bonds, IN",38.6811111,-86.6294444
"Bonnell, IN",39.1683333,-84.9741667
"Bonneyville Mills, IN",41.7180556,-85.7652778
"Bono, IN",38.7313889,-86.3211111
"Boone Grove, IN",41.3547222,-87.1294444
"Boonville, IN",38.0491667,-87.2741667
"Borden, IN",38.4666667,-85.9458333
"Boston, IN",39.7411111,-84.8519444
"Boston Corner, IN",40.9483333,-84.9002778
"Boswell, IN",40.5211111,-87.3783333
"Boundary City, IN",40.3444444,-84.9219444
"Bourbon, IN",41.2955556,-86.1163889
"Bowers, IN",40.1569444,-86.7247222
"Bowerstown, IN",40.8886111,-85.4425000
"Bowling Green, IN",39.3830556,-87.0116667
"Bowman, IN",38.4963889,-87.3469444
"Bowman Acres, IN",39.7619444,-85.7675000
"Boxley, IN",40.1661111,-86.1755556
"Boyd, IN",39.7186111,-85.5511111
"Boyleston, IN",40.2863889,-86.3947222
"Bracken, IN",40.9866667,-85.6238889
"Bradfield Corner, IN",39.7322222,-87.2988889
"Bradford, IN",38.3677778,-86.0619444
"Bramble, IN",38.7788889,-86.9094444
"Branchville, IN",38.1636111,-86.5797222
"Braxtons Siding, IN",38.5591667,-86.4880556
"Braysville, IN",39.2880556,-84.8697222
"Braytown, IN",38.7305556,-85.1586111
"Brazil, IN",39.5236111,-87.1250000
"Breckenridge, IN",38.2177778,-86.0330556
"Breezy Point, IN",40.6919444,-86.7530556
"Bremen, IN",41.4463889,-86.1480556
"Brems, IN",41.3391667,-86.6975000
"Brendan Wood, IN",40.0672222,-86.4688889
"Brendonwood, IN",39.8577778,-86.0638889
"Brent Woods, IN",39.5383333,-85.7569444
"Brentwood, IN",40.0975000,-85.7152778
"Bretzville, IN",38.2994444,-86.8730556
"Brewersville, IN",39.0844444,-85.6116667
"Briarwood, IN",39.5508333,-86.5066667
"Brice, IN",40.4180556,-84.8963889
"Brick Chapel, IN",39.7116667,-86.8691667
"Bridgeport, IN",38.1761111,-85.9063889
"Bridgeton, IN",39.6450000,-87.1775000
"Brierwood Hills, IN",41.0552778,-85.2341667
"Briggs, IN",41.0855556,-85.4702778
"Bright, IN",39.2183333,-84.8561111
"Brighton, IN",41.7222222,-85.3111111
"Brimfield, IN",41.4541667,-85.3980556
"Brimstone Corners, IN",38.7372222,-86.2644444
"Bringhurst, IN",40.5252778,-86.5250000
"Brisco, IN",40.4111111,-87.3583333
"Bristol, IN",41.7213889,-85.8175000
"Bristow, IN",38.1400000,-86.7216667
"Broad Park, IN",39.5858333,-86.6694444
"Broad Ripple, IN",39.8666667,-86.1416667
"Broadmoor, IN",39.8488889,-86.2141667
"Broadview, IN",39.1397222,-86.5383333
"Bromer, IN",38.5936111,-86.3358333
"Brook, IN",40.8663889,-87.3636111
"Brookfield, IN",39.6377778,-85.9427778
"Brookhaven, IN",40.5197222,-85.6158333
"Brooklyn, IN",39.5391667,-86.3691667
"Brooklyn Heights, IN",39.8202778,-86.2091667
"Brookmoor, IN",39.5675000,-86.3747222
"Brooks, IN",39.9383333,-85.9191667
"Brooksburg, IN",38.7363889,-85.2436111
"Brookside Estates, IN",41.1466667,-85.0791667
"Brookston, IN",40.6027778,-86.8672222
"Brookville, IN",39.4230556,-85.0127778
"Brookville Heights, IN",39.7244444,-85.9066667
"Broom Hill, IN",38.4488889,-85.8775000
"Brown Jug Corner, IN",39.2880556,-87.2588889
"Browns Corner, IN",40.8150000,-85.4116667
"Browns Crossing, IN",39.4063889,-86.5055556
"Browns Valley, IN",39.9030556,-86.9919444
"Brownsburg, IN",39.8433333,-86.3977778
"Brownstown, IN",38.8788889,-86.0419444
"Brownsville, IN",39.6644444,-85.0047222
"Bruce Lake Station, IN",41.0694444,-86.4147222
"Bruceville, IN",38.7594444,-87.4155556
"Brummitt Acres, IN",41.6188889,-87.0169444
"Brunerstown, IN",39.6525000,-86.9983333
"Brunswick, IN",41.3777778,-87.5080556
"Brushy Prairie, IN",41.6416667,-85.2475000
"Bryant, IN",40.5333333,-84.9638889
"Bryantsburg, IN",38.8858333,-85.3744444
"Bryantsville, IN",38.7686111,-86.5730556
"Buchanan, IN",38.2161111,-85.8994444
"Buchanan Corner, IN",39.1925000,-87.2033333
"Buck Creek, IN",40.4877778,-86.7613889
"Buckeye, IN",40.6911111,-85.3538889
"Buckskin, IN",38.2283333,-87.4119444
"Bucktown, IN",38.9947222,-87.2600000
"Bud, IN",39.4469444,-86.1758333
"Buddha, IN",38.7919444,-86.4066667
"Buena Vista, IN",39.4388889,-85.2725000
"Buenavista, IN",39.0330556,-86.6555556
"Buffalo, IN",40.8825000,-86.7452778
"Buffaloville, IN",38.0975000,-86.9652778
"Buffington, IN",41.6372222,-87.4258333
"Bufkin, IN",37.9877778,-87.8458333
"Bullocktown, IN",37.9747222,-87.2227778
"Bunker Hill, IN",40.6602778,-86.1027778
"Burdick, IN",41.6011111,-86.9727778
"Burge Terrace, IN",39.7433333,-85.9963889
"Burket, IN",41.1552778,-85.9686111
"Burlington, IN",40.4802778,-86.3947222
"Burlington Beach, IN",41.5058333,-87.0452778
"Burnett, IN",39.5427778,-87.2955556
"Burnettsville, IN",40.7611111,-86.5936111
"Burney, IN",39.3172222,-85.6402778
"Burns City, IN",38.8225000,-86.8869444
"Burns Harbor, IN",41.6258333,-87.1333333
"Burnsville, IN",39.1727778,-85.7402778
"Burr Oak, IN",41.3230556,-85.4330556
"Burrows, IN",40.6766667,-86.5075000
"Bushrod, IN",38.9688889,-87.1088889
"Busseron, IN",38.8355556,-87.4491667
"Butler, IN",41.4297222,-84.8713889
"Butler Center, IN",41.3083333,-85.1366667
"Butlerville, IN",39.0344444,-85.5127778
"Buttermilk Point, IN",41.3772222,-85.6741667
"Byrneville, IN",38.3275000,-86.0436111
"Byron, IN",41.6561111,-86.6247222
"C and C Beach, IN",40.7033333,-86.7563889
"Caborn, IN",37.9705556,-87.7919444
"Cadiz, IN",39.9513889,-85.4866667
"Cagle Mill, IN",39.4872222,-86.9397222
"Cairo, IN",40.5408333,-86.9247222
"Calcutta, IN",39.6041667,-87.0694444
"Cale, IN",38.7958333,-86.7513889
"Calvertville, IN",39.1163889,-86.9038889
"Cambria, IN",40.3658333,-86.5591667
