name,lat,lon
"Abbyville, KS",37.9708333,-98.2038889
"Abilene, KS",38.9172222,-97.2136111
"Achilles, KS",39.7119444,-100.8358333
"Acme, KS",38.8425000,-97.2605556
"Ada, KS",39.1513889,-97.8888889
"Adams, KS",37.4586111,-97.9772222
"Adams Corner, KS",38.0575000,-98.0869444
"Adamsville, KS",37.1733333,-97.1761111
"Admire, KS",38.6411111,-96.1027778
"Aetna, KS",37.0838889,-98.9625000
"Agenda, KS",39.7077778,-97.4313889
"Agra, KS",39.7616667,-99.1188889
"Agricola, KS",38.4194444,-95.5347222
"Aikins, KS",39.3680556,-96.1161111
"Aikman, KS",37.9897222,-96.6805556
"Akron, KS",37.3516667,-97.0147222
"Alameda, KS",37.5611111,-98.0611111
"Alamota, KS",38.4611111,-100.3097222
"Alanthus, KS",38.7000000,-100.1666667
"Albert, KS",38.4527778,-99.0111111
"Alcove Spring, KS",39.7608333,-96.6777778
"Alden, KS",38.2422222,-98.3116667
"Alexander, KS",38.4694444,-99.5527778
"Alfmil, KS",39.1319444,-97.7219444
"Aliceville, KS",38.1544444,-95.5516667
"Alida, KS",39.0958333,-96.9400000
"Allen, KS",38.6561111,-96.1694444
"Allendorph, KS",38.9927778,-96.2708333
"Allison, KS",39.5750000,-100.2638889
"Alma, KS",39.0166667,-96.2888889
"Almena, KS",39.8922222,-99.7066667
"Alta Mills, KS",38.1177778,-97.5916667
"Alta Vista, KS",38.8638889,-96.4888889
"Altamont, KS",37.1902778,-95.2969444
"Alton, KS",39.4708333,-98.9477778
"Altoona, KS",37.5238889,-95.6611111
"America City, KS",39.5736111,-96.0316667
"Americus, KS",38.5069444,-96.2616667
"Ames, KS",39.5694444,-97.4416667
"Amy, KS",38.4819444,-100.6013889
"Anchorway, KS",38.3488889,-98.8158333
"Andale, KS",37.7905556,-97.6291667
"Andover, KS",37.7138889,-97.1361111
"Angelus, KS",39.1911111,-100.6838889
"Angola, KS",37.1055556,-95.4491667
"Annelly, KS",37.9722222,-97.2008333
"Anness, KS",37.4819444,-97.7283333
"Anson, KS",37.3652778,-97.5294444
"Antelope, KS",38.4361111,-96.9736111
"Anthony, KS",37.1533333,-98.0308333
"Antioch, KS",38.7233333,-94.9452778
"Antonino, KS",38.7838889,-99.3922222
"Arcadia, KS",37.6419444,-94.6236111
"Arcola, KS",38.7508333,-97.9333333
"Ardell, KS",37.9016667,-99.4961111
"Argentine, KS",39.0750000,-94.6722222
"Argonia, KS",37.2658333,-97.7652778
"Arkalon, KS",37.1430556,-100.8069444
"Arkansas City, KS",37.0619444,-97.0380556
"Arlington, KS",37.8966667,-98.1783333
"Arma, KS",37.5438889,-94.7000000
"Arnold, KS",38.6402778,-100.0458333
"Arrington, KS",39.4627778,-95.5361111
"Arthur Heights, KS",37.7697222,-97.2647222
"Arvonia, KS",38.4805556,-95.8694444
"Ash Grove, KS",39.1613889,-98.3616667
"Ash Valley, KS",38.3050000,-99.2161111
"Asherville, KS",39.4058333,-97.9766667
"Ashland, KS",37.1886111,-99.7652778
"Ashton, KS",37.0830556,-97.2383333
"Assaria, KS",38.6802778,-97.6041667
"Astor, KS",38.4727778,-101.9025000
"Atchison, KS",39.5630556,-95.1213889
"Athens, KS",37.9069444,-95.6136111
"Athol, KS",39.7650000,-98.9191667
"Atlanta, KS",37.4363889,-96.7644444
