name,lat,lon
"Aaron, KY",36.8125000,-85.1808333
"Aberdeen, KY",37.2538889,-86.6816667
"Abigail, KY",38.5766667,-83.9822222
"Absher, KY",37.1686111,-85.2591667
"Access, KY",38.2091667,-83.0711111
"Acorn, KY",37.1330556,-84.3777778
"Acton, KY",37.3469444,-85.2480556
"Adaburg, KY",37.5916667,-86.8477778
"Adair, KY",37.9505556,-86.8266667
"Adairville, KY",36.6675000,-86.8519444
"Adams, KY",38.0544444,-82.7077778
"Adamson, KY",37.2016667,-82.5791667
"Addison, KY",37.9161111,-86.5650000
"Adele, KY",37.7572222,-83.3011111
"Aden, KY",38.2794444,-83.0472222
"Adolphus, KY",36.6516667,-86.2613889
"Aetnaville, KY",37.6727778,-86.7905556
"Aflex, KY",37.6580556,-82.2475000
"Agawam, KY",37.9144444,-84.0880556
"Ages, KY",36.8577778,-83.2463889
"Agnes, KY",37.0483333,-87.0202778
"Airedale, KY",37.6025000,-83.6394444
"Airport Gardens, KY",37.2869444,-83.2030556
"Akersville, KY",36.6475000,-85.9377778
"Albany, KY",36.6908333,-85.1347222
"Alberta, KY",38.4000000,-84.4741667
"Albia, KY",37.3047222,-84.5933333
"Alcalde, KY",37.0550000,-84.5513889
"Alcorn, KY",37.5613889,-84.0488889
"Alexandria, KY",38.9594444,-84.3880556
"Alger, KY",37.3130556,-83.7316667
"Alhambra, KY",38.4902778,-83.9455556
"Aliceton, KY",37.5908333,-85.0300000
"Allais, KY",37.2666667,-83.1822222
"Allegre, KY",36.9286111,-87.2172222
"Allen City, KY",37.6094444,-82.7277778
"Allen Springs, KY",36.8316667,-86.3150000
"Allendale, KY",37.3711111,-85.5830556
"Allensville, KY",36.7166667,-87.0661111
"Allock, KY",37.2288889,-83.0733333
"Almo, KY",36.6947222,-88.2783333
"Almo Heights, KY",36.6927778,-88.2958333
"Alonzo, KY",36.6930556,-86.3447222
"Alpha, KY",36.7622222,-85.0102778
"Alphoretta, KY",37.5630556,-82.7644444
"Alpine, KY",36.9250000,-84.5208333
"Alton, KY",38.0888889,-84.9350000
"Alton Station, KY",38.0780556,-84.9422222
"Altona, KY",37.0522222,-88.3961111
"Altro, KY",37.3808333,-83.3822222
"Alum Springs, KY",37.5966667,-84.8405556
"Alumbaugh, KY",37.5975000,-83.9300000
"Alva, KY",36.7350000,-83.4244444
"Alvaton, KY",36.8733333,-86.3530556
"Alvin, KY",37.6366667,-82.6950000
"Amandaville, KY",36.8966667,-85.3111111
"Amba, KY",37.5297222,-82.6430556
"Amburgey, KY",37.2613889,-82.9986111
"Ammie, KY",37.2663889,-83.6922222
"Ammons, KY",37.9511111,-86.4938889
"Amos, KY",36.6525000,-86.0883333
