name,lat,lon
"Abbeville, LA",29.9744444,-92.1341667
"Abby Plantation, LA",29.8116667,-90.8408333
"Aben, LA",30.1077778,-90.9427778
"Abington, LA",32.1113889,-93.4786111
"Abita Springs, LA",30.4783333,-90.0375000
"Acadia, LA",29.7686111,-90.8013889
"Acadian Villa, LA",29.7666667,-90.8200000
"Acme, LA",31.2855556,-91.8202778
"Acy, LA",30.2186111,-90.8202778
"Ada, LA",32.5458333,-93.1402778
"Addis, LA",30.3536111,-91.2652778
"Adeline, LA",29.8727778,-91.5908333
"Adner, LA",32.5669444,-93.6077778
"Afeman, LA",31.1025000,-92.8183333
"Afton, LA",32.2447222,-91.1913889
"Aimwell, LA",31.7833333,-91.9933333
"Airline Park Estates, LA",32.5797222,-93.7130556
"Ajax, LA",31.8763889,-93.3897222
"Akers, LA",30.2900000,-90.4016667
"Alabama Landing, LA",32.8736111,-92.0844444
"Albany, LA",30.5041667,-90.5822222
"Albemarle, LA",29.8825000,-90.9747222
"Alberta, LA",32.2327778,-93.1536111
"Alco, LA",31.3341667,-93.1305556
"Alden Bridge, LA",32.7750000,-93.7200000
"Alexandria, LA",31.3111111,-92.4450000
"Alexandria Junction, LA",31.2908333,-92.4433333
"Alfalfa, LA",31.3694444,-92.6183333
"Alford Acres, LA",30.5233333,-91.0097222
"Alfords, LA",30.5691667,-91.3188889
"Algiers, LA",29.9447222,-90.0466667
"Alhambra, LA",30.1763889,-91.1230556
"Alice, LA",30.9197222,-91.2975000
"Alice B, LA",29.7761111,-91.7569444
"Aline, LA",30.6130556,-91.6411111
"Allemand, LA",29.6600000,-90.7655556
"Allemania, LA",30.2611111,-91.2183333
"Allen, LA",31.8352778,-93.2883333
"Allen Landing, LA",30.5005556,-91.2708333
"Allendale, LA",30.4963889,-91.2727778
"Alliance, LA",29.6883333,-89.9816667
"Allon, LA",30.6411111,-91.4938889
"Alluvial City, LA",29.8411111,-89.6913889
"Alma, LA",30.5961111,-91.3894444
"Almadane, LA",30.9416667,-93.5047222
"Almedia, LA",29.9733333,-90.3005556
"Aloha, LA",31.5830556,-92.7722222
"Alpha Mobile Home Park, LA",32.3894444,-93.7655556
"Alphenia Landing, LA",31.8194444,-91.5705556
"Alsatia, LA",32.6127778,-91.1822222
"Alsen, LA",30.5711111,-91.2041667
"Alsen Heights, LA",30.5755556,-91.2058333
"Alto, LA",32.3575000,-91.8597222
"Alton, LA",30.3305556,-89.7619444
"Altoona, LA",32.4544444,-91.4536111
"Ama, LA",29.9519444,-90.2963889
"Amelia, LA",29.6661111,-91.1019444
"Amite, LA",30.7263889,-90.5088889
"Amos, LA",30.3394444,-89.7988889
"Anabel, LA",32.2930556,-92.2508333
"Anacoco, LA",31.2519444,-93.3411111
"Anandale, LA",31.2550000,-92.4538889
"Anchor, LA",30.6833333,-91.3550000
"Anchor Landing, LA",31.8497222,-91.5697222
"Anchorage, LA",30.4825000,-91.2102778
"Anderson, LA",32.2669444,-93.1763889
"Andrew, LA",30.0847222,-92.2427778
"Angelina, LA",30.0577778,-90.6344444
"Angelique Estates, LA",29.9233333,-89.9000000
"Angie, LA",30.9663889,-89.8094444
"Angola, LA",30.9502778,-91.5691667
"Angola Landing, LA",30.9438889,-91.6472222
"Annadale, LA",30.1319444,-91.1311111
"Anse La Butte, LA",30.2594444,-91.9680556
"Ansley, LA",32.3955556,-92.6927778
"Antioch, LA",32.8644444,-92.9244444
"Antioch Villa, LA",30.3786111,-91.0038889
"Antonia, LA",31.5641667,-92.4091667
"Antonio, LA",30.4061111,-91.2247222
"Antrim, LA",32.8772222,-93.7050000
"Arabi, LA",29.9541667,-90.0052778
"Ararat, LA",30.3002778,-93.1997222
"Arbroth, LA",30.6102778,-91.3188889
"Arcadia, LA",32.5488889,-92.9200000
"Arceneaux, LA",30.2902778,-92.2280556
"Archibald, LA",32.3488889,-91.7772222
"Archie, LA",31.5797222,-91.9672222
"Arcola, LA",30.7763889,-90.5102778
"Ardoyne, LA",29.6463889,-90.8216667
"Argent, LA",31.7383333,-91.4061111
"Argo, LA",31.3305556,-91.8858333
"Argyle, LA",30.6583333,-91.6438889
"Argyle Plantation, LA",30.6594444,-91.6413889
"Arizona, LA",32.7888889,-92.9575000
"Arkana, LA",33.0183333,-93.6744444
"Arlatex, LA",32.6777778,-93.9533333
"Arlington, LA",30.3880556,-91.1716667
"Armagh, LA",31.4283333,-91.7508333
"Armant, LA",29.9961111,-90.7300000
"Armistead, LA",32.0052778,-93.3802778
"Arnaudville, LA",30.3975000,-91.9313889
"Ashland, LA",32.1416667,-93.0980556
"Ashly, LA",32.4413889,-91.1230556
"Ashton, LA",29.8358333,-91.6080556
"Atchafalaya, LA",30.3458333,-91.7230556
"Athens, LA",32.6502778,-93.0255556
"Atherton, LA",32.6983333,-91.1702778
"Athlone, LA",31.6102778,-91.7375000
"Atkins, LA",32.3094444,-93.5147222
"Atlanta, LA",31.8050000,-92.7380556
"Attakapas Canal, LA",29.8916667,-91.0911111
"Attakapas Landing, LA",29.8508333,-91.1030556
"Aubin, LA",30.4191667,-91.0630556
"Aubrey, LA",31.9319444,-91.3205556
"Audrey Park, LA",32.5544444,-93.8288889
"Audubon, LA",30.4088889,-89.7838889
"Audubon Park, LA",32.5869444,-91.9813889
"Augusta, LA",30.1897222,-91.2152778
"Autumn Run, LA",30.3527778,-91.1180556
"Avalon, LA",29.7177778,-91.3308333
"Avery Island, LA",29.9033333,-91.9102778
"Avoca, LA",29.6838889,-91.1902778
"Avondale, LA",29.9127778,-90.2036111
"Aycock, LA",32.7080556,-92.9175000
"Azucena, LA",31.7777778,-91.4377778
"B and S Park Subdivision, LA",33.0108333,-93.4561111
"Baccus, LA",32.9366667,-93.4555556
"Bagdad, LA",31.4663889,-92.5936111
"Bailey, LA",30.8788889,-90.3383333
"Bains, LA",30.8305556,-91.3866667
"Baker, LA",30.5880556,-91.1680556
"Bakers, LA",32.3411111,-91.5211111
"Balco, LA",29.7200000,-91.4411111
"Baldwin, LA",29.8377778,-91.5441667
"Ball, LA",31.4152778,-92.4116667
"Ballina, LA",31.6661111,-91.6791667
"Balmoral, LA",32.1147222,-91.2238889
"Bancker, LA",29.8850000,-92.1241667
"Bancroft, LA",30.5650000,-93.6852778
"Banker Plantation, LA",30.1352778,-91.7800000
"Bankers, LA",30.1391667,-91.7425000
"Banks Springs, LA",32.0819444,-92.0927778
"Baptist, LA",30.5047222,-90.5330556
"Barataria, LA",29.7230556,-90.1236111
"Barber Spur, LA",30.6908333,-92.4266667
"Barbreck, LA",30.8100000,-92.1986111
"Barcelona, LA",31.8525000,-91.4227778
"Bardel, LA",32.5508333,-91.7575000
"Barham, LA",31.3191667,-93.3922222
"Barkley Place, LA",30.3677778,-91.0819444
"Barmen, LA",30.1622222,-90.8161111
"Barnes, LA",32.3791667,-91.1230556
"Barnet Springs, LA",32.5075000,-92.6758333
"Barnsdall, LA",30.4805556,-92.6550000
"Barrett, LA",31.3669444,-92.5133333
"Barron, LA",31.3366667,-92.2494444
"Barso, LA",32.7447222,-93.7275000
"Barton, LA",30.0861111,-91.0544444
"Basile, LA",30.4850000,-92.5958333
"Baskin, LA",32.2588889,-91.7475000
"Baskinton, LA",32.3111111,-91.6805556
"Bassa Bassa, LA",29.3636111,-89.9944444
"Bastrop, LA",32.7561111,-91.8722222
