name,lat,lon
"Aberdeen, MA",42.3444444,-71.1500000
"Abington, MA",42.1047222,-70.9458333
"Acapesket, MA",41.5500000,-70.5763889
"Accord, MA",42.1744444,-70.8841667
"Acoaxet, MA",41.5069444,-71.0972222
"Acorn Terrace, MA",42.0944444,-71.3722222
"Acton, MA",42.4850000,-71.4333333
"Acushnet, MA",41.6805556,-70.9083333
"Adams, MA",42.6241667,-73.1180556
"Adams Junction, MA",42.4583333,-73.2083333
"Adams Shore, MA",42.2638889,-70.9847222
"Adamsdale, MA",41.9277778,-71.3708333
"Adamsville, MA",42.6813889,-72.7486111
"Admirals Hill, MA",42.3900000,-71.0480556
"Agawam, MA",42.0694444,-72.6152778
"Alander, MA",42.0561111,-73.4666667
"Aldenville, MA",42.1727778,-72.5986111
"Aldrich Mills, MA",42.2819444,-72.5383333
"Alford, MA",42.2355556,-73.4138889
"Algerie Four Corners, MA",42.2186111,-73.0311111
"Algers Corner, MA",42.0105556,-71.0666667
"Allerton, MA",42.3041667,-70.8838889
"Allston, MA",42.3583333,-71.1263889
"Alms House, MA",41.6675000,-70.7633333
"Amesbury, MA",42.8583333,-70.9305556
"Amherst, MA",42.3802778,-72.5236111
"Amherst Center, MA",42.3752778,-72.5197222
"Amostown, MA",42.1263889,-72.6597222
"Amrita, MA",41.6597222,-70.6194444
"Andover, MA",42.6583333,-71.1375000
"Annisquam, MA",42.6583333,-70.6777778
"Antassawamock, MA",41.6252778,-70.8077778
"Apponagansett, MA",41.6013889,-70.9625000
"Arlington, MA",42.4152778,-71.1569444
"Arlington Heights, MA",42.4202778,-71.1805556
"Arnoldville, MA",42.5880556,-73.1341667
"Asbury Grove, MA",42.6222222,-70.8847222
"Ashburnham, MA",42.6361111,-71.9083333
"Ashby, MA",42.6777778,-71.8208333
"Ashcroft, MA",42.2333333,-71.1500000
"Ashdod, MA",42.0686111,-70.7513889
"Ashfield, MA",42.5263889,-72.7888889
"Ashland, MA",42.2611111,-71.4638889
"Ashley Falls, MA",42.0561111,-73.3355556
"Ashley Heights, MA",41.7791667,-70.9208333
"Ashleyville, MA",42.1583333,-72.6333333
"Ashmont, MA",42.2833333,-71.0694444
"Assinippi, MA",42.1583333,-70.8513889
"Assonet, MA",41.7958333,-71.0683333
"Assonet Bay Shores, MA",41.7958333,-71.0902778
"Athol, MA",42.5958333,-72.2272222
"Athol Junction, MA",42.1277778,-72.5625000
"Atlantic, MA",42.2805556,-71.0291667
"Attleboro, MA",41.9444444,-71.2861111
"Attleboro Falls, MA",41.9708333,-71.3166667
"Attleborough City, MA",41.9250000,-71.3500000
"Auburn, MA",42.1944444,-71.8361111
"Auburndale, MA",42.3472222,-71.2500000
"Auburnville, MA",42.0694444,-70.9638889
"Avon, MA",42.1305556,-71.0416667
"Axtell Corner, MA",42.2319444,-71.6841667
"Ayer, MA",42.5611111,-71.5902778
"Ayers Village, MA",42.7869444,-71.1694444
"Ayres City, MA",42.6250000,-71.3125000
"Babbatasset Village, MA",42.6666667,-71.5791667
"Babson Park, MA",42.2986111,-71.2600000
"Back Bay, MA",42.3500000,-71.0875000
"Baconville, MA",42.4230556,-72.4422222
"Baileys Corner, MA",42.0250000,-70.6980556
"Baird Four Corners, MA",42.1208333,-72.9319444
"Baker Bridge, MA",42.4277778,-71.3369444
"Bakers Grove, MA",42.5352778,-71.8833333
"Baldwinville, MA",42.6083333,-72.0763889
"Ballardvale, MA",42.6250000,-71.1611111
"Bancroft, MA",42.3091667,-73.0291667
"Baptist Corner, MA",42.5519444,-72.7633333
"Baptist Corners, MA",42.6994444,-72.2700000
"Baptist Village, MA",42.0472222,-72.4708333
"Bardwell, MA",42.5566667,-72.6786111
"Barkerville, MA",42.4225000,-73.3091667
"Barlows Landing, MA",41.6908333,-70.6255556
"Barneyville, MA",41.7716667,-71.2861111
"Barnstable, MA",41.7000000,-70.3000000
"Barre, MA",42.4227778,-72.1055556
"Barre Falls, MA",42.4291667,-72.0266667
"Barre Plains, MA",42.3777778,-72.1097222
"Barrowsville, MA",41.9458333,-71.2041667
"Bass River, MA",41.6527778,-70.2041667
"Bass Rocks, MA",42.6141667,-70.6358333
"Bassets Corner, MA",42.4813889,-72.1291667
"Bay State, MA",42.3222222,-72.6638889
"Bay View, MA",42.6700000,-70.6652778
"Bay Village, MA",42.3505556,-71.0702778
"Bayside, MA",42.3000000,-70.8833333
"Bayside Beach, MA",41.8666667,-70.5322222
"Bayview, MA",41.5736111,-70.9500000
