name,lat,lon
"Abell, MD",38.2541667,-76.7438889
"Aberdeen, MD",39.5094444,-76.1644444
"Abingdon, MD",39.4622222,-76.2794444
"Abingdon Reserve, MD",39.4658333,-76.2833333
"Abington Shores, MD",38.5852778,-76.6680556
"Academy Acres, MD",39.4480556,-76.8022222
"Academy Heights, MD",39.2819444,-76.7230556
"Academy Hill, MD",38.6597222,-76.6619444
"Academy Hills, MD",39.6566667,-75.8555556
"Academy Junction, MD",39.0894444,-76.6986111
"Academy Lane, MD",39.4355556,-76.7866667
"Accident, MD",39.6286111,-79.3200000
"Accokeek, MD",38.6675000,-77.0286111
"Accokeek Acres, MD",38.6686111,-76.9936111
"Acredale, MD",39.0027778,-76.9430556
"Acresville, MD",39.1777778,-76.6116667
"Acton Village, MD",38.6405556,-76.9055556
"Adams Chance, MD",39.5758333,-76.8819444
"Adams Heights, MD",39.5377778,-76.1805556
"Adams Mobile Home Park, MD",39.5297222,-76.1263889
"Adamstown, MD",39.3108333,-77.4750000
"Adamstown Village, MD",39.3166667,-77.5066667
"Adelina, MD",38.4805556,-76.6216667
"Adelphi, MD",39.0030556,-76.9722222
"Adelphi Park, MD",38.9863889,-76.9683333
"Adil Meadows, MD",39.2938889,-76.7555556
"Admiral Heights, MD",38.9847222,-76.5188889
"Admirals Walk, MD",39.0344444,-76.4475000
"Advocate Hill Farms, MD",39.5994444,-76.4613889
"Advocates Choice, MD",39.6416667,-76.9833333
"Ady, MD",39.6386111,-76.3330556
"Ady Estates, MD",39.6677778,-76.3541667
"Aero Acres, MD",39.3322222,-76.4533333
"Agner, MD",38.7555556,-75.7897222
"Aikin, MD",39.5738889,-76.0680556
"Airedele, MD",38.1183333,-76.3483333
"Airey, MD",38.5227778,-75.9930556
"Airport Acres, MD",39.4638889,-77.0158333
"Airy Estates, MD",39.4058333,-77.1341667
"Akers Acres, MD",39.4452778,-77.4777778
"Aladdin Village Trailer Park, MD",39.1744444,-76.7836111
"Albantown, MD",39.6408333,-76.8091667
"Albatross Mobile Home Park, MD",38.3525000,-75.1580556
"Alberta Heights, MD",39.1513889,-76.6680556
"Albeth Heights, MD",39.3019444,-76.9013889
"Aldino, MD",39.5638889,-76.1961111
"Alesia, MD",39.6830556,-76.8291667
"Alesia Heights, MD",39.6847222,-76.8219444
"Algonquin, MD",38.5827778,-76.1061111
"Allana Acres, MD",39.7136111,-76.9152778
"Allandale, MD",39.6286111,-77.0647222
"Allanwood, MD",39.1105556,-77.0366667
"Allegany Grove, MD",39.6400000,-78.8283333
"Allen, MD",38.2872222,-75.6883333
"Allendale Estates, MD",39.5811111,-76.2525000
"Allenford, MD",39.3108333,-76.8608333
"Allens Fresh, MD",38.4138889,-76.9408333
"Allenville, MD",39.0602778,-76.5230556
"Allnut Farms Estates, MD",39.1972222,-76.9691667
"Alloway, MD",39.1408333,-76.4788889
"Allview Estates, MD",39.1941667,-76.8597222
"Allwood, MD",39.1800000,-76.6480556
"Allyson Gardens, MD",39.4297222,-76.7886111
"Alma Meadows, MD",39.5863889,-76.8625000
"Almar Estates, MD",38.8119444,-76.6000000
"Almond Valley, MD",39.4544444,-76.9263889
"Alpha, MD",39.3211111,-76.9280556
"Alpine, MD",39.4130556,-77.3233333
"Alpine View, MD",39.5338889,-77.5708333
"Alta Vista, MD",39.0088889,-77.1088889
"Alta Vista Terrace, MD",39.0052778,-77.1208333
"Altamont, MD",39.4275000,-79.2822222
"Altamont Place, MD",39.6027778,-75.9344444
"Alto Vista, MD",39.5541667,-76.9905556
"Altoona Beach, MD",39.1591667,-76.5405556
"Amanda Hills, MD",39.6000000,-77.0536111
"Amber Meadows, MD",39.4522222,-77.4083333
"Amber Woode, MD",38.7105556,-76.5900000
"Amberfield, MD",39.0191667,-76.6930556
"Amberleigh Farms, MD",38.4944444,-76.8691667
"Amberly, MD",39.0166667,-76.4416667
"Amcelle, MD",39.6077778,-78.8155556
"Amcelle Acres, MD",39.5888889,-78.8494444
"Amelano Manor, MD",39.4752778,-77.4302778
"Amelung Estates, MD",39.3019444,-77.4044444
"American Corner, MD",38.7672222,-75.8194444
"Ammendale, MD",39.0508333,-76.8969444
"Amos Mill, MD",39.7002778,-76.5013889
"Amoss, MD",39.5280556,-76.4105556
"Amyclae Estates, MD",39.5497222,-76.3222222
"Amys Acres, MD",38.4594444,-76.8975000
"Anchorage, MD",38.9438889,-76.4738889
"Anchorage Anchors, MD",38.3172222,-76.9052778
"Anchorage Park Mobile Home Park, MD",38.5086111,-76.6625000
"Ancient Oak, MD",39.1116667,-77.2708333
"Ancient Oak North, MD",39.1227778,-77.2725000
"Ancient Oak West, MD",39.1080556,-77.2786111
"Ancient Oaks, MD",38.1700000,-76.4125000
"Andersons Corner, MD",39.0569444,-76.6555556
"Andersontown, MD",38.8377778,-75.7836111
"Andora, MD",39.6847222,-75.8611111
"Andora Acres, MD",39.6858333,-75.8655556
"Andorick Acres, MD",39.1350000,-76.6916667
"Andover Estates, MD",38.1686111,-76.5047222
"Andrews, MD",38.3566667,-76.1102778
"Andrews Manor, MD",38.8138889,-76.8983333
"Angelica, MD",38.5852778,-76.5250000
"Annandale, MD",39.3233333,-76.9750000
"Annapolis, MD",38.9783333,-76.4925000
"Annapolis Cove, MD",38.9394444,-76.4608333
"Annapolis Landing, MD",38.9400000,-76.5833333
"Annapolis Roads, MD",38.9511111,-76.4752778
"Annapolis Rock, MD",39.2816667,-77.1319444
"Annes Delight, MD",39.4269444,-76.3475000
"Anneslie, MD",39.3758333,-76.6047222
"Annetta Gardens, MD",39.1883333,-76.8030556
"Annie Hall, MD",38.6755556,-76.5711111
"Another Place, MD",38.4416667,-76.5236111
"Anscroft, MD",39.1252778,-77.0541667
"Anthony, MD",38.8777778,-75.7886111
"Anthonyville, MD",39.3377778,-76.5522222
"Antietam, MD",39.4161111,-77.7425000
"Antietam Farmettes, MD",39.5236111,-77.7119444
"Antietam Heights, MD",39.4763889,-77.6952778
"Antietam Manor, MD",39.5291667,-77.7455556
"Antietam Overlook, MD",39.5213889,-77.6986111
"Anton North, MD",39.4019444,-76.7244444
"Anton Woods, MD",39.4000000,-76.7261111
"Appeal, MD",38.3675000,-76.4486111
"Apple Greene, MD",38.7161111,-76.6541667
"Apple Grove, MD",38.7883333,-76.9611111
"Apple Ridge, MD",39.3791667,-76.5111111
"Appleton, MD",39.6983333,-75.8144444
"Appleton Acres, MD",39.7013889,-75.8172222
"Appleton Glen, MD",39.7041667,-75.8152778
"Appletown, MD",39.4805556,-77.6477778
"Appolds, MD",39.6272222,-77.3219444
"April Estates, MD",38.6608333,-76.6200000
"Aquahart Manor, MD",39.1500000,-76.6280556
"Aquasco, MD",38.5850000,-76.7252778
"Araby View, MD",39.3538889,-77.3858333
"Arbor Greene, MD",38.6911111,-76.6313889
"Arboranda Estates, MD",39.6833333,-77.7888889
"Arbordale, MD",39.1452778,-76.6166667
"Arborview, MD",38.4972222,-76.7827778
"Arborwood, MD",39.4638889,-76.7913889
"Arbour Green, MD",39.3986111,-76.4569444
"Arbour Manor, MD",39.2430556,-76.6997222
"Arbutus, MD",39.2544444,-76.7002778
"Arcadia, MD",39.0958333,-76.4291667
"Arcadia Shores, MD",38.7638889,-76.1608333
"Arch Bridge, MD",39.4477778,-77.5011111
"Arched Bow Valley, MD",39.6233333,-76.8308333
"Arcola, MD",39.0477778,-77.0519444
"Arden Valley, MD",39.5736111,-76.6888889
"Arden on the Severn, MD",39.0658333,-76.5791667
"Ardmore, MD",38.9333333,-76.8522222
"Ardwick, MD",38.9455556,-76.8811111
"Ardwick Park, MD",38.9419444,-76.8719444
"Argonne Hills, MD",39.1144444,-76.7655556
"Arlington, MD",39.3394444,-76.6841667
"Armacost, MD",39.6133333,-76.8041667
"Armagh, MD",39.3811111,-76.6202778
"Armiger, MD",39.1250000,-76.5350000
"Armistead Gardens, MD",39.3016667,-76.5497222
"Armistead Homes, MD",39.3069444,-76.5575000
"Arnold, MD",39.0319444,-76.5030556
"Arnold Heights, MD",38.8536111,-76.9366667
"Arnoldtown, MD",39.4094444,-77.6061111
"Arrington Estates, MD",39.3902778,-76.9341667
"Arrowhead, MD",39.4583333,-77.4127778
"Arrowhead Acres, MD",39.6022222,-76.0736111
"Arrowhead Farms Estates, MD",38.9827778,-76.6936111
"Arters Mill, MD",39.6650000,-77.0719444
"Arters Mill Estates, MD",39.6880556,-77.0730556
"Arthur Ridge, MD",39.4172222,-77.0277778
"Arundel, MD",39.5658333,-75.8733333
"Arundel Acres, MD",39.0763889,-76.6763889
"Arundel Beach, MD",39.0769444,-76.5188889
"Arundel Gardens, MD",39.2125000,-76.6191667
"Arundel Hills, MD",39.2022222,-76.6377778
"Arundel View, MD",39.0705556,-76.6788889
"Asbury, MD",38.8569444,-75.8569444
"Asbury Woods, MD",39.1469444,-76.8180556
"Ascot Estates, MD",39.5205556,-76.5647222
"Ashbox, MD",38.6711111,-76.7972222
"Ashburton, MD",39.0127778,-77.1280556
"Ashby Place, MD",39.4252778,-76.3144444
"Ashcroft, MD",39.0241667,-76.5027778
"Asher Glade, MD",39.7038889,-79.4475000
"Ashford, MD",38.6436111,-76.9438889
"Ashland, MD",39.4952778,-76.6402778
"Ashland Landing, MD",39.1202778,-76.0972222
"Ashlar Hill, MD",39.3791667,-76.5736111
"Ashleigh, MD",39.0169444,-77.1608333
"Ashley, MD",38.9216667,-76.6188889
"Ashley Acres, MD",39.3236111,-77.2433333
"Ashley Manor, MD",39.1333333,-77.0347222
"Ashley Mobile Home Park, MD",39.4097222,-77.0552778
"Ashmead, MD",39.1569444,-76.9916667
"Ashton, MD",39.1491667,-77.0127778
"Ashton Manor, MD",39.1444444,-77.0111111
"Ashton Pond, MD",39.1505556,-76.9883333
"Ashton River Estates, MD",39.1761111,-77.0263889
"Ashwood Manor, MD",38.7402778,-76.6680556
"Aspen, MD",39.4186111,-77.3188889
"Aspen Hill, MD",39.0794444,-77.0733333
"Aspen Hill Park, MD",39.0719444,-77.0947222
"Aspen Knolls, MD",39.0833333,-77.0886111
"Aspen Park, MD",39.1352778,-76.5500000
"Aspen Run, MD",39.5794444,-76.8991667
"Aspenwood, MD",39.1500000,-76.8197222
"Athol, MD",38.4263889,-75.7888889
"Atkins Acres, MD",39.3791667,-77.1158333
"Atlantis, MD",39.0463889,-76.4550000
"Augusta, MD",39.3677778,-77.6750000
"Augusta Acres, MD",39.1269444,-76.6155556
"Aurora Hills, MD",39.0872222,-76.6477778
"Auth Village, MD",38.8208333,-76.9025000
"Autumn Chase At Riva Trace, MD",38.9641667,-76.5625000
"Autumn Estates, MD",38.7027778,-76.5627778
"Autumn Grove, MD",38.3638889,-75.5416667
"Autumn Hill, MD",39.2572222,-76.8119444
"Autumn Ridge, MD",39.5950000,-76.9913889
"Autumn Wind, MD",39.4644444,-76.7266667
"Autumn Woods, MD",39.1441667,-76.8172222
"Avalon, MD",39.2313889,-76.7202778
"Avalon Park, MD",38.4191667,-75.5569444
"Avalon Shores, MD",38.8375000,-76.5180556
