name,lat,lon
"Abbottsford, MI",43.0200000,-82.6333333
"Acme, MI",44.7719444,-85.5013889
"Ada, MI",42.9541667,-85.4888889
"Adair, MI",42.7980556,-82.6338889
"Adams Park, MI",42.1538889,-85.4727778
"Adamsville, MI",41.7852778,-85.9938889
"Addison, MI",41.9863889,-84.3472222
"Addison Junction, MI",41.9936111,-84.3255556
"Adrian, MI",41.8975000,-84.0372222
"Advance, MI",45.2213889,-85.0775000
"Aetna, MI",43.5677778,-85.9208333
"Afton, MI",45.3738889,-84.4966667
"Agate, MI",46.4741667,-89.0700000
"Agnew, MI",42.9650000,-86.1766667
"Ahgosatown, MI",45.0811111,-85.5916667
"Ahmeek, MI",47.2988889,-88.3963889
"Ainger, MI",42.4827778,-84.9344444
"Akron, MI",43.5680556,-83.5141667
"Alabaster, MI",44.1863889,-83.5580556
"Alabaster Junction, MI",44.2458333,-83.5636111
"Alamando, MI",43.7427778,-84.5266667
"Alamo, MI",42.3752778,-85.7077778
"Alanson, MI",45.4441667,-84.7866667
"Alaska, MI",42.8400000,-85.4780556
"Alba, MI",44.9747222,-84.9686111
"Alberta, MI",46.6436111,-88.4794444
"Albion, MI",42.2430556,-84.7530556
"Albion Landing, MI",42.3819444,-84.7841667
"Alcona, MI",44.7600000,-83.2977778
"Alden, MI",44.8811111,-85.2755556
"Alder, MI",46.7894444,-87.6972222
"Alembic, MI",43.5975000,-84.6683333
"Alfred, MI",46.0838889,-87.6325000
"Algansee, MI",41.8325000,-84.8808333
"Alger, MI",44.1255556,-84.1211111
"Algonac, MI",42.6183333,-82.5311111
"Alicia, MI",43.2708333,-84.0325000
"Allegan, MI",42.5291667,-85.8552778
"Allen, MI",41.9569444,-84.7677778
"Allen Park, MI",42.2575000,-83.2111111
"Allendale, MI",42.9722222,-85.9536111
"Allenton, MI",42.9194444,-82.9455556
"Allenville, MI",45.9847222,-84.8205556
"Allouez, MI",47.2872222,-88.4094444
"Alma, MI",43.3788889,-84.6597222
"Almeda Beach, MI",43.8175000,-83.9230556
"Almena, MI",42.2647222,-85.8252778
"Almont, MI",42.9205556,-83.0450000
"Aloha, MI",45.5263889,-84.4666667
"Alpena, MI",45.0616667,-83.4327778
"Alpena Junction, MI",45.0586111,-83.4561111
"Alpha, MI",46.0438889,-88.3769444
"Alpine, MI",43.0727778,-85.6850000
"Alston, MI",46.7683333,-88.7530556
"Alto, MI",42.8566667,-85.3802778
"Alton, MI",45.8830556,-86.8841667
"Altona, MI",43.5397222,-85.3136111
"Alverno, MI",45.5586111,-84.3916667
"Alvin, MI",44.5244444,-83.4425000
"Amadore, MI",43.1950000,-82.5858333
"Amasa, MI",46.2327778,-88.4486111
"Amber, MI",43.9555556,-86.3194444
"Amble, MI",43.4313889,-85.3886111
"Amsden, MI",43.1705556,-85.1236111
"Anchor Bay Gardens, MI",42.6427778,-82.8125000
"Anchor Bay Harbor, MI",42.6552778,-82.7991667
"Anchor Bay Shores, MI",42.6355556,-82.8166667
"Anchorville, MI",42.6911111,-82.6886111
"Anderson, MI",42.4708333,-84.0061111
"Anderson Bayview, MI",44.2366667,-83.5452778
"Andersonville, MI",42.7300000,-83.4925000
"Angel, MI",44.8325000,-85.4150000
"Angling, MI",44.6700000,-85.0091667
"Ann Arbor, MI",42.2708333,-83.7263889
"Antlers, MI",46.7544444,-87.6558333
"Antoine, MI",45.8375000,-88.0619444
"Antrim, MI",44.8900000,-85.0738889
"Antrim Center, MI",42.8136111,-84.1144444
"Anvil, MI",46.4702778,-90.0183333
"Aplin Beach, MI",43.6508333,-83.8708333
"Applegate, MI",43.3552778,-82.6372222
"Arbutus Beach, MI",44.9461111,-84.6833333
"Arcadia, MI",44.4930556,-86.2316667
"Arcadian, MI",47.1558333,-88.5558333
"Arden, MI",41.9858333,-86.3919444
"Arenac, MI",44.0055556,-83.8580556
"Argentine, MI",42.7913889,-83.8463889
"Argyle, MI",43.5641667,-82.9361111
"Arlene, MI",44.3900000,-85.2866667
"Armada, MI",42.8441667,-82.8844444
"Arnheim, MI",46.9169444,-88.4825000
"Arnold, MI",46.0508333,-87.4919444
"Artesia Beach, MI",44.3563889,-84.4916667
"Arthur Bay, MI",45.3088889,-87.4355556
"Ash Acres, MI",44.0377778,-84.8119444
"Ashland, MI",45.2030556,-83.4511111
"Ashland Center, MI",43.3363889,-85.8516667
"Ashley, MI",43.1866667,-84.4744444
"Ashton, MI",43.9730556,-85.5036111
"Assinins, MI",46.8102778,-88.4772222
"Assyria, MI",42.4644444,-85.1313889
"Athens, MI",42.0886111,-85.2347222
"Atkins, MI",43.0630556,-82.5769444
"Atlanta, MI",45.0047222,-84.1438889
"Atlantic Mine, MI",47.0972222,-88.6275000
"Atlas, MI",42.9377778,-83.5344444
"Attica, MI",43.0302778,-83.1661111
"Atwood, MI",45.1791667,-85.3452778
"Au Gres, MI",44.0486111,-83.6958333
"Au Sable, MI",44.4108333,-83.3322222
"Au Sable River Park, MI",44.4033333,-84.4602778
"Au Train, MI",46.4302778,-86.8366667
"Auburn, MI",43.6033333,-84.0697222
"Auburn Heights, MI",42.6336111,-83.2227778
"Auburn Hills, MI",42.6875000,-83.2341667
"Augusta, MI",42.3363889,-85.3522222
"Aura, MI",46.8627778,-88.3186111
"Aurelius, MI",42.5241667,-84.5222222
"Aurora, MI",46.4488889,-90.1458333
"Austin, MI",41.7372222,-84.6941667
"Austin Center, MI",43.6225000,-82.9375000
"Austin Corners, MI",42.7877778,-83.5080556
"Auvinen Corner, MI",46.5202778,-90.0961111
"Avalon Beach, MI",41.8572222,-83.3927778
"Averill, MI",43.6655556,-84.3419444
"Avery, MI",44.9575000,-84.0313889
"Avoca, MI",43.0619444,-82.6911111
"Avondale, MI",44.0158333,-85.2266667
"Axin, MI",44.2100000,-85.5475000
"Ayr, MI",45.4922222,-84.8533333
"Azalia, MI",42.0188889,-83.6658333
"Babbits Resort, MI",44.6675000,-84.6127778
"Babcock, MI",42.2172222,-84.8000000
"Bach, MI",43.6830556,-83.3558333
"Backus Beach, MI",44.7600000,-83.5461111
