name,lat,lon
"Acton, MN",45.0841667,-94.6605556
"Ada, MN",47.2997222,-96.5150000
"Adams, MN",43.5652778,-92.7191667
"Adolph, MN",46.7786111,-92.2800000
"Adrian, MN",43.6350000,-95.9325000
"Afton, MN",44.9027778,-92.7833333
"Ah-gwah-ching, MN",47.0741667,-94.5625000
"Airlie, MN",44.0200000,-96.4377778
"Aitkin, MN",46.5330556,-93.7100000
"Akeley, MN",47.0041667,-94.7266667
"Albany, MN",45.6300000,-94.5697222
"Albert Lea, MN",43.6480556,-93.3680556
"Alberta, MN",45.5733333,-96.0472222
"Albertville, MN",45.2377778,-93.6541667
"Albion Center, MN",45.1769444,-94.0733333
"Alborn, MN",46.9730556,-92.5758333
"Albright, MN",45.1294444,-94.1141667
"Alden, MN",43.6702778,-93.5758333
"Alder, MN",47.5616667,-93.7036111
"Aldrich, MN",46.3763889,-94.9363889
"Alexandria, MN",45.8852778,-95.3772222
"Alford, MN",46.6319444,-92.3833333
"Alger, MN",47.1472222,-91.6925000
"Alida, MN",47.3836111,-95.2344444
"Allen, MN",47.5163889,-92.0986111
"Alma City, MN",44.0225000,-93.7277778
"Almelund, MN",45.4913889,-92.7852778
"Almora, MN",46.2463889,-95.3652778
"Alpha, MN",43.6388889,-94.8705556
"Altura, MN",44.0716667,-91.9394444
"Alvarado, MN",48.1941667,-96.9958333
"Alvwood, MN",47.7305556,-94.2677778
"Amboy, MN",43.8880556,-94.1563889
"Amherst, MN",43.6086111,-91.8947222
"Amiret, MN",44.3166667,-95.6966667
"Amor, MN",46.4125000,-95.7450000
"Andover, MN",45.2333333,-93.2911111
"Andree, MN",45.7283333,-93.2236111
"Andrusia, MN",47.4861111,-94.6636111
"Andyville, MN",43.7238889,-92.9894444
"Angle Inlet, MN",49.3452778,-95.0625000
"Anglim, MN",47.7950000,-96.5975000
"Angora, MN",47.7750000,-92.6338889
"Angus, MN",48.0811111,-96.7027778
"Annandale, MN",45.2627778,-94.1241667
"Anoka, MN",45.1977778,-93.3869444
"Anthony, MN",47.3461111,-96.6658333
"Antlers Park, MN",44.6630556,-93.2652778
"Apple Valley, MN",44.7319444,-93.2175000
"Appleton, MN",45.1969444,-96.0194444
"Arago, MN",47.0511111,-95.1613889
"Arbutus, MN",48.3069444,-93.0475000
"Arco, MN",44.3836111,-96.1833333
"Arcola, MN",45.1233333,-92.7663889
"Arden Hills, MN",45.0502778,-93.1563889
"Arendahl, MN",43.8252778,-91.9094444
"Argonne, MN",44.6958333,-93.2855556
"Argyle, MN",48.3327778,-96.8205556
"Arlberg, MN",46.9233333,-92.6138889
"Arlington, MN",44.6083333,-94.0802778
"Armour Number Two Mine, MN",46.4850000,-93.9683333
"Armstrong, MN",43.6647222,-93.4677778
"Arnesen, MN",48.9575000,-95.0672222
"Arnold, MN",46.8802778,-92.0902778
"Arthyde, MN",46.3561111,-93.0891667
