name,lat,lon
"Aaron, MO",38.4230556,-94.1536111
"Abadyl, MO",37.0383333,-92.9469444
"Abesville, MO",36.8397222,-93.3705556
"Abo, MO",37.6977778,-92.4650000
"Acasto, MO",40.5980556,-91.8338889
"Acme, MO",39.2308333,-94.5447222
"Acorn Corner, MO",36.0883333,-89.7705556
"Acorn Ridge, MO",36.9133333,-90.0580556
"Adair, MO",40.2522222,-92.3763889
"Adam Ford, MO",37.6283333,-92.3286111
"Adams, MO",39.0916667,-94.3375000
"Adel, MO",40.5313889,-93.6688889
"Adonis, MO",37.7963889,-93.3630556
"Adrian, MO",38.3975000,-94.3513889
"Advance, MO",37.1044444,-89.9105556
"Aeiker Ford, MO",38.3788889,-91.0727778
"Affton, MO",38.5505556,-90.3330556
"Agency, MO",39.6447222,-94.7397222
"Agnes, MO",37.5122222,-92.4983333
"Aholt, MO",39.2644444,-92.9047222
"Aid, MO",36.8769444,-90.0411111
"Aikinsville, MO",38.5580556,-92.8361111
"Air Line Junction, MO",39.1219444,-94.4975000
"Airline Acres, MO",36.8033333,-89.3580556
"Airport Drive, MO",37.1425000,-94.5105556
"Akers, MO",37.3761111,-91.5536111
"Akron, MO",40.5194444,-93.8172222
"Alanthus Grove, MO",40.3069444,-94.5438889
"Alba, MO",37.2383333,-94.4172222
"Albany, MO",40.2486111,-94.3308333
"Albany Junction, MO",40.2269444,-94.3688889
"Albatross, MO",37.1891667,-93.8388889
"Alberta, MO",38.3638889,-93.6694444
"Aldrich, MO",37.5475000,-93.5544444
"Alexandria, MO",40.3594444,-91.4552778
"Alfalfa Center, MO",36.9630556,-89.2072222
"Alice, MO",37.2983333,-92.1886111
"All, MO",37.1805556,-93.0358333
"All Saints Village, MO",38.7605556,-90.6613889
"Allbright, MO",37.3288889,-90.2266667
"Allen Ford, MO",36.5372222,-91.5177778
"Allen Mills, MO",37.5044444,-90.6947222
"Allendale, MO",40.4855556,-94.2883333
"Allenton, MO",38.5036111,-90.6758333
"Allenville, MO",37.2216667,-89.7575000
"Alley, MO",37.1522222,-91.4433333
"Alley Spring, MO",37.1441667,-91.4438889
"Alliance, MO",37.5622222,-89.9966667
"Allison, MO",40.5322222,-94.7063889
"Alma, MO",39.0952778,-93.5450000
"Almartha, MO",36.7641667,-92.5169444
"Almon, MO",37.9580556,-93.0944444
"Alpha, MO",39.9852778,-93.4208333
"Alsup, MO",37.3980556,-93.3052778
"Alta Vista, MO",39.9091667,-94.2050000
"Altamont, MO",39.8886111,-94.0888889
"Altenburg, MO",37.6308333,-89.5852778
"Althea, MO",36.6413889,-92.2286111
"Altheim, MO",38.6313889,-90.4877778
"Alton, MO",36.6941667,-91.3991667
"Altona, MO",38.3997222,-94.2347222
"Amanda, MO",38.0594444,-91.4119444
"Amazonia, MO",39.8861111,-94.8916667
"Americus, MO",38.7802778,-91.5638889
"Amity, MO",39.8708333,-94.4355556
"Amoret, MO",38.2552778,-94.5875000
"Amos, MO",38.0158333,-94.5800000
