name,lat,lon
"Afetna, MP",15.1269444,145.6927778
"Capital Hill, MP",15.2000000,145.7519444
"Capitol Hill, MP",15.2108333,145.7505556
"Chalan Kanoa, MP",15.1455556,145.6991667
"Chalan Kiya, MP",15.1633333,145.7172222
"Garapan, MP",15.2069444,145.7150000
"Gualo Rai, MP",15.1908333,145.7225000
"Kagman, MP",15.1666667,145.7786111
"Koblerville, MP",15.1205556,145.7063889
"Laolao, MP",15.1702778,145.7150000
"Marasu, MP",18.1611111,145.7708333
"Navy Hill, MP",15.2094444,145.7336111
"Oleai, MP",15.1616667,145.7100000
"Pi'ao, MP",15.1372222,145.6972222
"Puetto, MP",14.9633333,145.6286111
"Pupulu, MP",15.1755556,145.7127778
"San Antonio, MP",15.1325000,145.6936111
"San Jose, MP",15.1666667,145.7088889
"San Roque, MP",15.2469444,145.7727778
"San Vicente, MP",15.1516667,145.7377778
"San Vincente, MP",15.1497222,145.7350000
"Shomushon, MP",18.1277778,145.7669444
"Sinapalo, MP",14.1650000,145.2333333
"Songsong, MP",14.1397222,145.1411111
"Susupe, MP",15.1563889,145.7058333
"Susupi, MP",15.1511111,145.7013889
"Tanapag, MP",15.2411111,145.7525000
