name,lat,lon
"Aarons Corner, NC",36.5380556,-80.2961111
"Abbottsburg, NC",34.5169444,-78.7252778
"Aberdeen, NC",35.1313889,-79.4297222
"Abingdon, NC",35.9111111,-81.5961111
"Abner, NC",35.4980556,-79.9080556
"Abshers, NC",36.3686111,-81.1111111
"Acme, NC",34.3255556,-78.2050000
"Acorn Hill, NC",36.4425000,-76.5480556
"Acton, NC",35.5613889,-82.6391667
"Adako, NC",35.9041667,-81.7041667
"Adamsville, NC",35.3708333,-77.9536111
"Adcock Crossroads, NC",36.3294444,-78.3552778
"Addie, NC",35.4058333,-83.1600000
"Addington Mill, NC",35.1133333,-83.3980556
"Addor, NC",35.0777778,-79.4622222
"Adley, NC",36.1336111,-81.2125000
"Advance, NC",35.9411111,-80.4094444
"Advent Crossroads, NC",35.6691667,-81.4261111
"Afton, NC",36.3386111,-78.2163889
"Aho, NC",36.1591667,-81.6166667
"Ahoskie, NC",36.2866667,-76.9850000
"Airboro, NC",35.3591667,-77.9916667
"Airlie, NC",36.3355556,-77.8847222
"Alamance, NC",36.0350000,-79.4861111
"Alamance Hills Subdivision, NC",36.0986111,-79.3977778
"Alarka, NC",35.3530556,-83.4455556
"Albemarle, NC",35.3500000,-80.2002778
"Albemarle Beach, NC",35.9358333,-76.6416667
"Albertson, NC",35.1141667,-77.8191667
"Albion, NC",36.5191667,-80.4491667
"Albrittons, NC",35.1977778,-77.6652778
"Alder Branch, NC",36.2516667,-76.0311111
"Aldersgate, NC",34.7872222,-77.4166667
"Alert, NC",36.2308333,-78.2227778
"Alexander Mills, NC",35.3105556,-81.8588889
"Alexis, NC",35.3997222,-81.1180556
"Alfordsville, NC",34.5800000,-79.3186111
"Allegheny, NC",35.9883333,-82.6675000
"Allen, NC",35.2258333,-80.6141667
"Allen Acres, NC",35.3177778,-81.5169444
"Allen Grove, NC",36.3052778,-77.6447222
"Allen Jay, NC",35.9238889,-79.9655556
"Allendale, NC",35.3147222,-81.5136111
"Allens Crossroads, NC",35.3875000,-78.4705556
"Allens Level, NC",36.3252778,-79.0211111
"Allenstand, NC",35.9727778,-82.7530556
"Allensville, NC",36.3902778,-78.8888889
"Allenton, NC",34.5922222,-78.9263889
"Alliance, NC",35.1447222,-76.8025000
"Alligator, NC",35.9144444,-76.1127778
"Alligoods, NC",35.5597222,-76.9463889
"Allison, NC",36.4088889,-79.4644444
"Allison Ferry, NC",35.3886111,-80.9577778
"Allreds, NC",35.4530556,-79.8058333
"Alma, NC",34.7236111,-79.3127778
"Almond, NC",35.3697222,-83.5652778
"Alspaugh, NC",36.1452778,-80.2558333
"Altamahaw, NC",36.1841667,-79.5075000
"Altamont, NC",35.9908333,-81.9444444
"Altapass, NC",35.8933333,-82.0180556
"Alton, NC",34.8808333,-80.5419444
"Amantha, NC",36.2786111,-81.7800000
"Amelia, NC",36.5425000,-81.2033333
"Amherst, NC",35.7988889,-81.5963889
"Amity Hill, NC",35.6972222,-80.7736111
"Ammon, NC",34.8000000,-78.5805556
"Ammon Ford, NC",34.7925000,-78.5869444
"Amostown, NC",36.5241667,-80.0544444
"Anderson, NC",36.2669444,-79.3455556
"Anderson Creek, NC",35.2833333,-78.9172222
"Anderson Heights, NC",35.3425000,-80.1525000
"Andersons Crossroads, NC",36.3619444,-77.7419444
"Andrews, NC",35.2016667,-83.8241667
"Andy Cove, NC",35.8947222,-82.7130556
"Angier, NC",35.5069444,-78.7394444
"Angola, NC",34.7097222,-77.6352778
