name,lat,lon
"Abbott, NE",40.9747222,-98.4811111
"Abel, NE",41.0741667,-96.3550000
"Abie, NE",41.3341667,-96.9486111
"Accent Mobile Home Parks, NE",41.0166667,-95.9069444
"Adams, NE",40.4594444,-96.5097222
"Agate, NE",42.4200000,-103.7933333
"Aggies Acres, NE",41.8672222,-99.2672222
"Agnew, NE",41.0169444,-96.8144444
"Ainsworth, NE",42.5500000,-99.8622222
"Akron, NE",41.7413889,-98.2419444
"Aksarben Mobile Home Park, NE",41.2361111,-96.0111111
"Albion, NE",41.6908333,-98.0033333
"Alda, NE",40.8711111,-98.4677778
"Alden, NE",41.5613889,-103.0358333
"Alexandria, NE",40.2452778,-97.3888889
"Alfalfa Center, NE",40.6922222,-99.1788889
"Allen, NE",42.4163889,-96.8450000
"Alliance, NE",42.1016667,-102.8716667
"Alma, NE",40.0975000,-99.3616667
"Almeria, NE",41.8258333,-99.5216667
"Aloys, NE",41.8294444,-96.9030556
"Altona, NE",42.1050000,-96.9919444
"Alvo, NE",40.8719444,-96.3872222
"Amboy, NE",40.0902778,-98.4383333
"Amelia, NE",42.2355556,-98.9116667
"Ames, NE",41.4522222,-96.6241667
"Amherst, NE",40.7688889,-99.2694444
"Anan, NE",40.4666667,-98.1838889
"Andrews, NE",42.6313889,-103.7333333
"Angora, NE",41.8519444,-103.1247222
"Angus, NE",40.2822222,-97.9791667
"Anncar, NE",42.8072222,-98.7430556
"Anoka, NE",42.9469444,-98.8305556
"Anselmo, NE",41.6186111,-99.8647222
"Ansley, NE",41.2877778,-99.3813889
"Antioch, NE",42.0683333,-102.5816667
"Applewood Mobile Home Park, NE",40.6827778,-95.8647222
"Arabia, NE",42.7311111,-100.3722222
"Arapahoe, NE",40.3041667,-99.9000000
"Arbor, NE",40.8955556,-96.6727778
"Arborville, NE",41.0227778,-97.7741667
"Arcadia, NE",41.4233333,-99.1258333
"Archer, NE",41.1652778,-98.1355556
"Area Mobile Park, NE",40.7386111,-99.5372222
"Arizona, NE",41.8144444,-96.1333333
"Arlington, NE",41.4525000,-96.3508333
"Arnold, NE",41.4225000,-100.1930556
"Arthur, NE",41.5716667,-101.6911111
"Ashby, NE",42.0219444,-101.9272222
"Ashland, NE",41.0391667,-96.3680556
"Ashton, NE",41.2480556,-98.7938889
"Assumption, NE",40.5100000,-98.5719444
"Aten, NE",42.8400000,-97.4405556
"Atkins, NE",41.7238889,-103.2147222
"Atkinson, NE",42.5313889,-98.9777778
"Atlanta, NE",40.3666667,-99.4727778
"Auburn, NE",40.3927778,-95.8386111
"Aurora, NE",40.8672222,-98.0038889
"Avery, NE",41.1636111,-95.9222222
"Avoca, NE",40.7961111,-96.1172222
"Axtell, NE",40.4783333,-99.1263889
"Ayr, NE",40.4375000,-98.4400000
"Ayr Junction, NE",40.4577778,-98.4313889
"Badger, NE",40.0883333,-96.5952778
"Bancroft, NE",42.0127778,-96.5725000
"Baney Trailer Park, NE",40.0491667,-101.5325000
"Barada, NE",40.2186111,-95.5775000
"Barneston, NE",40.0483333,-96.5766667
"Bartlett, NE",41.8852778,-98.5519444
"Bartley, NE",40.2491667,-100.3116667
"Barton, NE",41.0338889,-102.1738889
"Bassett, NE",42.5858333,-99.5375000
"Battle Creek, NE",41.9994444,-97.5980556
"Baxter, NE",41.8594444,-103.4711111
"Bayard, NE",41.7550000,-103.3236111
"Bayonne, NE",42.7855556,-101.9772222
"Bazile Mills, NE",42.5127778,-97.9047222
"Beacon View, NE",41.0672222,-96.3261111
"Beals Trailer Court, NE",41.0941667,-101.8875000
"Beatrice, NE",40.2680556,-96.7466667
"Beaver City, NE",40.1375000,-99.8291667
"Beaver Crossing, NE",40.7786111,-97.2819444
"Beck, NE",41.1380556,-100.6933333
"Bee, NE",41.0063889,-97.0569444
"Beechwood, NE",41.3236111,-95.9422222
"Beemer, NE",41.9300000,-96.8113889
"Belden, NE",42.4130556,-97.2063889
"Belfast, NE",41.6375000,-98.6163889
"Belgrade, NE",41.4730556,-98.0680556
"Bellevue, NE",41.1366667,-95.8905556
"Bellwood, NE",41.3427778,-97.2380556
"Belmar, NE",41.2988889,-101.9161111
"Belmont, NE",42.5497222,-103.3561111
"Belvidere, NE",40.2519444,-97.5575000
"Benedict, NE",41.0058333,-97.6061111
"Benkelman, NE",40.0491667,-101.5325000
