name,lat,lon
"Acorn Acres, NH",43.0180556,-70.7666667
"Acworth, NH",43.2177778,-72.2925000
"Adams Trailer Park, NH",42.9033333,-70.8641667
"Albany, NH",43.9577778,-71.1680556
"Alderbrook, NH",44.3266667,-71.6969444
"Allens Mills, NH",43.4083333,-71.4519444
"Allenstown Elementary School, NH",43.1577778,-71.4061111
"Alstead, NH",43.1488889,-72.3611111
"Alstead Center, NH",43.1186111,-72.3263889
"Alton, NH",43.4522222,-71.2180556
"Alton Bay, NH",43.4686111,-71.2325000
"Ames, NH",43.5625000,-71.3352778
"Amherst, NH",42.8613889,-71.6258333
"Andover, NH",43.4369444,-71.8238889
"Antrim, NH",43.0308333,-71.9394444
"Antrim Center, NH",43.0502778,-71.9661111
"Appalachia, NH",44.3711111,-71.2897222
"Apthorp, NH",44.3077778,-71.7427778
"Arlington Park, NH",42.8302778,-71.2244444
"Ashland, NH",43.6952778,-71.6311111
"Ashuelot, NH",42.7775000,-72.4241667
"Atkinson, NH",42.8383333,-71.1475000
"Atkinson Heights, NH",42.8233333,-71.1658333
"Atlantic, NH",42.8711111,-70.8616667
"Atlantic Heights, NH",43.0922222,-70.7730556
"Auburn, NH",43.0044444,-71.3488889
"Austin Corners, NH",42.9111111,-70.9647222
"Baglett Grove, NH",42.8830556,-71.1797222
"Bagley, NH",43.2666667,-71.7791667
"Baileys, NH",44.4072222,-71.5055556
"Baileys Corner, NH",43.1055556,-71.5816667
"Baker Corner, NH",43.1375000,-72.2494444
"Balloch, NH",43.4322222,-72.3925000
"Bank, NH",42.7502778,-71.8375000
"Barnstead, NH",43.3338889,-71.2933333
"Barrett, NH",44.2580556,-71.8291667
"Barrington, NH",43.2227778,-71.0475000
"Bartlett, NH",44.0780556,-71.2833333
"Bath, NH",44.1669444,-71.9666667
"Bayside, NH",43.0513889,-70.8680556
"Bean Island, NH",43.0630556,-71.2433333
"Bear Island, NH",43.6572222,-71.4177778
"Beatties, NH",44.7077778,-71.5952778
"Bedford, NH",42.9463889,-71.5163889
"Beebe River, NH",43.8286111,-71.6513889
"Belmont, NH",43.4452778,-71.4783333
"Bennett Corners, NH",43.8275000,-71.3283333
"Bennington, NH",43.0030556,-71.9250000
"Benton, NH",44.1030556,-71.9022222
"Berlin, NH",44.4686111,-71.1855556
