name,lat,lon
"A Country Place, NJ",40.0883333,-74.2291667
"Abertown, NJ",41.2508333,-74.7850000
"Ablett Village, NJ",39.9486111,-75.1027778
"Absecon, NJ",39.4283333,-74.4961111
"Absecon Highlands, NJ",39.4466667,-74.4744444
"Ackermans Mills, NJ",41.0272222,-74.1691667
"Ackerson, NJ",41.0822222,-74.6683333
"Ackors Corner, NJ",40.3347222,-74.8494444
"Acton, NJ",39.5841667,-75.4136111
"Adams, NJ",40.4508333,-74.4936111
"Adamston, NJ",40.0452778,-74.0955556
"Adelphia, NJ",40.2180556,-74.2566667
"Afton, NJ",40.7725000,-74.3900000
"Albion, NJ",39.7786111,-74.9552778
"Albion Place, NJ",40.8911111,-74.1761111
"Aldene, NJ",40.6633333,-74.2733333
"Aldine, NJ",39.5688889,-75.2752778
"Alexauken, NJ",40.3894444,-74.9394444
"Algers Mills, NJ",40.1652778,-74.0750000
"Allaire, NJ",40.1583333,-74.1258333
"Allamuchy, NJ",40.9216667,-74.8105556
"Allendale, NJ",41.0413889,-74.1294444
"Allenhurst, NJ",40.2361111,-74.0011111
"Allens Corner, NJ",40.5466667,-74.9388889
"Allens Mills, NJ",40.7400000,-75.1188889
"Allentown, NJ",40.1777778,-74.5838889
"Allenwood, NJ",40.1413889,-74.1002778
"Allerton, NJ",40.6111111,-74.8788889
"Alliance, NJ",39.5186111,-75.0922222
"Alloway, NJ",39.5608333,-75.3627778
"Alloway Junction, NJ",39.5813889,-75.3633333
"Alluvium, NJ",39.8350000,-74.9422222
"Allwood, NJ",40.8425000,-74.1591667
"Almonesson, NJ",39.8188889,-75.0988889
"Alpha, NJ",40.6669444,-75.1577778
"Alphano, NJ",40.9022222,-74.8619444
"Alpine, NJ",40.9558333,-73.9316667
"Altura, NJ",40.2675000,-74.8166667
"Alvater Corner, NJ",40.5658333,-74.9702778
"Ampere, NJ",40.7666667,-74.1952778
"Amsterdam, NJ",40.5875000,-75.1588889
"Amwell, NJ",40.4313889,-74.7525000
"Anchorage, NJ",40.0013889,-74.1430556
"Ancora, NJ",39.6944444,-74.8416667
"Anderson, NJ",40.7705556,-74.9194444
"Andover, NJ",40.9858333,-74.7425000
"Andover Junction, NJ",40.9969444,-74.7461111
"Andrews, NJ",39.7238889,-74.9594444
"Anglesea, NJ",39.0186111,-74.7952778
"Annandale, NJ",40.6408333,-74.8816667
"Anthony, NJ",40.7483333,-74.8816667
"Applegarth, NJ",40.2783333,-74.4730556
"Apshawa, NJ",41.0175000,-74.3633333
"Archers Corner, NJ",40.0883333,-74.4558333
"Archertown, NJ",40.0652778,-74.5002778
"Arcola, NJ",40.9258333,-74.0897222
"Ardena, NJ",40.2113889,-74.2330556
"Ardmore Estates, NJ",40.2061111,-74.2250000
"Arlington, NJ",40.7775000,-74.1386111
"Armstrong, NJ",41.1494444,-74.6902778
"Arneys Mount, NJ",40.0097222,-74.6969444
"Arneytown, NJ",40.1013889,-74.5663889
"Arrowhead Village, NJ",40.0763889,-74.1041667
"Asbury, NJ",40.6958333,-75.0105556
"Asbury Park, NJ",40.2202778,-74.0125000
"Aserdaten, NJ",39.8563889,-74.3383333
"Ashland, NJ",39.8630556,-75.0063889
"Atco, NJ",39.7697222,-74.8877778
"Athenia, NJ",40.8666667,-74.1547222
"Atlantic City, NJ",39.3641667,-74.4233333
"Atlantic Highlands, NJ",40.4077778,-74.0347222
"Atsion, NJ",39.7425000,-74.7263889
"Auburn, NJ",39.7108333,-75.3680556
"Audubon, NJ",39.8908333,-75.0733333
"Audubon Park, NJ",39.8963889,-75.0880556
"Augusta, NJ",41.1288889,-74.7286111
"Aura, NJ",39.6727778,-75.1377778
