name,lat,lon
"Abbott, NM",36.3055556,-104.2583333
"Abe Yarbrough, NM",31.6519444,-108.8450000
"Abeytas, NM",34.4675000,-106.8108333
"Abiquiu, NM",36.2072222,-106.3180556
"Abo, NM",34.4558333,-106.3325000
"Abuelo, NM",35.9450000,-105.3602778
"Acme, NM",33.5922222,-104.3280556
"Acoma Pueblo, NM",34.8963889,-107.5811111
"Acoma Village, NM",34.8986111,-107.5863889
"Acomita, NM",35.0552778,-107.5711111
"Acomita Lake, NM",35.0702778,-107.6130556
"Adelino, NM",34.7158333,-106.7305556
"Aden, NM",32.1527778,-107.1269444
"Adero Az, NM",35.3536111,-104.4586111
"Adobe Ranch, NM",33.8622222,-106.3044444
"Afton, NM",32.0727778,-106.9436111
"Agua Fria, NM",35.6544444,-106.0216667
"Agua Zarca, NM",35.5633333,-105.2713889
"Agudo, NM",34.4052778,-104.3030556
"Air Base City, NM",32.7697222,-103.1947222
"Akela, NM",32.2458333,-107.4050000
"Alameda, NM",35.1866667,-106.6175000
"Alamillo, NM",34.2547222,-106.9155556
"Alamito, NM",35.8225000,-104.4369444
"Alamo, NM",34.4208333,-107.5102778
"Alamo Hueco, NM",31.4405556,-108.4269444
"Alamogordo, NM",32.8994444,-105.9597222
"Alaska, NM",35.0527778,-107.5955556
"Albert, NM",35.9344444,-103.8647222
"Albuquerque, NM",35.0844444,-106.6505556
"Alcalde, NM",36.0888889,-106.0530556
"Alcatraz, NM",36.7563889,-107.7563889
"Alexander Place, NM",34.6861111,-106.2536111
"Algodones, NM",35.3805556,-106.4786111
"Alire, NM",36.4763889,-106.5802778
"Alivio, NM",32.8366667,-107.0202778
"Alley Place, NM",34.9725000,-106.2497222
"Allison, NM",35.5241667,-108.7844444
"Alma, NM",33.3794444,-108.9027778
"Alpine Cellars Village, NM",33.3744444,-105.6913889
"Alta Vista, NM",35.5350000,-104.7430556
"Alto, NM",33.3986111,-105.6802778
"Alvarado, NM",32.1363889,-106.2366667
"Amalia, NM",36.9419444,-105.4538889
"Amargo, NM",36.9377778,-106.8911111
"Ambrosia Lake, NM",35.4188889,-107.8211111
"Amistad, NM",35.9188889,-103.1533333
"Anapra, NM",31.7841667,-106.5633333
"Ancho, NM",33.9377778,-105.7391667
"Ancon, NM",35.7152778,-104.4250000
"Ancones, NM",36.4238889,-106.0625000
"Anderson Place, NM",34.6805556,-106.3488889
"Andrews Place, NM",32.0325000,-103.3975000
"Angel Fire, NM",36.3930556,-105.2844444
"Angostura, NM",36.1889000,-105.6885000
"Animas, NM",31.9488889,-108.8066667
"Antelope, NM",31.9569444,-108.7133333
"Antelope Springs, NM",34.8322222,-106.0675000
"Antelope Wells, NM",31.3488889,-108.5083333
"Anthony, NM",32.0038889,-106.6052778
"Anton Chico, NM",35.2000000,-105.1416667
"Anzac, NM",35.0686111,-107.7261111
"Apache, NM",33.3252778,-105.9022222
"Apache Creek, NM",33.8330556,-108.6244444
"Apache Springs, NM",35.3722222,-105.1925000
"Apodaca, NM",36.1986111,-105.8616667
"Arabela, NM",33.5869444,-105.1727778
