name,lat,lon
"Acoma, NV",37.5483333,-114.1716667
"Adaven, NV",38.1322222,-115.5994444
"Adits Mill, NV",39.2275000,-117.1355556
"Adverse, NV",39.3813889,-114.7747222
"Alamo, NV",37.3650000,-115.1636111
"Alazon, NV",41.1336111,-115.0291667
"Alkali, NV",37.8258333,-117.3366667
"Alpha, NV",40.0102778,-116.1922222
"Amargosa Valley, NV",36.6438889,-116.3994444
"Amber, NV",36.6080556,-114.4933333
"Andys Place, NV",41.7944444,-119.3844444
"Angle City, NV",37.0433333,-114.5875000
"Apache, NV",40.5434000,-117.9773000
"Apex, NV",36.3291667,-114.9269444
"Arabia, NV",40.3636111,-118.3916667
"Arden, NV",36.0180556,-115.2300000
"Argenta, NV",40.6744444,-116.7047222
"Argo, NV",39.5975000,-119.1627778
"Arrolime, NV",36.3513889,-114.9083333
"Arrowhead, NV",36.6588889,-114.5750000
"Arthur, NV",40.7966667,-115.1900000
"Ash Springs, NV",37.4605556,-115.1922222
"Ashton, NV",36.7202778,-116.6716667
"Atlanta, NV",38.4652778,-114.3305556
"Austin, NV",39.4933333,-117.0686111
"Avalon, NV",38.7630556,-118.7552778
"Awakening, NV",41.2755556,-117.9525000
"Babbitt, NV",38.5394444,-118.6366667
"Baker, NV",39.0133333,-114.1219444
"Baltimore Mill, NV",39.2844444,-114.8680556
"Bannock, NV",40.5166667,-117.1002778
"Barcelona Summit, NV",38.6508333,-116.9572222
"Barclay, NV",37.5133333,-114.2508333
"Bard, NV",35.9877778,-115.2366667
"Barth, NV",40.5816667,-116.2683333
"Basalt, NV",38.0075000,-118.2722222
"Basic, NV",38.8719444,-117.8991667
"Battle Mountain, NV",40.6422222,-116.9333333
"Beatty, NV",36.9086111,-116.7583333
"Belmont, NV",38.5961111,-116.8733333
"Beowawe, NV",40.5927778,-116.4763889
"Berlin, NV",38.8819444,-117.6066667
"Big Trees, NV",37.9027778,-114.5597222
"Blackburn, NV",40.2283333,-116.1669444
"Blair, NV",37.7930556,-117.6483333
"Bliss, NV",41.0291667,-117.6080556
"Blue Diamond, NV",36.0463889,-115.4030556
"Bonnie Claire, NV",37.2266667,-117.1200000
"Bonnie Springs, NV",36.0591667,-115.4525000
"Borax, NV",35.7144444,-115.3397222
"Border Town, NV",39.6758333,-119.9902778
"Boulder City, NV",35.9786111,-114.8316667
"Boulder Junction, NV",36.0811111,-115.1972222
"Boyd, NV",37.4377778,-114.5663889
"Boyer, NV",39.9583333,-117.8666667
"Bracken, NV",36.1075000,-115.1902778
"Brennen Ranch, NV",40.6680556,-115.5472222
"Bridge House, NV",39.0433333,-119.7802778
"Bristol, NV",38.0800000,-114.6186111
"Brown, NV",37.6072222,-114.1319444
"Brucite, NV",38.8627778,-117.9011111
"Buckeye, NV",38.9605556,-119.7233333
"Buckhorn, NV",40.1761111,-116.4797222
"Buckingham Camp, NV",40.6130556,-117.0716667
"Bull Fork, NV",39.0736111,-115.7663889
"Bullion, NV",40.5238889,-115.9955556
"Bunkerville, NV",36.7730556,-114.1272222
"Cactus Springs, NV",36.5777778,-115.7266667
"Cal-Nev-Ari, NV",35.3055556,-114.8827778
"Caliente, NV",37.6150000,-114.5111111
"Calumet, NV",39.2630556,-114.8758333
"Camp Desert Rock, NV",36.6272222,-116.0191667
"Camp Douglas, NV",38.3386111,-118.1988889
"Candelaria Junction, NV",38.1758333,-118.1816667
"Canon City, NV",39.4566667,-117.1283333
"Carlin, NV",40.7138889,-116.1030556
"Carman Heights, NV",38.8375000,-119.5080556
"Carp, NV",37.1119444,-114.4919444
"Carson City, NV",39.1638889,-119.7663889
"Carson Hot Springs, NV",39.1938889,-119.7516667
"Carson Rapids City, NV",39.3044444,-119.5552778
"Carver Park, NV",36.0463889,-114.9766667
"Carvers, NV",38.7866667,-117.1783333
"Caselton, NV",37.9191667,-114.4844444
"Caselton Heights, NV",37.9138889,-114.4783333
"Centerville, NV",38.9105556,-119.7783333
"Charleston, NV",41.6708333,-115.5097222
"Cherry Creek, NV",39.9005556,-114.8850000
"Chinatown, NV",41.5316667,-119.2050000
"Churchill, NV",39.2716667,-119.2800000
"Clark, NV",39.5641667,-119.4805556
"Clifside, NV",40.9161111,-114.2763889
"Cluro, NV",40.5808333,-116.3225000
"Coaldale, NV",38.0275000,-117.8822222
"Coaldale Junction, NV",38.0316667,-117.8861111
"Cobre, NV",41.1119444,-114.4000000
"Coin, NV",40.8830556,-115.7147222
"Colado, NV",40.2455556,-118.3919444
"Cold Spring, NV",37.7513889,-114.4238889
"Cold Springs, NV",39.6802778,-119.9755556
"Columbus, NV",38.1102778,-118.0183333
"Como, NV",39.1725000,-119.4755556
"Comus, NV",41.0005556,-117.3261111
"Contact, NV",41.7694444,-114.7516667
"Copper Basin, NV",40.6030556,-117.0455556
"Copper Flat, NV",39.2611111,-114.9872222
"Copper Run, NV",38.8208333,-118.8883333
"Copperfield, NV",39.6316667,-119.9438889
"Cordero, NV",41.9144444,-117.8138889
"Cortez, NV",40.1411111,-116.6025000
"Corwin, NV",40.0216667,-115.8980556
"Cosgrave, NV",40.7966667,-118.0147222
"Coyote Hole, NV",37.7972222,-117.8044444
"Crescent Valley, NV",40.4161111,-116.5755556
"Cressid, NV",39.9297222,-118.7111111
"Crestline, NV",37.6636111,-114.1252778
"Crossroads, NV",37.5658333,-114.2552778
"Crows Nest, NV",38.3516667,-115.6625000
"Crystal, NV",36.4916667,-116.1666667
"Crystal Bay, NV",39.2261111,-120.0030556
"Crystal Springs, NV",37.5316667,-115.2330556
"Currant, NV",38.7422222,-115.4738889
"Currie, NV",40.2666667,-114.7422222
"Darroughs Hot Springs, NV",38.8202778,-117.1797222
"Darwin, NV",39.5894444,-119.1011111
"Daveytown, NV",41.2950000,-117.9022222
"Davis Station, NV",39.2797222,-119.2155556
"Dayton, NV",39.2372222,-119.5919444
"Decoy, NV",40.6716667,-114.4869444
"Deep Creek, NV",41.5672222,-116.1477778
"Deep Hole, NV",40.7191667,-119.4822222
"Deeth, NV",41.0655556,-115.2738889
"Del Monte, NV",38.2944444,-118.9291667
"Delamar, NV",37.4580556,-114.7691667
"Delaplain, NV",41.9316667,-114.6550000
"Denio, NV",41.9900000,-118.6333333
