name,lat,lon
"Abbotts, NY",42.2569444,-78.3188889
"Abell Corners, NY",42.8983333,-75.8286111
"Abrams Landing, NY",40.9925000,-72.1061111
"Accord, NY",41.7855556,-74.2294444
"Acidalia, NY",41.8994444,-75.0336111
"Acra, NY",42.3108333,-74.0558333
"Adams, NY",43.8091667,-76.0244444
"Adams Basin, NY",43.1975000,-77.8541667
"Adams Center, NY",43.8600000,-76.0058333
"Adams Corner, NY",42.4266667,-75.7286111
"Adams Corners, NY",41.3533333,-73.8400000
"Adams Cove, NY",44.0063889,-76.1588889
"Adamsville, NY",43.3208333,-73.4736111
"Addison, NY",42.1027778,-77.2338889
"Adelphi, NY",40.6808333,-73.9650000
"Aden, NY",41.8605556,-74.6736111
"Adirondack, NY",43.7638889,-73.7588889
"Adrian, NY",42.2544444,-77.5211111
"Afton, NY",42.2280556,-75.5269444
"Agnes Corners, NY",43.1758333,-75.6066667
"Aiden Lair, NY",43.8716667,-74.0030556
"Air City, NY",43.2200000,-75.4227778
"Airmont, NY",41.1008333,-74.1166667
"Akron, NY",43.0208333,-78.4955556
"Akron Junction, NY",43.0047222,-78.5347222
"Alabama, NY",43.0963889,-78.3911111
"Albany, NY",42.6525000,-73.7566667
"Alberts Landing, NY",41.0033333,-72.1200000
"Albertson, NY",40.7733333,-73.6436111
"Albia, NY",42.7033333,-73.6522222
"Albion, NY",43.2463889,-78.1938889
"Albion Center, NY",43.4886111,-76.0419444
"Alburg, NY",44.7772222,-74.5819444
"Alcove, NY",42.4686111,-73.9261111
"Alden, NY",42.9000000,-78.4922222
"Alden Center, NY",42.9111111,-78.5236111
"Alden Manor, NY",40.6941667,-73.7180556
"Alder Bend, NY",44.8480556,-73.7213889
"Alder Brook, NY",44.5133333,-73.9438889
"Alder Creek, NY",43.4233333,-75.2283333
"Aldrich, NY",44.1486111,-75.1116667
"Alene, NY",43.0122222,-75.7372222
"Alewife Brook Landing, NY",41.0322222,-72.2400000
"Alexander, NY",42.9011111,-78.2569444
"Alexandria Bay, NY",44.3358333,-75.9180556
"Alexandria Center, NY",44.3075000,-75.8763889
"Alfred, NY",42.2541667,-77.7908333
"Alfred Station, NY",42.2697222,-77.7594444
"Alice, NY",42.0208333,-77.6141667
"Allaben, NY",42.1166667,-74.3708333
"Allegany, NY",42.0900000,-78.4944444
"Allen Center, NY",42.3861111,-78.0155556
"Allen Corners, NY",41.4705556,-73.7491667
"Allendale, NY",43.7805556,-76.0169444
"Allens Hill, NY",42.8408333,-77.5152778
"Allentown, NY",42.0836111,-78.0647222
"Alligerville, NY",41.7958333,-74.1794444
"Alloway, NY",43.0236111,-76.9888889
"Alma, NY",42.0125000,-78.0580556
"Almond, NY",42.3222222,-77.7386111
"Aloquin, NY",42.8608333,-77.1452778
"Alpina, NY",44.1691667,-75.4269444
"Alpine, NY",42.3130556,-76.7244444
"Alpine Junction, NY",42.2936111,-76.7105556
"Alplaus, NY",42.8552778,-73.8994444
"Alsen, NY",42.1580556,-73.9197222
"Altamont, NY",42.7005556,-74.0341667
"Altay, NY",42.4394444,-77.0202778
"Altmar, NY",43.5100000,-76.0025000
"Alton, NY",43.2111111,-76.9808333
"Altona, NY",44.8883333,-73.6561111
"Alverson, NY",43.9477778,-76.0244444
"Amagansett, NY",40.9736111,-72.1441667
"Amawalk, NY",41.2883333,-73.7666667
"Amber, NY",42.8872222,-76.2969444
"Amblers Crossing, NY",42.6733333,-75.2630556
"Amblerville, NY",42.5411111,-75.4002778
"Amboy, NY",43.0694444,-76.2727778
"Amboy Center, NY",43.3688889,-75.9422222
"Amenia, NY",41.8491667,-73.5572222
"Amenia Union, NY",41.8244444,-73.5055556
"Ames, NY",42.8375000,-74.6019444
"Amherst, NY",42.9783333,-78.8000000
"Amity, NY",41.2680556,-74.4552778
"Amity Harbor, NY",40.6633333,-73.3986111
"Amityville, NY",40.6788889,-73.4175000
"Amsterdam, NY",42.9386111,-74.1886111
"Anaquassacook, NY",43.0747222,-73.3127778
