name,lat,lon
"Abanaka, OH",40.7600000,-84.6983333
"Abbeyville, OH",41.1972222,-81.8869444
"Abbottsville, OH",40.0375000,-84.5783333
"Abe, OH",40.1658333,-84.3744444
"Aberdeen, OH",38.6555556,-83.7611111
"Academia, OH",40.4136111,-82.4683333
"Achor, OH",40.7741667,-80.5419444
"Acme, OH",41.0247222,-81.7963889
"Ada, OH",40.7694444,-83.8227778
"Adair, OH",40.7936111,-80.9561111
"Adams Mills, OH",40.1566667,-81.9469444
"Adams Ridge, OH",41.3986111,-84.2655556
"Adamsville, OH",40.0697222,-81.8825000
"Adario, OH",40.9344444,-82.4502778
"Addison, OH",38.8861111,-82.1463889
"Addyston, OH",39.1366667,-84.7091667
"Adelphi, OH",39.4666667,-82.7472222
"Adena, OH",40.2186111,-80.8730556
"Adrian, OH",41.0013889,-83.3230556
"Advance, OH",41.6405556,-84.1127778
"Aetnaville, OH",40.0833333,-80.7375000
"Africa, OH",40.1822222,-82.9572222
"Afton, OH",39.0613889,-84.1002778
"Ai, OH",41.6280556,-83.9352778
"Aid, OH",38.5961111,-82.4933333
"Ainger, OH",41.6397222,-84.6838889
"Air Line Junction, OH",41.6386111,-83.5825000
"Airhill, OH",39.8194444,-84.3672222
"Akron, OH",41.0813889,-81.5191667
"Al Bar Meadows, OH",39.1680556,-84.3688889
"Alabama Hill, OH",39.6344444,-82.0516667
"Albany, OH",39.2275000,-82.2025000
"Albion, OH",40.9741667,-82.1638889
"Alcony, OH",40.0113889,-84.0580556
"Alden, OH",39.4833333,-81.5022222
"Alert, OH",39.3250000,-84.7752778
"Alexander, OH",41.3563889,-81.5961111
"Alexandria, OH",40.0888889,-82.6125000
"Alexis, OH",39.6363889,-81.0313889
"Alexis Addition, OH",41.7197222,-83.5269444
"Alfred, OH",39.1725000,-81.9211111
"Alger, OH",40.7061111,-83.8438889
"Alice, OH",39.0211111,-82.3727778
"Alikanna, OH",40.3875000,-80.6361111
"Alledonia, OH",39.8986111,-80.9694444
"Allen Center, OH",40.2416667,-83.4780556
"Allensburg, OH",39.2044444,-83.7772222
"Allensville, OH",39.2725000,-82.6069444
"Allentown, OH",40.7547222,-84.1947222
"Alliance, OH",40.9152778,-81.1061111
"Alliance Junction, OH",40.9208333,-81.0425000
"Alma, OH",39.1880556,-82.9788889
"Alpha, OH",39.7116667,-84.0233333
"Alpine Terrace, OH",39.0905556,-84.2919444
"Alta, OH",40.7325000,-82.5697222
"Altamont, OH",40.3333333,-80.6177778
"Altitude, OH",39.7530556,-81.0236111
"Alton, OH",39.9502778,-83.1747222
"Altoona, OH",39.1133333,-82.5866667
"Alum Creek, OH",40.2672222,-82.9444444
"Alvada, OH",41.0502778,-83.4019444
"Alvordton, OH",41.6658333,-84.4369444
"Am-Beth Acres, OH",39.0855556,-84.2808333
"Amanda, OH",39.6494444,-82.7444444
"Amberley, OH",39.2047222,-84.4280556
"Ambler Heights, OH",41.4972222,-81.6011111
"Amboy, OH",41.9272222,-80.6152778
"Amelia, OH",39.0283333,-84.2177778
"Amesville, OH",39.4005556,-81.9558333
"Amherst, OH",41.3977778,-82.2225000
"Amherst Heights, OH",40.8300000,-81.5161111
"Amity, OH",39.2055556,-84.4041667
"Amlin, OH",40.0769444,-83.1811111
"Amoy, OH",40.8286111,-82.5533333
"Amsden, OH",41.2161111,-83.3286111
"Amsterdam, OH",40.4736111,-80.9230556
"Ancor, OH",39.1372222,-84.3177778
"Anderson, OH",39.3608333,-83.0705556
"Anderson Ferry, OH",39.0780556,-84.6219444
"Andersonville, OH",39.0408333,-83.9869444
"Andis, OH",38.5508333,-82.5233333
