name,lat,lon
"Acme, OR",43.9800000,-124.0597222
"Adair Village, OR",44.6708333,-123.2166667
"Adams, OR",45.7675000,-118.5613889
"Adel, OR",42.1775000,-119.8975000
"Adrian, OR",43.7408333,-117.0708333
"Agate Beach, OR",44.6775000,-124.0605556
"Agness, OR",42.5566667,-124.0677778
"Aims, OR",45.4508333,-122.2066667
"Airlie, OR",44.7505556,-123.3302778
"Alameda, OR",45.5552778,-122.6294444
"Albany, OR",44.6366667,-123.1047222
"Albina, OR",45.5438889,-122.6738889
"Alder, OR",44.5825000,-123.5077778
"Alder Creek, OR",45.3780556,-122.1005556
"Aldervale, OR",45.7686111,-123.8430556
"Alfalfa, OR",44.0775000,-121.0158333
"Algoma, OR",42.3472222,-121.8144444
"Alicel, OR",45.4044444,-117.9788889
"Allegany, OR",43.4261111,-124.0311111
"Alma, OR",43.8911111,-123.4736111
"Aloha, OR",45.4944444,-122.8658333
"Alpha, OR",44.1644444,-123.6994444
"Alpine, OR",44.3302778,-123.3591667
"Alsea, OR",44.3816667,-123.5952778
"Alsea Rivera, OR",44.4055556,-123.8972222
"Alston, OR",46.0994444,-123.0458333
"Altamont, OR",42.2069444,-121.7361111
"Alvadore, OR",44.1269444,-123.2633333
"Amity, OR",45.1158333,-123.2061111
"Andrews, OR",42.4641667,-118.6122222
"Anlauf, OR",43.7111111,-123.2225000
"Annex, OR",44.2402778,-116.9833333
"Antelope, OR",44.9108333,-120.7216667
"Apiary, OR",46.0141667,-123.0288889
"Applegate, OR",42.2572222,-123.1672222
"Arago, OR",43.1022222,-124.1911111
"Arcadia, OR",43.9244444,-116.9844444
"Arch Cape, OR",45.8291667,-123.9608333
"Ardenwald, OR",45.4555556,-122.6286111
"Arleta, OR",45.4888889,-122.5922222
"Arlington, OR",45.7169444,-120.1997222
"Arock, OR",42.9141667,-117.5241667
"Ash, OR",43.5525000,-123.8205556
"Ashland, OR",42.1947222,-122.7083333
"Ashwood, OR",44.7338889,-120.7533333
"Astoria, OR",46.1880556,-123.8300000
"Athena, OR",45.8119444,-118.4894444
"Aumsville, OR",44.8411111,-122.8697222
"Aurora, OR",45.2311111,-122.7547222
"Austin, OR",44.6027778,-118.4955556
"Azalea, OR",42.7955556,-123.2591667
"Bacona, OR",45.7775000,-123.1208333
"Badger Corner, OR",44.9502778,-122.9822222
"Bagnell Ferry, OR",42.4666667,-124.3666667
"Bakeoven, OR",45.0866667,-120.8386111
"Baker City, OR",44.7750000,-117.8333333
"Ballston, OR",45.0669444,-123.3197222
"Balm Grove, OR",45.5969444,-123.2172222
"Bancroft, OR",42.9397222,-124.0058333
"Bandon, OR",43.1191667,-124.4072222
"Banks, OR",45.6188889,-123.1130556
"Barlow, OR",45.2519444,-122.7194444
"Barnes Heights, OR",45.5325000,-122.7527778
"Barnesdale, OR",45.6394444,-123.8533333
"Bartlett, OR",45.9847222,-117.4572222
"Barton, OR",45.3891667,-122.4058333
"Barview, OR",43.3544444,-124.3119444
"Basque, OR",42.4108333,-117.8675000
"Bates, OR",44.5930556,-118.5075000
"Batterson, OR",45.7013889,-123.7572222
"Battin, OR",45.4588889,-122.5769444
"Bay City, OR",45.5227778,-123.8880556
"Bay Park, OR",43.3491667,-124.2005556
"Bayshore, OR",44.4388889,-124.0736111
"Bayside Gardens, OR",45.7138889,-123.9138889
"Bayview, OR",44.4425000,-124.0338889
"Beagle, OR",42.5347222,-122.9241667
"Beatty, OR",42.4419444,-121.2697222
"Beaver, OR",45.2769444,-123.8252778
"Beaver Creek, OR",45.2880556,-122.5344444
"Beaver Homes, OR",46.0058333,-122.9258333
"Beaver Springs, OR",46.0461111,-122.9469444
"Beaverton, OR",45.4872222,-122.8025000
"Beech Creek, OR",44.6194444,-119.1477778
"Belknap Springs, OR",44.1905556,-122.0480556
"Bellevue, OR",45.1155556,-123.3150000
"Bellfountain, OR",44.3638889,-123.3541667
"Bend, OR",44.0583333,-121.3141667
"Berlin, OR",44.4980556,-122.7466667
"Bethany, OR",45.0125000,-122.8166667
"Bethel, OR",44.0652778,-123.1313889
"Bethel Gospel Park, OR",45.0541667,-122.9508333
"Bethel Heights, OR",45.0447222,-123.1494444
"Beulah, OR",43.9066667,-118.1516667
"Beverly Beach, OR",44.7205556,-124.0563889
"Biggs Junction, OR",45.6700000,-120.8316667
"Bingham Springs, OR",45.7422222,-118.2308333
"Birkenfeld, OR",45.9908333,-123.3363889
"Bissell, OR",45.2941667,-122.1780556
"Bitter Lick, OR",42.7930556,-122.6375000
"Blachly, OR",44.1950000,-123.5338889
"Black Butte, OR",43.5694444,-123.0763889
"Black Butte Ranch, OR",44.3775000,-121.6525000
"Black Rock, OR",44.8711111,-123.4950000
"Blaine, OR",45.2775000,-123.7033333
"Blaisdell, OR",42.3783333,-120.8427778
"Blodgett, OR",44.5972222,-123.5183333
"Blooming, OR",45.4875000,-123.0500000
"Blue River, OR",44.1547222,-122.3400000
"Bly, OR",42.3977778,-121.0405556
"Boardman, OR",45.8400000,-119.6994444
"Bolton, OR",45.3719444,-122.6238889
"Bonanza, OR",42.1988889,-121.4050000
"Bonita, OR",44.2525000,-117.8327778
"Bonneville, OR",45.6361111,-121.9508333
"Bonny Slope, OR",45.5458333,-122.7819444
"Boring, OR",45.4300000,-122.3736111
"Bourne, OR",44.8244444,-118.1963889
"Boyd, OR",45.4894444,-121.0811111
"Boyer, OR",45.0702778,-123.7255556
"Bradley Corner, OR",45.4533333,-122.7730556
"Bradwood, OR",46.1969444,-123.4377778
"Breitenbush, OR",44.7819444,-121.9708333
"Breitenbush Hot Springs, OR",44.7830556,-121.9777778
"Briarwood, OR",45.4302778,-122.6594444
"Brickerville, OR",44.0658333,-123.8797222
"Bridal Veil, OR",45.5591667,-122.1741667
"Bridge, OR",43.0241667,-124.0058333
"Bridgeport, OR",44.4858333,-117.7441667
"Bridgeview, OR",42.1261111,-123.6047222
"Bridlemile, OR",45.4933333,-122.7091667
"Brighton, OR",45.6725000,-123.9216667
"Brightwood, OR",45.3763889,-122.0155556
"Broadbent, OR",43.0091667,-124.1452778
"Broadmead, OR",45.0730556,-123.2683333
"Brockway, OR",43.1091667,-123.4541667
"Brogan, OR",44.2463889,-117.5161111
"Brookings, OR",42.0527778,-124.2827778
"Brooklyn, OR",45.4905556,-122.6361111
"Brooks, OR",45.0483333,-122.9572222
"Brothers, OR",43.8138889,-120.6022222
"Brownlee, OR",44.8116667,-116.9333333
"Brownsboro, OR",42.4683333,-122.7088889
"Brownsmead, OR",46.2177778,-123.5394444
"Brownsville, OR",44.3936111,-122.9836111
"Browntown, OR",42.0841667,-123.5161111
"Brush College, OR",44.9722222,-123.0763889
"Bryant, OR",45.4041667,-122.7213889
"Buchanan, OR",43.6425000,-118.6275000
"Buckheaven, OR",45.3766667,-122.9983333
"Buckhorn Springs, OR",42.1055556,-122.5305556
"Bucks Corners, OR",45.7855556,-119.3266667
"Buell, OR",45.0163889,-123.4172222
"Buena Vista, OR",44.7697222,-123.1494444
"Bull Run, OR",45.4305556,-122.2305556
"Bullards, OR",43.1500000,-124.3944444
"Buncom, OR",42.1741667,-122.9969444
"Bunker Hill, OR",43.3561111,-124.2036111
"Burlingame, OR",45.4686111,-122.6838889
"Burlington, OR",45.6463889,-122.8413889
"Burns, OR",43.5863889,-119.0530556
"Burnt Woods, OR",44.6038889,-123.6216667
"Butte Falls, OR",42.5433333,-122.5644444
"Butteville, OR",45.2625000,-122.8391667
"Buxton, OR",45.6888889,-123.1897222
"Bybee Corner, OR",42.3172222,-122.9508333
"Cabell City, OR",44.8952778,-118.3672222
"Cairo, OR",43.9961111,-117.0080556
"Calapooia, OR",44.3275000,-122.7394444
"California Bar, OR",42.1197222,-123.4736111
"Calkins, OR",43.2216667,-123.4075000
"Callahan, OR",43.2661111,-123.6086111
"Camas Valley, OR",43.0344444,-123.6727778
"Camp Elkanah, OR",45.2350000,-118.4488889
"Camp Sherman, OR",44.4605556,-121.6400000
"Canaan, OR",45.9322222,-122.9166667
"Canary, OR",43.9280556,-124.0341667
"Canby, OR",45.2630556,-122.6913889
"Canemah, OR",45.3458333,-122.6200000
"Cannon Beach, OR",45.8919444,-123.9602778
"Canyon City, OR",44.3897222,-118.9491667
"Canyonville, OR",42.9275000,-123.2800000
"Cape Meares, OR",45.4900000,-123.9575000
"Capitol Hill, OR",45.4655556,-122.6963889
"Carlton, OR",45.2944444,-123.1752778
"Carnahan, OR",46.1005556,-123.9158333
"Carnation, OR",45.5077778,-123.1013889
"Carpenterville, OR",42.2202778,-124.3383333
"Carson, OR",44.9358333,-117.1744444
"Carson Heights, OR",45.4580556,-122.6800000
"Carus, OR",45.2713889,-122.5694444
"Carver, OR",45.3947222,-122.4961111
"Cascade Gorge, OR",42.7158333,-122.5675000
"Cascade Locks, OR",45.6700000,-121.8894444
"Cascadia, OR",44.3975000,-122.4805556
"Cave Junction, OR",42.1630556,-123.6469444
"Cecil, OR",45.6180556,-119.9577778
"Cedar Flat, OR",44.0527778,-122.8402778
"Cedar Hills, OR",45.5050000,-122.7972222
"Cedar Mill, OR",45.5250000,-122.8097222
"Cedar Point, OR",43.1797222,-124.2122222
"Cedardale, OR",45.1591667,-122.4936111
"Cedarhurst Park, OR",45.3311111,-122.4250000
"Celilo Village, OR",45.6458333,-120.9647222
"Central Point, OR",42.3761111,-122.9152778
"Champoeg, OR",45.2488889,-122.8969444
"Chapman, OR",45.8252778,-122.9841667
"Chapman Corner, OR",44.9605556,-123.0777778
"Chapman Landing, OR",45.7461111,-122.8394444
"Charbonneau, OR",45.2875000,-122.7569444
"Charleston, OR",43.3402778,-124.3288889
"Charlestown, OR",45.8888889,-119.2963889
"Chehalem, OR",45.3280556,-122.8875000
"Chemawa, OR",45.0016667,-122.9913889
"Chemult, OR",43.2166667,-121.7816667
"Chenoweth, OR",45.6277778,-121.2422222
"Cherry Grove, OR",45.4477778,-123.2422222
"Cherry Heights, OR",45.6030556,-121.2397222
"Cherryville, OR",45.3672222,-122.1538889
"Cheshire, OR",44.1897222,-123.2844444
"Chiloquin, OR",42.5777778,-121.8650000
"China Town, OR",44.4930556,-117.6983333
"Chitwood, OR",44.6550000,-123.8213889
"Christmas Valley, OR",43.2363889,-120.6358333
"Clackamas, OR",45.4077778,-122.5691667
"Clackamas Heights, OR",45.3713889,-122.5780556
"Clarke, OR",45.8380556,-119.5997222
"Clarkes, OR",45.2155556,-122.4700000
"Clarksville, OR",44.4913889,-117.6788889
"Clarno, OR",44.9136111,-120.4722222
"Clatskanie, OR",46.1013889,-123.2055556
"Clatskanie Heights, OR",46.0561111,-123.2158333
"Clear Creek, OR",45.8061111,-123.2783333
"Clear Lake, OR",45.0355556,-123.0197222
"Clearwater, OR",43.2630556,-122.4208333
"Clem, OR",45.4213889,-120.2022222
"Cleveland, OR",43.2963889,-123.4752778
"Clifton, OR",46.2111111,-123.4611111
"Climax, OR",42.2952778,-122.6186111
"Cloverdale, OR",45.2061111,-123.8908333
"Coaledo, OR",43.2325000,-124.2319444
"Cobb, OR",45.9552778,-118.3963889
"Coburg, OR",44.1372222,-123.0652778
"Cold Springs, OR",45.8786111,-119.1644444
"Cold Springs Junction, OR",45.9138889,-119.1369444
"Coles Valley, OR",43.3652778,-123.5013889
"Colestin, OR",42.0533333,-122.6500000
"College Hill, OR",44.0311111,-123.0969444
"Colton, OR",45.1722222,-122.4366667
"Columbia City, OR",45.8902778,-122.8058333
"Columbia Heights, OR",45.8638889,-122.8375000
"Comstock, OR",43.7394444,-123.1852778
"Concord, OR",45.4044444,-122.6363889
"Condon, OR",45.2344444,-120.1838889
"Cook, OR",45.4022222,-122.7319444
"Coos Bay, OR",43.3666667,-124.2166667
"Coos River, OR",43.3777778,-124.1000000
"Cooston, OR",43.3950000,-124.1841667
"Copper, OR",42.0266667,-123.1455556
"Coquille, OR",43.1772222,-124.1863889
"Corbett, OR",45.5319444,-122.2900000
"Corey Hill, OR",45.8619444,-123.2047222
"Cornelius, OR",45.5200000,-123.0586111
"Cornucopia, OR",45.0083333,-117.1916667
"Coronado Shores, OR",44.8652778,-124.0383333
"Corvallis, OR",44.5647222,-123.2608333
"Cottage Grove, OR",43.7977778,-123.0583333
"Cottrell, OR",45.4577778,-122.3044444
"Courtrock, OR",44.6408333,-119.3669444
"Cove, OR",45.2966667,-117.8069444
"Cove Orchard, OR",45.3752778,-123.1536111
"Cow Creek, OR",42.8566667,-123.5963889
"Crabtree, OR",44.6352778,-122.8969444
"Cranberry Corners, OR",43.1258333,-124.3869444
"Crane, OR",43.4152778,-118.5772222
"Crawfordsville, OR",44.3572222,-122.8566667
