name,lat,lon
"Aaronsburg, PA",40.8997222,-77.4536111
"Abbotsford Homes, PA",40.0133333,-75.1750000
"Abbott, PA",41.5822222,-77.7847222
"Abbottstown, PA",39.8863889,-76.9850000
"Abdera, PA",41.0305556,-77.5611111
"Aberdeen, PA",40.1766667,-76.6236111
"Abington, PA",40.1205556,-75.1183333
"Abrahams, PA",40.1127778,-75.3775000
"Abrahamsville, PA",41.7641667,-75.1238889
"Academia, PA",40.4963889,-77.4761111
"Academy, PA",39.9055556,-75.2625000
"Academy Garden, PA",40.0616667,-74.9966667
"Academyville, PA",40.0105556,-75.2430556
"Accomac, PA",40.0450000,-76.5638889
"Acheson, PA",40.1950000,-80.4513889
"Acker, PA",40.4972222,-77.0602778
"Ackermanville, PA",40.8391667,-75.2197222
"Ackworth, PA",40.0077778,-75.6686111
"Acme, PA",40.1266667,-79.4288889
"Acmetonia, PA",40.5408333,-79.8161111
"Acorn, PA",40.1930556,-75.2944444
"Acosta, PA",40.1102778,-79.0691667
"Adah, PA",39.8963889,-79.9222222
"Adams, PA",40.9411111,-79.6425000
"Adams Crossing, PA",40.5425000,-78.8802778
"Adamsburg, PA",40.3116667,-79.6563889
"Adamsdale, PA",40.6361111,-76.1283333
"Adamstown, PA",40.2411111,-76.0566667
"Adamsville, PA",41.5111111,-80.3700000
"Addingham, PA",39.9422222,-75.3050000
"Addison, PA",39.7472222,-79.3394444
"Adelaide, PA",40.0433333,-79.6241667
"Adele, PA",39.9772222,-75.3338889
"Admire, PA",39.9619444,-76.8708333
"Adrian, PA",40.8847222,-79.5380556
"Adrian Furnace, PA",41.1319444,-78.7838889
"Adrian Mines, PA",40.9847222,-78.9605556
"Advance, PA",40.7086111,-79.2622222
"Ahrensville, PA",41.4544444,-79.6458333
"Aiken, PA",41.8780556,-78.5780556
"Ailston, PA",39.7441667,-76.3158333
"Airville, PA",39.8322222,-76.4066667
"Airydale, PA",40.4844444,-77.8677778
"Aitch, PA",40.3741667,-78.1594444
"Ajax, PA",41.3544444,-79.7908333
"Akeley, PA",41.9647222,-79.1311111
"Akerly, PA",41.8905556,-80.4877778
"Akersville, PA",39.9783333,-78.1980556
"Akron, PA",40.1566667,-76.2025000
"Aladdin, PA",40.6916667,-79.6569444
"Alaska, PA",41.1775000,-79.0961111
"Alba, PA",41.7050000,-76.8286111
"Albany, PA",40.6166667,-75.8669444
"Albert, PA",41.1202778,-75.9313889
"Albion, PA",41.8905556,-80.3666667
"Albrightsville, PA",41.0144444,-75.6013889
"Alburtis, PA",40.5108333,-75.6033333
"Alcoa Center, PA",40.5383333,-79.6452778
"Alcola, PA",41.0122222,-79.2891667
"Aldan, PA",39.9213889,-75.2883333
"Alden, PA",41.1819444,-76.0127778
"Aldenville, PA",41.6466667,-75.3641667
"Aldham, PA",40.0905556,-75.5416667
"Aldovin, PA",41.6172222,-75.9386111
"Aleppo, PA",39.8238889,-80.4463889
"Alexander Springs, PA",40.6283333,-77.6744444
"Alexandria, PA",40.5563889,-78.0980556
"Alfarata, PA",40.6625000,-77.4572222
"Alford, PA",41.8066667,-75.7750000
"Alica, PA",40.0080556,-79.9286111
"Alice, PA",40.1641667,-79.4600000
"Alinda, PA",40.3463889,-77.2847222
"Aline, PA",40.6805556,-76.9875000
"Aliquippa, PA",40.6366667,-80.2402778
"Allegheny Acres, PA",40.6152778,-79.8702778
"Allegheny Furnace, PA",40.4897222,-78.4075000
"Allegheny Springs, PA",41.8266667,-79.3041667
"Allegheny West, PA",40.0083333,-75.1783333
"Alleghenyville, PA",40.2341667,-75.9888889
"Allemans, PA",40.7266667,-78.4041667
"Allen, PA",40.1652778,-77.0847222
"Allen Junction, PA",40.6319444,-75.3911111
"Allen Lane, PA",40.0563889,-75.1977778
"Allendale, PA",40.3186111,-78.7255556
"Allenport, PA",40.0980556,-79.8491667
"Allens, PA",41.2419444,-76.9797222
"Allens Crossroads, PA",40.1361111,-79.8430556
"Allens Mills, PA",41.1994444,-78.9077778
"Allensville, PA",40.5358333,-77.8172222
"Allentown, PA",40.6083333,-75.4905556
