name,lat,lon
"Aceitunas, PR",18.4452778,-67.0652778
"Acevedo, PR",18.2638889,-66.9838889
"Adjuntas, PR",18.1647222,-66.7225000
"Aguacate, PR",18.5041667,-67.1061111
"Aguada, PR",18.3813889,-67.1886111
"Aguadilla, PR",18.4294444,-67.1544444
"Aguas Buenas, PR",18.2588889,-66.1033333
"Aguas Claras, PR",18.2547222,-65.6538889
"Aguas Saladas Blancas, PR",18.0330556,-66.4966667
"Aguilita, PR",18.0252778,-66.5350000
"Aibonito, PR",18.1419444,-66.2663889
"Alcantavilla, PR",18.4791667,-66.8536111
"Aldea Cintron, PR",18.2994444,-65.6450000
"Algarrobo, PR",17.9825000,-66.0847222
"Algeria, PR",18.3766667,-66.1977778
"Alianza, PR",18.4536111,-66.8538889
"Allende, PR",18.4038889,-66.6036111
"Almacigo Bajo, PR",18.0566667,-66.8666667
"Altagracia, PR",18.4400000,-66.4777778
"Altamesa, PR",18.3825000,-66.0941667
"Altamira, PR",18.3997222,-66.1044444
"Altavista, PR",18.0141667,-66.5866667
"Amelia, PR",18.4369444,-66.1172222
"Amuelas, PR",18.0341667,-66.5058333
"Anasco, PR",18.2847222,-67.1400000
"Angeles, PR",18.2869444,-66.7997222
"Animas, PR",18.4475000,-66.6352778
"Anton Ruiz, PR",18.1872222,-65.8088889
"Aquilino, PR",18.2577778,-67.1191667
"Arecibo, PR",18.4744444,-66.7161111
"Arenal, PR",17.9780556,-66.3158333
"Arenales, PR",18.4802778,-67.1183333
"Arenas, PR",18.0250000,-66.9086111
"Arroyo, PR",17.9677778,-66.0616667
"Arturo Lluberas, PR",18.0480556,-66.8636111
"Arus, PR",18.0022222,-66.5286111
"Asomante, PR",18.1319444,-66.2786111
"Bairoa, PR",18.2611111,-66.0408333
"Bajadero, PR",18.4286111,-66.6836111
"Bajandas, PR",18.1597222,-65.7819444
"Balboa, PR",18.2047222,-67.1338889
"Baldorioty de Castro, PR",18.0125000,-66.6277778
"Baldrich, PR",18.4133333,-66.0627778
"Ballaja, PR",18.4277778,-66.6272222
"Balneario de Cana Gorda, PR",17.9547222,-66.8830556
"Banos de Coamo, PR",18.0397222,-66.3744444
"Barahona, PR",18.3533333,-66.4458333
"Barceloneta, PR",18.4525000,-66.5388889
"Barinas, PR",18.0155556,-66.8436111
"Barranca, PR",18.4655556,-66.7538889
"Barrancas, PR",18.2255556,-66.3138889
"Barranquitas, PR",18.1886111,-66.3066667
"Barriada Jaime L Drew, PR",18.0347222,-66.6191667
"Barriada Monte Santo, PR",18.1330556,-65.4516667
"Barrio Indios, PR",17.9950000,-66.8130556
"Barrio Nuevo, PR",18.2797222,-66.1936111
"Bartolo, PR",18.3633333,-65.8388889
"Bay View, PR",18.4488889,-66.1352778
"Bayamon, PR",18.1797222,-66.1136111
"Bayamon Gardens, PR",18.3797222,-66.1802778
"Bayamoncito, PR",18.2386111,-66.1705556
"Bayaney, PR",18.3711111,-66.7936111
"Beatriz, PR",18.1597222,-66.0963889
"Belgica, PR",18.0086111,-66.6097222
"Beltran, PR",18.3427778,-65.6336111
"Belvedere, PR",18.0933333,-67.1858333
"Benitez, PR",18.2755556,-65.8794444
"Berio, PR",18.2725000,-66.3444444
"Besosa, PR",17.9750000,-66.2027778
"Betances, PR",18.0305556,-67.1352778
"Beverly Hills, PR",18.3350000,-66.0955556
"Biafara, PR",18.4105556,-66.6622222
"Bizarreta, PR",17.9975000,-66.4575000
"Blasina, PR",18.3772222,-65.8177778
"Boca Chica, PR",17.9863889,-66.5288889
"Boqueron, PR",18.0288889,-67.1694444
"Boquillas, PR",18.4644444,-66.4886111
"Borinquen, PR",18.0266667,-66.6133333
"Borras, PR",18.3563889,-65.6927778
"Botijas, PR",18.2433333,-66.3675000
"Branderi, PR",17.9691667,-66.0891667
"Brenas, PR",18.4691667,-66.3413889
"Bucana, PR",18.0072222,-66.5916667
"Bucarabones, PR",18.3980556,-66.2188889
"Bucare, PR",18.3663889,-66.0875000
"Buen Consejo, PR",18.3966667,-66.0455556
"Buena Vista, PR",18.4305556,-66.6866667
"Buenaventura, PR",18.3766667,-65.9402778
"Buenos Aires, PR",18.4405556,-66.0630556
"Bufalo, PR",18.4202778,-66.5736111
"Buyones, PR",17.9936111,-66.5511111
"Caban, PR",18.4452778,-67.1363889
"Cabo Rojo, PR",18.0886111,-67.1461111
"Cacao, PR",18.1169444,-66.3450000
"Caguas, PR",18.2361111,-66.0488889
"Caguax, PR",18.2391667,-66.0313889
