name,lat,lon
"Airai, PW",7.3575000,134.5577778
"Archongelungel, PW",7.3358333,134.4633333
"Arkamais, PW",7.3483333,134.4766667
"Badrulchau, PW",7.7066667,134.6288889
"Beriber, PW",7.6997222,134.6441667
"Bibiroi, PW",7.3388889,134.5025000
"Btangech Iterchobei, PW",7.4288889,134.4816667
"Btululachang Ra Rrai, PW",7.4313889,134.5933333
"Chelab, PW",7.6333333,134.6375000
"Chol, PW",7.6683333,134.6327778
"Derromel, PW",7.3536111,134.4633333
"Dilong, PW",8.0797222,134.7152778
"Dimes, PW",8.0752778,134.7155556
"Doko, PW",8.0791667,134.7161111
"Echang, PW",7.3436111,134.4488889
"Echol, PW",7.3488889,134.4438889
"Elauesachel, PW",7.4558333,134.5019444
"Elechui, PW",7.4297222,134.4772222
"Ertong, PW",7.5058333,134.6138889
"Idid, PW",7.3413889,134.4811111
"Iebukel, PW",7.6983333,134.6377778
"Ikelau, PW",7.3397222,134.4761111
"Ilebei, PW",7.6622222,134.6297222
"Imelechol, PW",7.0372222,134.2613889
"Imeong, PW",7.5275000,134.5255556
"Imul, PW",7.4180556,134.4950000
"Iungel, PW",7.7211111,134.6097222
"Iyebukel, PW",7.3469444,134.4836111
"Kaemesang, PW",7.4138889,134.4927778
"Kamesang, PW",7.4933333,134.4822222
"Klebeang, PW",7.6358333,134.6355556
"Kloulklubed, PW",7.0394444,134.2525000
"Koror, PW",7.3419444,134.4791667
"Koska, PW",7.0341667,134.2494444
"Lademisang, PW",7.0080556,134.2475000
"Mechang, PW",7.3330556,134.4988889
"Medalaii, PW",7.3391667,134.4675000
"Medorm, PW",7.4547222,134.4777778
"Meketii, PW",7.3427778,134.4786111
"Melekeok, PW",7.4933333,134.6341667
"Mengellang, PW",7.6936111,134.6280556
"Meteolchol, PW",7.7169444,134.6041667
"Meyungs, PW",7.3519444,134.4544444
"Ngaramasch, PW",6.9013889,134.1294444
"Ngaremlengui, PW",7.5200000,134.5013889
"Ngatmel, PW",7.7202778,134.6252778
"Ngchemiangel, PW",7.4438889,134.4733333
"Ngchesar, PW",7.4675000,134.6072222
"Ngchesechang, PW",7.3833333,134.5777778
"Ngebei, PW",7.6969444,134.6352778
"Ngebuked, PW",7.6344444,134.6358333
"Ngeburch, PW",7.5041667,134.6288889
"Ngemerdang, PW",7.6719444,134.6269444
"Ngerbau, PW",7.7002778,134.6386111
"Ngerbeched, PW",7.3333333,134.4722222
"Ngerbodel, PW",7.3463889,134.4900000
"Ngerchebetan, PW",7.6047222,134.6327778
"Ngercheluuk, PW",7.5550000,134.6330556
"Ngerchemai, PW",7.3450000,134.4855556
"Ngerderemang, PW",7.6122222,134.6341667
"Ngerdiol, PW",7.4408333,134.5891667
"Ngerekebesang, PW",7.3511111,134.4436111
"Ngereklmadel, PW",7.4858333,134.4800000
"Ngeremecheluch, PW",7.4891667,134.6352778
"Ngerkeai, PW",7.4186111,134.4933333
"Ngerkeseuaol, PW",7.3416667,134.4872222
"Ngerkesou, PW",7.4619444,134.6013889
"Ngermechau, PW",7.5513889,134.6330556
"Ngermelech, PW",7.4994444,134.6313889
"Ngermeskang, PW",7.5233333,134.5458333
"Ngermid, PW",7.3375000,134.4986111
"Ngerngesang, PW",7.4505556,134.6016667
"Ngerngiil, PW",7.3372222,134.4880556
"Ngersung, PW",7.3536111,134.5347222
"Ngersuul, PW",7.4350000,134.5855556
"Ngerubesang, PW",7.4880556,134.6291667
"Ngeruchob, PW",7.4622222,134.5186111
"Ngeruikl, PW",7.4811111,134.6136111
"Ngeruling, PW",7.5019444,134.6302778
"Ngeruluobel, PW",7.3605556,134.5225000
"Ngerusar, PW",7.3575000,134.5252778
"Ngerutoi, PW",7.6094444,134.5763889
"Ngesang, PW",7.6263889,134.6413889
"Ngetbong, PW",7.6069444,134.5713889
"Ngetkib, PW",7.3619444,134.5122222
"Ngkebeduul, PW",7.5044444,134.5052778
"Ngkeklau, PW",7.5911111,134.6366667
"Nglas, PW",7.6183333,134.5755556
"Ngriil, PW",7.6880556,134.6330556
"Ogiil, PW",7.5705556,134.6322222
"Oikull, PW",7.3655556,134.5836111
"Oketol, PW",7.6858333,134.6233333
"Olkang, PW",8.0761111,134.7161111
"Ollei, PW",7.7172222,134.6122222
"Ongeuidel, PW",7.0436111,134.2594444
"Orukei, PW",8.0822222,134.7150000
"Orull, PW",7.5266667,134.5111111
"Renrak, PW",7.3608333,134.5027778
"Rois, PW",6.9055556,134.1305556
"Rrai, PW",7.4322222,134.5919444
"Tngeronger, PW",7.3411111,134.4744444
"Ucherael, PW",7.6066667,134.5600000
"Ulimang, PW",7.6216667,134.6388889
"Urdmang, PW",7.6111111,134.5786111
"Urrung, PW",7.6416667,134.6258333
"Yelch, PW",7.3572222,134.5430556
