name,lat,lon
"Abbeville, SC",34.1780556,-82.3791667
"Abingdon, SC",34.9922222,-81.4997222
"Abney Crossroads, SC",34.5086111,-80.5141667
"Academy Estates, SC",32.4327778,-80.6352778
"Acapulco, SC",34.0641667,-81.4730556
"Adams Crossing, SC",34.6522222,-82.8663889
"Adams Landing, SC",33.5275000,-80.4383333
"Adams Run, SC",32.7205556,-80.3483333
"Adamsburg, SC",34.7911111,-81.5430556
"Adamsville Crossroads, SC",34.6880556,-79.5958333
"Adger, SC",34.4363889,-81.1258333
"Adrian, SC",33.9466667,-79.0177778
"Aiken, SC",33.5602778,-81.7197222
"Air Base Heights, SC",34.1980556,-79.7402778
"Airlee, SC",34.7480556,-81.2000000
"Alcolu, SC",33.7508333,-80.2144444
"Alcot, SC",34.2505556,-80.1802778
"Alexander Crossroads, SC",34.1969444,-79.9305556
"Allen, SC",33.9211111,-79.0408333
"Allendale, SC",33.0077778,-81.3086111
"Allentown, SC",33.6258333,-79.3505556
"Alligator Lake, SC",34.1252778,-79.8044444
"Allsbrook, SC",34.0200000,-78.9466667
"Almeda, SC",32.8297222,-81.0494444
"Alston, SC",34.2433333,-81.3169444
"Alvin, SC",33.3488889,-79.8163889
"Anderson, SC",34.5033333,-82.6502778
"Andrews, SC",33.4511111,-79.5611111
"Andrews Subdivision, SC",33.4772222,-80.8236111
"Angelus, SC",34.5966667,-80.3200000
"Anglers Haven, SC",34.2250000,-81.9455556
"Anglewood, SC",34.9186111,-81.9938889
"Anne, SC",33.4727778,-79.2538889
"Annieville, SC",33.4805556,-79.1022222
"Ansley Park, SC",33.5319444,-81.6844444
"Antioch, SC",34.2397222,-80.4688889
"Antioch Acres, SC",34.7072222,-80.6547222
"Antreville, SC",34.3038889,-82.5425000
"Anvil Rock, SC",34.5730556,-80.7169444
"Apalache, SC",34.9611111,-82.2122222
"Apple Valley, SC",34.0550000,-81.0983333
"Appleton, SC",33.0433333,-81.3630556
"Ararat, SC",32.9783333,-80.0036111
"Arborville, SC",34.2922222,-82.3475000
"Arcadia, SC",34.9580556,-81.9908333
"Arcadia Heights, SC",34.9561111,-82.0000000
"Arcadia Lakes, SC",34.0536111,-80.9613889
"Arcadian Shores, SC",33.7736111,-78.7755556
"Archdale, SC",32.9000000,-80.0966667
"Ard Crossroads, SC",33.7836111,-79.4366667
"Argyle, SC",34.4888889,-79.6825000
"Arial, SC",34.8458333,-82.6416667
"Ariel Cross Road, SC",34.0761111,-79.3030556
"Arkwright, SC",34.9238889,-81.9330556
"Arlington Estates, SC",34.1211111,-81.0469444
"Armenia, SC",34.7683333,-81.2930556
"Arrowood, SC",35.0680556,-81.6258333
"Arrowood Estates, SC",34.7597222,-80.7930556
"Arrowwood, SC",35.1672222,-81.8847222
"Arthur, SC",33.9716667,-81.1377778
"Arthurtown, SC",33.9613889,-81.0002778
"Asbury, SC",34.9263889,-81.6311111
"Ascaga Heights, SC",33.5625000,-81.8972222
"Ashborough, SC",32.9600000,-80.1877778
"Ashborough East, SC",32.9602778,-80.1800000
"Ashdale, SC",32.4480556,-80.6194444
"Ashepoo, SC",32.7400000,-80.5505556
"Ashepoo Crossing, SC",32.7575000,-80.6191667
"Ashepoo Siding, SC",32.6366667,-80.5008333
"Asheton, SC",34.8250000,-82.2541667
"Ashland, SC",34.3397222,-80.1983333
"Ashleigh, SC",33.3008333,-81.3177778
"Ashley, SC",34.9055556,-82.0013889
"Ashley Creek Village, SC",33.8813889,-80.3836111
"Ashley Downs, SC",34.5772222,-82.6550000
"Ashley Forest, SC",32.7844444,-79.9877778
"Ashley Harbor, SC",32.8236111,-80.0250000
"Ashley Heights, SC",32.9325000,-80.0544444
"Ashley Junction, SC",32.8688889,-79.9958333
"Ashley Retreat, SC",32.9661111,-80.2452778
"Ashleyville, SC",32.7930556,-79.9847222
"Ashton, SC",33.0158333,-80.9708333
"Ashwood, SC",34.1088889,-80.3166667
"Ashwood Estates, SC",34.1277778,-79.7744444
"Aspen Heights, SC",34.2150000,-82.1138889
"Athelone Heights, SC",34.7819444,-82.3952778
"Atkins, SC",34.0377778,-80.1155556
"Atlantic Beach, SC",33.8025000,-78.7166667
"Attaway, SC",32.4675000,-80.6302778
"Auburn, SC",34.3752778,-79.9761111
"Audubon Homes, SC",33.5200000,-81.9347222
"Audubon Park, SC",33.9269444,-80.3838889
"Augusta Acres, SC",34.7811111,-82.3630556
"Augusta Fields, SC",34.1430556,-82.1377778
"Augusta View Heights, SC",33.5066667,-81.9200000
"Austin Acres, SC",33.9097222,-80.4241667
"Autumn Oaks, SC",34.5433333,-82.6252778
"Avenue of Oaks, SC",32.9638889,-80.1475000
"Averill, SC",33.0741667,-81.5136111
"Avondale, SC",32.7880556,-79.9900000
"Awendaw, SC",33.0375000,-79.6133333
"Aynor, SC",33.9997222,-79.1997222
"Azalea Trailer Park, SC",33.9688889,-80.3905556
"Bachman Chapel, SC",34.2519444,-81.5077778
"Back Swamp, SC",34.2736111,-79.7261111
"Badham, SC",33.1955556,-80.6113889
"Baggette Crossroads, SC",33.6266667,-80.1375000
"Baileys Landing, SC",32.3458333,-80.8875000
"Baker Crossroads, SC",33.9936111,-79.0566667
"Baker Hill, SC",32.3730556,-81.1213889
"Baker Place, SC",34.7077778,-80.6975000
"Baldock, SC",33.0791667,-81.4236111
"Baldwin, SC",34.3811111,-82.1466667
"Ballentine, SC",34.1241667,-81.2375000
"Ballentine Landing, SC",34.1122222,-81.2450000
"Balltown, SC",33.5913889,-81.7247222
"Bamberg, SC",33.2969444,-81.0350000
"Bannockburn, SC",34.1344444,-79.7591667
"Baptist Hill, SC",32.7330556,-80.2688889
"Barberville, SC",35.0325000,-80.8763889
"Barclay Estates, SC",33.5561111,-81.9216667
"Barclay Park, SC",33.5297222,-81.6836111
"Barefoot, SC",33.7033333,-81.4775000
"Barfield Mill, SC",34.4838889,-80.5300000
"Barkerville, SC",32.7055556,-80.9369444
"Barksdale, SC",34.5694444,-82.0875000
"Barnes Station, SC",34.2591667,-82.6808333
"Barney Ridge, SC",32.9694444,-80.1944444
"Barnhill, SC",33.7022222,-79.3758333
"Barnwell, SC",33.2447222,-81.3588889
"Baronywood, SC",34.0519444,-81.0519444
"Barr Crossing, SC",33.9394444,-81.2930556
"Barrell Landing, SC",32.2950000,-80.9308333
"Barrelville, SC",32.6861111,-80.3511111
"Barrineau Crossroads, SC",33.8719444,-79.9091667
"Bartell Crossroads, SC",33.7591667,-79.5786111
"Barton, SC",32.9222222,-81.2866667
