name,lat,lon
"A Sherton, TX",28.4416667,-99.7600000
"Abbott, TX",31.8847222,-97.0730556
"Abell, TX",35.3933333,-101.4583333
"Abell City, TX",31.2500000,-102.6583333
"Abercrombie, TX",29.0319444,-95.7530556
"Aberdeen, TX",35.0377778,-100.1488889
"Aberfoyle, TX",33.3050000,-96.0250000
"Abernathy, TX",33.8322222,-101.8425000
"Abilene, TX",32.4486111,-99.7327778
"Abington, TX",34.5444444,-100.2069444
"Abner, TX",32.6277778,-96.1913889
"Abram, TX",26.1994444,-98.4108333
"Abshier Settlement, TX",29.9152778,-94.6236111
"Academy, TX",30.9808333,-97.3413889
"Acala, TX",31.3338889,-105.9138889
"Acampo, TX",32.7127778,-99.4433333
"Ace, TX",30.5361111,-94.8241667
"Ackerly, TX",32.5263889,-101.7155556
"Acton, TX",32.4466667,-97.6900000
"Acuff, TX",33.5950000,-101.6197222
"Acworth, TX",33.7741667,-94.9494444
"Adair, TX",32.9627778,-102.2541667
"Adams, TX",33.7047222,-95.4877778
"Adamsville, TX",31.3011111,-98.1686111
"Addicks, TX",29.7822222,-95.6422222
"Addielou, TX",33.8147222,-95.2163889
"Addison, TX",32.9616667,-96.8288889
"Addran, TX",33.2941667,-95.6027778
"Adel, TX",29.3494444,-97.1727778
"Adell, TX",32.8844444,-97.9219444
"Adina, TX",30.4213889,-97.1722222
"Adkins, TX",29.3927778,-98.2369444
"Admiral, TX",32.2963889,-99.2975000
"Adobe Crossing, TX",31.0527778,-102.3069444
"Adrian, TX",35.2747222,-102.6647222
"Adsul, TX",30.6427778,-93.8427778
"Advance, TX",32.9411111,-97.9269444
"Ady, TX",35.4855556,-102.1319444
"Aero Vista, TX",31.8241667,-106.3880556
"Afton, TX",33.7627778,-100.8163889
"Agnes, TX",32.9791667,-97.7883333
"Agua Dulce, TX",27.7813889,-97.9083333
"Agua Nueva, TX",26.9013889,-98.6000000
"Aguilares, TX",27.4483333,-99.0869444
"Aiken, TX",34.1422222,-101.5252778
"Aikin Grove, TX",33.5555556,-95.0483333
"Ainsworth, TX",30.3138889,-95.0305556
"Airport City, TX",29.5327778,-98.3011111
"Airport Road Addition, TX",27.2197222,-98.0991667
"Airville, TX",31.0769444,-97.1633333
"Alamo, TX",26.1833333,-98.1227778
"Alamo Alto, TX",31.4050000,-106.0233333
"Alamo Heights, TX",29.4847222,-98.4655556
"Alamo Village, TX",29.4277778,-100.3947222
"Alanreed, TX",35.2125000,-100.7338889
"Alazan, TX",31.5830556,-94.7858333
"Alba, TX",32.7927778,-95.6341667
"Albany, TX",32.7233333,-99.2969444
"Albert, TX",30.1936111,-98.6013889
"Albion, TX",33.8588889,-95.0305556
"Alco, TX",31.3519444,-94.5702778
"Alcoa, TX",30.5641667,-97.0663889
"Alderbranch, TX",31.6886111,-95.4577778
"Aldine, TX",29.9322222,-95.3800000
"Aledo, TX",32.6958333,-97.6019444
"Alejandrenas, TX",26.7769444,-99.1400000
"Aleman, TX",31.6322222,-98.0419444
"Alexander, TX",32.0588889,-98.2058333
"Alfalfa, TX",31.7552778,-106.3811111
"Alfred, TX",27.8802778,-97.9844444
"Algerita, TX",31.2277778,-98.8527778
"Algoa, TX",29.4022222,-95.1691667
"Alice, TX",27.7519444,-98.0694444
"Alice Acres, TX",27.7283333,-98.1144444
"Alief, TX",29.7108333,-95.5961111
"Allamoore, TX",31.0780556,-105.0030556
"Allen, TX",33.1030556,-96.6702778
"Allen Chapel, TX",31.3722222,-95.1502778
"Allen Point, TX",33.6447222,-95.9075000
"Allendale, TX",29.6938889,-95.2461111
"Allenfarm, TX",30.3991667,-96.2436111
"Allenhurst, TX",29.0091667,-95.8444444
"Alleyton, TX",29.7063889,-96.4861111
"Allison, TX",35.6058333,-100.1002778
"Allmon, TX",33.8813889,-101.5127778
"Allred, TX",32.9861111,-102.8875000
"Alma, TX",32.2852778,-96.5458333
"Almeda, TX",29.6038889,-95.4169444
"Almeda Plaza, TX",29.6341667,-95.4183333
"Almira, TX",33.1000000,-94.4452778
"Aloe, TX",28.7663889,-97.0758333
"Alpine, TX",30.3583333,-103.6605556
"Alsa, TX",32.8183333,-96.0336111
"Alsdorf, TX",32.4050000,-96.5355556
"Altair, TX",29.5711111,-96.4538889
"Alto, TX",31.6502778,-95.0725000
"Alto Bonito, TX",26.3072222,-98.6400000
"Alto Colorado, TX",27.1563889,-98.1266667
"Alto Springs, TX",31.2858333,-96.6702778
"Altoga, TX",33.2497222,-96.4891667
"Alton, TX",26.2869444,-98.3130556
"Alton North, TX",26.2950000,-98.3041667
"Altuda, TX",30.3019444,-103.4575000
"Alum, TX",29.2950000,-97.9644444
"Alum Creek, TX",30.0675000,-97.2172222
"Alvarado, TX",32.4063889,-97.2113889
"Alvery Junction, TX",31.4813889,-100.4169444
"Alvin, TX",29.4236111,-95.2438889
"Alvord, TX",33.3583333,-97.6944444
"Amanda, TX",29.3716667,-100.6575000
"Amarillo, TX",35.2219444,-101.8308333
"Ambia, TX",33.5927778,-95.6588889
"Ambrose, TX",33.6905556,-96.3850000
"Amelia, TX",30.0697222,-94.1908333
"Ames, TX",30.0536111,-94.7433333
"Amherst, TX",34.0102778,-102.4150000
"Amistad Acres, TX",29.5150000,-101.1669444
"Amistad Village, TX",29.4611111,-101.0286111
"Amity, TX",32.0591667,-98.8833333
"Ammannsville, TX",29.7888889,-96.8583333
"Ammans Crossing, TX",29.8947222,-98.6708333
"Amphion, TX",28.9983333,-98.6352778
"Anacacho, TX",29.1908333,-100.3002778
"Anadarko, TX",31.9280556,-94.8761111
"Anahuac, TX",29.7727778,-94.6825000
"Anarene, TX",33.4850000,-98.6658333
"Anchorage, TX",29.0672222,-98.7055556
"Ander, TX",28.8575000,-97.3419444
"Anderson, TX",30.4869444,-95.9866667
"Anderson Mill, TX",30.4547222,-97.8055556
"Anderson Ways, TX",29.2605556,-94.9061111
"Andice, TX",30.7819444,-97.8519444
"Andrews, TX",32.3186111,-102.5452778
"Angel City, TX",28.7163889,-97.5408333
"Angeles, TX",31.9013889,-103.9619444
"Angler, TX",32.5938889,-95.2533333
"Angleton, TX",29.1691667,-95.4316667
"Angus, TX",32.0061111,-96.4327778
"Anhalt, TX",29.7938889,-98.4752778
"Anna, TX",33.3488889,-96.5483333
"Annaville, TX",27.8383333,-97.5827778
"Annetta, TX",32.7091667,-97.6758333
"Annetta North, TX",32.7191667,-97.6755556
"Annetta South, TX",32.6680556,-97.6602778
"Annona, TX",33.5805556,-94.9152778
"Ansley Place, TX",30.2433333,-103.1380556
"Anson, TX",32.7563889,-99.8958333
"Antelope, TX",33.4416667,-98.3694444
"Antelope Crossing, TX",31.2466667,-97.8716667
"Anthony, TX",31.9991667,-106.6050000
"Anthony Harbor, TX",31.2652778,-94.1230556
"Antioch, TX",31.8541667,-94.0769444
"Anton, TX",33.8111111,-102.1633333
"Apolonia, TX",30.4930556,-95.9097222
"Appelt Hill, TX",29.5180556,-96.9086111
"Apple Springs, TX",31.2233333,-94.9661111
"Appleby, TX",31.7161111,-94.6047222
"Aquilla, TX",31.8513889,-97.2177778
"Arah, TX",32.7580556,-101.1347222
"Aransas Pass, TX",27.9091667,-97.1497222
"Arbala, TX",32.9875000,-95.6530556
"Arbor, TX",31.2941667,-95.2944444
"Arcade, TX",31.8027778,-102.4455556
"Arcadia, TX",29.3830556,-95.1200000
"Arcadia Park, TX",32.7494444,-96.9102778
"Archer City, TX",33.5955556,-98.6252778
