"name","lat","lon"
"San Bernardino, CA",34.12,-117.3
"Bridgeport, CT",41.18,-73.2
"Rochester, NY",43.17,-77.62
"International Falls, MN",48.6,-93.41
"Minneapolis, MN",44.98,-93.25
"St. Paul, MN",44.94,-93.08
"Billings, MT",45.79,-108.54
"Great Falls, MT",47.5,-111.3
"Missoula, MT",46.87,-113.99
"Helena, MT",46.59,-112.04
"Minot, ND",48.23,-101.3
"Fargo, ND",46.88,-96.79
"Bismarck, ND",46.81,-100.78
"Honolulu, HI",21.31,-157.86
"Hilo, HI",19.7,-155.09
"Boise, ID",43.61,-116.23
"Olympia, WA",47.04,-122.9
"Spokane, WA",47.67,-117.42
"Seattle, WA",47.57,-122.34
"Vancouver, WA",45.63,-122.64
"Flagstaff, AZ",35.2,-111.65
"Tucson, AZ",32.2,-110.89
"Phoenix, AZ",33.54,-112.07
"Santa Barbara, CA",34.43,-119.72
"Fresno, CA",36.75,-119.77
"San Diego, CA",32.82,-117.18
"Eureka, CA",40.8,-124.15
"San Jose, CA",37.3,-121.85
"San Francisco, CA",37.74,-122.46
"Los Angeles, CA",33.99,-118.18
"Sacramento, CA",38.58,-121.47
"Colorado Springs, CO",38.86,-104.79
"Denver, CO",39.74,-104.98
"Reno, NV",39.53,-119.82
"Las Vegas, NV",36.21,-115.22
"Elko, NV",40.83,-115.76
"Albuquerque, NM",35.1,-106.64
"Santa Fe, NM",35.69,-105.94
"Salem, OR",44.93,-123.02
"Portland, OR",45.52,-122.68
"Salt Lake City, UT",40.78,-111.93
"Casper, WY",42.87,-106.31
"Cheyenne, WY",41.14,-104.82
"Des Moines, IA",41.58,-93.62
"Topeka, KS",39.05,-95.67
"St. Louis, MO",38.64,-90.24
"Kansas City, MO",39.11,-94.6
"Omaha, NE",41.24,-96.01
"Tulsa, OK",36.12,-95.93
"Oklahoma City, OK",35.47,-97.52
"Sioux Falls, SD",43.55,-96.73
"Pierre, SD",44.37,-100.35
"Shreveport, LA",32.5,-93.77
"Baton Rouge, LA",30.46,-91.14
"New Orleans, LA",30,-90.04
"Ft. Worth, TX",32.74,-97.34
"Corpus Christi, TX",27.74,-97.4
"Austin, TX",30.27,-97.74
"Amarillo, TX",35.23,-101.83
"El Paso, TX",31.78,-106.51
"Laredo, TX",27.51,-99.51
"Dallas, TX",32.82,-96.84
"Houston, TX",29.82,-95.34
"San Antonio, TX",29.49,-98.51
"Boston, MA",42.33,-71.07
"Burlington, VT",44.48,-73.21
"Montgomery, AL",32.36,-86.28
"Tallahassee, FL",30.45,-84.28
"Orlando, FL",28.51,-81.38
"Jacksonville, FL",30.33,-81.67
"Tampa, FL",27.95,-82.46
"Miami, FL",25.79,-80.22
"Savannah, GA",32.02,-81.11
"Atlanta, GA",33.83,-84.4
"Jackson, MS",32.3,-90.18
"Columbia, SC",34.04,-80.9
"Chicago, IL",41.83,-87.75
"Indianapolis, ID",39.75,-86.17
"Wilmington, NC",34.23,-77.95
"Raleigh, NC",35.82,-78.64
"Cleveland, OH",41.47,-81.69
"Cincinnati, OH",39.16,-84.46
"Knoxville, TN",35.97,-83.92
"Nashville, TN",36.17,-86.78
"Memphis, TN",35.12,-90
"Richmond, VA",37.55,-77.45
"Norfolk, VA",36.85,-76.28
"Milwaukee, WI",43.05,-87.92
"Charleston, WV",38.35,-81.63
"Washington, DC",38.9,-77.01
"Baltimore, MD",39.3,-76.62
"Syracuse, NY",43.05,-76.15
"New York, NY",40.75,-73.98
"Buffalo, NY",42.88,-78.88
"Philadelphia, PA",40,-75.17
"Pittsburgh, PA",40.43,-80
"Augusta, ME",44.31,-69.78
"Sault Ste. Marie, MI",46.5,-84.35
"Detroit, MI",42.33,-83.08
"Sitka, AK",57.06,-135.33
"Kodiak, AK",57.79,-152.41
"Cold Bay, AK",55.2,-162.72
"Bethel, AK",60.79,-161.76
"Point Hope, AK",68.35,-166.81
"Barrow, AK",71.29,-156.79
"Nome, AK",64.51,-165.41
"Valdez, AK",61.14,-146.35
"Juneau, AK",58.31,-134.42
"Fairbanks, AK",64.84,-147.71
"Anchorage, AK",61.22,-149.9
"Prudhoe Bay, AK",70.29,-148.67
