name,lat,lon
"214 North Temple Condominium, UT",40.7719444,-111.9002778
"Abraham, UT",39.3966667,-112.7172222
"Adams Park, UT",40.6355556,-111.8555556
"Adamsville, UT",38.2583333,-112.7930556
"Adventure Condominium, UT",40.6091667,-111.7950000
"Agate, UT",39.0150000,-109.2430556
"Aix La Chapelle Condominium, UT",40.6666667,-111.8250000
"Akron, UT",40.6308333,-111.8544444
"Albertsons Center, UT",41.2300000,-111.9452778
"Albion Alps, UT",40.5805556,-111.6177778
"Albion Basin, UT",40.5805556,-111.6177778
"Alegre Vista, UT",40.5944444,-111.8741667
"Alpine, UT",40.4533333,-111.7772222
"Alpine Ranchettes, UT",41.2091667,-112.0472222
"Alpine Ranchettes Two, UT",41.2058333,-112.0472222
"Alta, UT",40.5888889,-111.6372222
"Alta Hills, UT",40.5930556,-111.8011111
"Alta Vista Subdivision Number 1, UT",40.5666667,-111.8166667
"Altamont, UT",40.3594444,-110.2855556
"Altawood, UT",40.5811111,-111.8027778
"Altawood Subdivision Number 3, UT",40.5791667,-111.8041667
"Alton, UT",37.4377778,-112.4819444
"Altonah, UT",40.4013889,-110.2930556
"Altus, UT",40.7525000,-111.6175000
"Alunite, UT",38.3791667,-112.2458333
"Amalga, UT",41.8611111,-111.8950000
"Amber Way Condominium, UT",41.1750000,-111.9750000
"American Fork, UT",40.3769444,-111.7950000
"American Plaza Condominium, UT",40.7663889,-111.8916667
"American Towers Condominium, UT",40.7655556,-111.8916667
"Anchorage, UT",41.0880556,-112.0233333
"Anderson Junction, UT",37.2841667,-113.3047222
"Anderson West Acres, UT",41.2144444,-112.0750000
"Andlor, UT",40.6633333,-111.8147222
"Aneth, UT",37.2161111,-109.1863889
"Angel Street, UT",40.6022222,-111.8827778
"Angels Grove, UT",40.5213889,-112.2602778
"Angie Circle Condominium, UT",40.6522222,-111.8725000
"Angle, UT",38.2491667,-111.9758333
"Angle View, UT",40.6377778,-111.9444444
"Annabella, UT",38.7091667,-112.0591667
