name,lat,lon
"A Country Place, VA",38.9550000,-77.2763889
"Aarons Creek, VA",36.6611111,-78.7222222
"Abbott, VA",37.4291667,-80.1397222
"Abbs Valley, VA",37.2438889,-81.4525000
"Aberdeen Gardens, VA",37.0322222,-76.3988889
"Abert, VA",37.4980556,-79.2258333
"Abilene, VA",37.1413889,-78.5444444
"Abingdon, VA",36.7097222,-81.9775000
"Academy Park, VA",36.8055556,-76.3511111
"Acca, VA",37.5783333,-77.4702778
"Accomac, VA",37.7194444,-75.6658333
"Accotink, VA",38.7083333,-77.1597222
"Accotink Heights, VA",38.8352778,-77.2130556
"Achash, VA",38.3319444,-78.1655556
"Achilles, VA",37.2800000,-76.4405556
"Acodale, VA",38.2150000,-77.2444444
"Acorn, VA",36.9661111,-78.9827778
"Acorn Acres, VA",36.7683333,-76.6750000
"Acors Corner, VA",38.0900000,-77.3263889
"Acredale, VA",36.7969444,-76.1747222
"Acree Acres, VA",37.1755556,-76.4688889
"Ada, VA",38.8369444,-77.9186111
"Adam Acres, VA",37.2144444,-80.0219444
"Adams Grove, VA",36.6930556,-77.3855556
"Addington, VA",36.9766667,-82.6213889
"Addison, VA",37.1975000,-77.5027778
"Addison Heights, VA",38.8555556,-77.0605556
"Aden, VA",38.6550000,-77.5375000
"Adial, VA",37.8647222,-78.8305556
"Adner, VA",37.4986111,-76.6336111
"Adria, VA",37.1686111,-81.5461111
"Adsit, VA",36.8272222,-77.6983333
"Advance Mills, VA",38.1830556,-78.4388889
"Advance Mills Village, VA",38.1972222,-78.4250000
"Adwolf, VA",36.7891667,-81.5822222
"Afredton, VA",37.1305556,-81.7833333
"Afton, VA",38.0322222,-78.8394444
"Agnewville, VA",38.6691667,-77.2861111
"Agricola, VA",37.5311111,-79.2441667
"Ahoy Acres, VA",36.8008333,-76.3975000
"Ahoy Shores, VA",36.7986111,-76.3897222
"Aiken Summit, VA",36.5950000,-79.7050000
"Aily, VA",37.0869444,-82.2855556
"Airlee Court, VA",37.3183333,-79.9541667
"Airlie, VA",38.7569444,-77.7919444
"Airmont, VA",39.0847222,-77.7872222
"Airpoint, VA",37.1711111,-80.1144444
"Airport Acres, VA",38.1369444,-78.4355556
"Airview Court, VA",37.2486111,-80.0258333
"Ajax, VA",36.9808333,-79.5772222
"Alanthus, VA",38.5419444,-77.9330556
"Alantic City, VA",36.8566667,-76.3022222
"Alanton, VA",36.8825000,-76.0222222
"Albano, VA",38.2072222,-78.3044444
"Alberene, VA",37.8863889,-78.6166667
"Alberta, VA",36.8655556,-77.8866667
"Albin, VA",39.2216667,-78.1988889
"Alchie, VA",36.8922222,-79.0166667
"Alcoma, VA",37.5486111,-78.5925000
"Alcova Heights, VA",38.8644444,-77.0975000
"Alden, VA",38.2741667,-77.0722222
"Aldie, VA",38.9755556,-77.6416667
"Aldwyck, VA",37.7388889,-77.8800000
"Alexander Corner, VA",36.8150000,-76.3566667
"Alexanders Corner, VA",37.5866667,-77.2233333
"Alexandria, VA",38.8047222,-77.0472222
"Alfonso, VA",37.8086111,-76.5083333
"Algoma, VA",37.0558333,-80.0875000
"Algoma Park, VA",37.2208333,-79.9944444
"Algonquin Hills, VA",38.6863889,-77.4272222
"Algonquin Park, VA",36.9086111,-76.2930556
"Algren, VA",36.7747222,-76.4466667
"Alhambra, VA",37.7866667,-79.0900000
"Alleghany, VA",37.7472222,-80.2405556
"Alleghany Springs, VA",37.1280556,-80.2652778
"Allen Shop Corner, VA",37.7055556,-76.8450000
"Allencrest, VA",38.8933333,-77.1505556
"Allens Creek, VA",37.5466667,-78.8688889
"Allens Mill, VA",37.2802778,-78.5525000
"Allenslevel, VA",37.5616667,-78.4897222
"Allentown, VA",37.6955556,-75.6894444
"Alliance, VA",37.1380556,-76.7838889
"Allison, VA",36.9305556,-80.8363889
"Allison Gap, VA",36.8941667,-81.7769444
"Allisonia, VA",36.9391667,-80.7363889
"Allmondsville, VA",37.3933333,-76.6511111
"Allnut, VA",38.3080556,-77.1061111
"Allwood, VA",37.6494444,-79.2211111
"Alma, VA",38.5911111,-78.5577778
"Almagro, VA",36.5705556,-79.3886111
"Almira, VA",37.1419444,-82.6222222
"Alonzaville, VA",38.9286111,-78.5466667
"Alpha, VA",37.5827778,-78.4175000
"Alpine, VA",38.6705556,-78.6350000
"Alpine Hills, VA",37.3455556,-79.9680556
"Alsop, VA",38.2069444,-77.6497222
"Alta View, VA",37.2783333,-80.0780556
"Altavista, VA",37.1116667,-79.2858333
"Alto, VA",37.7719444,-79.2280556
"Alton, VA",36.5730556,-79.0030556
"Alum Springs, VA",37.1597222,-80.8047222
"Alum Wells, VA",36.7577778,-82.1836111
"Alvarado, VA",36.6505556,-81.8869444
"Alwington, VA",38.7044444,-77.7880556
"Ambar, VA",38.3250000,-77.1783333
"Amber Lake, VA",37.6622222,-77.7736111
"Amburg, VA",37.5536111,-76.3586111
"Amelia Court House, VA",37.3427778,-77.9808333
"Ames Cove, VA",36.8611111,-76.4897222
"Amherst, VA",37.5850000,-79.0516667
"Amicus, VA",38.2555556,-78.4802778
"Amissville, VA",38.6713889,-77.9958333
"Ammon, VA",37.2111111,-77.7683333
"Amonate, VA",37.1908333,-81.6388889
"Ampt Hill, VA",37.4516667,-77.4450000
"Amsterdam, VA",37.4272222,-79.9063889
"Anden at The Woods, VA",38.5855556,-77.3105556
"Andersons Corner, VA",37.4211111,-76.8244444
"Andersons Mill, VA",36.8819444,-79.5394444
"Andersonville, VA",37.4672222,-78.5691667
"Andover, VA",36.9236111,-82.7966667
"Andrew Lewis, VA",37.2825000,-80.1255556
"Angelico, VA",36.7169444,-77.2369444
"Angelo, VA",37.5438889,-79.0744444
"Angola, VA",37.4013889,-78.2402778
"Ankum, VA",36.6033333,-77.8811111
"Ann Wrights Corner, VA",38.0900000,-77.5263889
"Annalee Heights, VA",38.8597222,-77.1808333
"Annandale, VA",38.8302778,-77.1966667
"Annandale Acres, VA",38.8186111,-77.1933333
"Annandale Terrace, VA",38.8238889,-77.2069444
"Annex, VA",38.1611111,-78.9858333
"Ante, VA",36.6647222,-77.7194444
"Antioch, VA",37.8463889,-78.4208333
"Antioch Fork, VA",38.0175000,-77.3380556
"Antlers, VA",36.6705556,-78.3205556
"Antrim, VA",38.8936111,-77.1941667
"Appalachia, VA",36.9066667,-82.7819444
"Appersons Store, VA",37.6358333,-77.1747222
"Apple Grove, VA",37.8927778,-77.8972222
"Apple Mountain Lake, VA",38.9241667,-78.1016667
"Apple Mountain Lake West, VA",38.9344444,-78.1197222
"Apple Tree Village, VA",37.3555556,-79.8980556
"Applewood, VA",37.3269444,-79.8777778
"Appomattox, VA",37.3569444,-78.8255556
"Aquia, VA",38.4822222,-77.3869444
"Aquia Harbour, VA",38.4625000,-77.3891667
"Aragona Village, VA",36.8488889,-76.1494444
"Ararat, VA",36.5988889,-80.5108333
"Arbor Hill, VA",38.0997222,-79.1527778
"Arbor Meadows, VA",36.8738889,-76.4600000
"Arbor Park, VA",38.1222222,-78.5088889
"Arbuckle Landing, VA",36.5927778,-76.3850000
"Arcadia, VA",37.5452778,-79.6241667
"Arcadia Farm, VA",39.1313889,-77.9141667
"Archer Bluff, VA",37.2605556,-77.3825000
"Arco, VA",38.8600000,-78.1750000
"Arcola, VA",38.9516667,-77.5344444
"Arcturus, VA",38.7386111,-77.0450000
"Ardmore, VA",38.8441667,-77.3152778
"Ardwood, VA",38.1122222,-78.4888889
"Areanum, VA",37.4475000,-78.5100000
"Argyle Heights, VA",38.2869444,-77.4325000
"Ark, VA",37.4383333,-76.5761111
