name,lat,lon
"Adelphi, VI",18.3502778,-64.9838889
"Adrian, VI",18.3433333,-64.7688889
"Allandale, VI",17.7300000,-64.8405556
"Altona, VI",17.7466667,-64.6944444
"Anguilla, VI",17.7086111,-64.7802778
"Annaberg, VI",17.7136111,-64.7747222
"Annaly, VI",17.7516667,-64.8547222
"Annas Hope, VI",17.7302778,-64.7291667
"Barrett, VI",18.3672222,-64.9463889
"Beck Grove, VI",17.7272222,-64.8505556
"Beeston Hill, VI",17.7386111,-64.7227778
"Bellevue, VI",17.7497222,-64.7338889
"Belvedere, VI",17.7783333,-64.7991667
"Benner, VI",18.3241667,-64.8622222
"Bethany, VI",18.3330556,-64.7833333
"Bethlehem Old Work, VI",17.7333333,-64.7941667
"Bettys Hope, VI",17.6941667,-64.8169444
"Betzys Jewell, VI",17.7613889,-64.7961111
"Blessing, VI",17.7158333,-64.7650000
"Bodkin, VI",17.7533333,-64.8419444
"Bonne Esperance, VI",17.7452778,-64.7697222
"Bordeaux, VI",18.3372222,-64.7213889
"Bugbyhole, VI",17.7277778,-64.7044444
"Bulows Minde, VI",17.7422222,-64.7286111
"Butler Bay, VI",17.7505556,-64.8919444
"Butzberg, VI",17.7486111,-64.6777778
"Cabritaberg, VI",18.3350000,-64.9713889
"Calabash Boom, VI",18.3297222,-64.7036111
"Camporico, VI",17.6955556,-64.8688889
"Canaan, VI",17.7622222,-64.7969444
"Cane, VI",17.7069444,-64.8458333
"Cane Valley, VI",17.7213889,-64.8469444
"Canebay, VI",17.7736111,-64.8105556
"Carden, VI",17.7608333,-64.6411111
"Caret Bay Estate, VI",18.3658333,-64.9763889
"Carlton, VI",17.7047222,-64.8502778
"Carolina, VI",18.3491667,-64.7219444
"Castle Coakley, VI",17.7252778,-64.7458333
"Catharinas Hope, VI",17.7500000,-64.6166667
"Cathrines Rest, VI",17.7244444,-64.7158333
"Charlotte Amalie, VI",18.3438889,-64.9311111
"Christiansted, VI",17.7486111,-64.7036111
"Clairmont, VI",17.7772222,-64.7800000
"Clifton Hill, VI",17.7277778,-64.7755556
"Coble, VI",17.7422222,-64.8072222
"Concordia, VI",17.6880556,-64.8738889
"Contant, VI",18.3275000,-64.7927778
"Contentment, VI",17.7380556,-64.7133333
"Cooper, VI",17.6966667,-64.8102778
"Coral Bay, VI",18.3500000,-64.7136111
"Cotton Grove, VI",17.7341667,-64.6369444
"Cotton Valley, VI",17.7525000,-64.6202778
"Cowell Battery, VI",18.3277778,-64.9330556
"Cruz Bay, VI",18.3333333,-64.7941667
"Diamond, VI",17.7052778,-64.8258333
"Diamond Keturah, VI",17.7066667,-64.7141667
"Donoe, VI",18.3386111,-64.8980556
"Dorothea, VI",18.3605556,-64.9622222
"East End, VI",18.3416667,-64.6750000
"Emmaus, VI",18.3500000,-64.7183333
"Enighed, VI",18.3302778,-64.7919444
"Ensomned, VI",18.3700000,-64.9527778
"Envy, VI",17.7013889,-64.8033333
"Estate Thomas, VI",18.3416667,-64.9113889
"Fareham, VI",17.7175000,-64.6708333
"Fish Bay, VI",18.3241667,-64.7666667
"Fort Christian, VI",18.3427778,-64.9300000
"Fort Frederick, VI",17.7172222,-64.8833333
"Fountain, VI",17.7519444,-64.8280556
"Fredensborg, VI",17.7369444,-64.7819444
"Fredensdal, VI",17.7419444,-64.7125000
"Frederiks Haab, VI",17.7147222,-64.8638889
"Frederiksted, VI",17.7144444,-64.8819444
"Fredriksdal, VI",18.3616667,-64.7366667
"Frenchtown, VI",18.3402778,-64.9425000
"Friedensfeld, VI",17.7480556,-64.7808333
"Frydendal, VI",18.3477778,-64.8727778
"Glynn, VI",17.7502778,-64.7750000
"Golden Grove, VI",17.7175000,-64.8013889
"Good Hope, VI",17.6955556,-64.8488889
"Granard, VI",17.7150000,-64.7161111
"Grange, VI",17.7330556,-64.7219444
"Great Pond, VI",17.7263889,-64.6491667
"Green Kay, VI",17.7605556,-64.6544444
"Grove Place, VI",17.7275000,-64.8230556
"Hams Bay, VI",17.7675000,-64.8811111
"Hard Labour, VI",17.7430556,-64.8269444
"Hermitage, VI",17.7513889,-64.8050000
"Hesselberg, VI",17.6994444,-64.8802778
"Hoffman, VI",18.3355556,-64.8952778
"Hogensborg, VI",17.7113889,-64.8472222
"Hope, VI",17.7166667,-64.7583333
"Humbug, VI",17.7141667,-64.7311111
"Jealousy, VI",17.7375000,-64.8041667
"Jerusalem and Figtree Hill, VI",17.7144444,-64.7508333
"John Oley, VI",18.3616667,-64.9975000
"Johns Folly, VI",18.3213889,-64.7038889
"Jolly Hill, VI",17.7341667,-64.8616667
"Kingshill, VI",17.7250000,-64.7833333
"Knight, VI",17.7572222,-64.5944444
"L'Esperance, VI",18.3422222,-64.7597222
"La Grande Princesse, VI",17.7594444,-64.7366667
"La Grange, VI",17.7211111,-64.8788889
"La Reine, VI",17.7347222,-64.7738889
"La Vallee, VI",17.7855556,-64.8025000
"Lameshur, VI",18.3225000,-64.7250000
"Laprey Valley, VI",17.7283333,-64.6866667
"Leinster Bay, VI",18.3652778,-64.7208333
"Lerkenlund, VI",18.3622222,-64.9405556
"Libanon Hill, VI",17.7563889,-64.7858333
"Lilliendahl, VI",18.3563889,-64.9525000
"Limetree, VI",17.7388889,-64.7647222
"Little Fountain, VI",17.7536111,-64.7941667
"Longford, VI",17.7180556,-64.6952778
"Louisenhoj, VI",18.3530556,-64.9252778
"Lovenlund, VI",18.3611111,-64.9113889
"Lower Love, VI",17.7241667,-64.8080556
"Lowrys Hill, VI",17.7411111,-64.6727778
"Madame Carty, VI",17.7380556,-64.6175000
"Mafolie, VI",18.3544444,-64.9319444
"Mandal, VI",18.3152778,-64.7119444
"Mariendal, VI",18.3297222,-64.8819444
"Mary Point, VI",18.3672222,-64.7422222
"Misgen, VI",18.3563889,-64.9322222
"Mollendal, VI",18.3311111,-64.7519444
"Mon Bijou, VI",17.7502778,-64.7891667
"Monte, VI",18.3227778,-64.7766667
"Montpellier, VI",17.7408333,-64.8427778
"Morningstar, VI",17.7602778,-64.7616667
"Mount Pleasant, VI",17.7477778,-64.8011111
"Munster, VI",17.7250000,-64.6883333
"Nadir, VI",18.3241667,-64.8786111
"Nazareth, VI",18.3227778,-64.8552778
"Negro Bay, VI",17.7100000,-64.8077778
"Neltjeberg, VI",18.3680556,-64.9733333
"Nicholas, VI",17.7550000,-64.8725000
"North Side, VI",17.7605556,-64.8886111
"North Star, VI",17.7700000,-64.8188889
"Nugent, VI",17.7191667,-64.6777778
"Orange Grove, VI",17.7475000,-64.7197222
"Orangegrove, VI",17.7391667,-64.8525000
"Oxford, VI",17.7411111,-64.8613889
"Palestina, VI",18.3508333,-64.7072222
"Paradise, VI",17.7063889,-64.8152778
"Parasol, VI",17.7558333,-64.8175000
"Pearl, VI",17.7183333,-64.7341667
"Pearson Gardens, VI",18.3422222,-64.9186111
"Peters Rest, VI",17.7272222,-64.7391667
"Petronella, VI",17.7294444,-64.6683333
"Pleasant Vale, VI",17.7511111,-64.8616667
"Plessen, VI",17.7186111,-64.8208333
"Profit, VI",17.7191667,-64.7808333
"Prosperity, VI",17.7280556,-64.8825000
"Punch, VI",17.7441667,-64.8686111
"Raphune, VI",18.3363889,-64.9094444
"Rattan and Belvedere, VI",17.7538889,-64.7530556
"Recovery Hill, VI",17.7383333,-64.6983333
"Reef Bay, VI",18.3313889,-64.7383333
"Resolution, VI",18.3563889,-64.9569444
"Richmond, VI",17.7472222,-64.7163889
"Robe Hill, VI",17.7169444,-64.8516667
"Rosendal, VI",18.3541667,-64.9125000
"Ruan Bay, VI",17.6936111,-64.8436111
"Ruby, VI",17.7388889,-64.7552778
"Ryan, VI",17.7300000,-64.6833333
"Saint John, VI",17.7655556,-64.7475000
"Saint Peter, VI",17.7438889,-64.6930556
"Sallys Fancy, VI",17.7377778,-64.6672222
"Sandy Point, VI",17.6938889,-64.8808333
"Santa Maria Estate, VI",18.3605556,-64.9786111
"Seven Hills, VI",17.7477778,-64.6516667
"Shoys, VI",17.7572222,-64.6827778
"Sieben, VI",18.3327778,-64.7608333
"Sion Farm, VI",17.7344444,-64.7436111
"Sion Hill, VI",17.7430556,-64.7475000
"Slob, VI",17.7327778,-64.7808333
"Smithfield, VI",17.7016667,-64.8808333
"Solberg, VI",18.3494444,-64.9422222
"Solitude, VI",17.7580556,-64.6316667
"Sorgenfri, VI",18.3675000,-64.9833333
"Spanish Town, VI",17.7191667,-64.7733333
"Springfield, VI",17.7330556,-64.8325000
"Strawberry Hill, VI",17.7341667,-64.7613889
"Susannaberg, VI",18.3433333,-64.7733333
"Teagues Bay, VI",17.7538889,-64.6052778
"Testman, VI",17.7572222,-64.6700000
"Tutu, VI",18.3408333,-64.8869444
"Two Brothers, VI",17.7083333,-64.8797222
"Upper Bethlehem, VI",17.7175000,-64.7925000
"Upper Love, VI",17.7330556,-64.8158333
"Waldberggaard, VI",17.7186111,-64.8447222
"Wheel of Fortune, VI",17.7141667,-64.8713889
"Whim, VI",17.7019444,-64.8625000
"Whites Bay, VI",17.6902778,-64.8741667
"William, VI",17.7363889,-64.8891667
"Williams Delight, VI",17.7019444,-64.8358333
"Windberg, VI",18.3588889,-64.7408333
"Windsor, VI",17.7605556,-64.7741667
"Zambee, VI",18.3580556,-64.9769444
