name,lat,lon
"Adamant, VT",44.3291667,-72.5033333
"Adams Landing, VT",44.7361111,-73.3325000
"Addison, VT",44.0886111,-73.3030556
"Albany, VT",44.7308333,-72.3802778
"Albany Center, VT",44.7366667,-72.3500000
"Alburg, VT",44.9750000,-73.3005556
"Alburg Center, VT",44.9536111,-73.2702778
"Alburg Travel Trailer Park, VT",44.9622222,-73.2486111
"Alfrecha, VT",43.5641667,-72.9730556
"Alpine Village, VT",44.0686111,-72.8347222
"Ames Hill, VT",42.8547222,-72.6880556
"Amsden, VT",43.4058333,-72.5063889
"Andover, VT",43.2772222,-72.6972222
"Arlington, VT",43.0747222,-73.1544444
"Arlins, VT",44.9227778,-71.5116667
"Ascutney, VT",43.4069444,-72.4075000
"Athens, VT",43.1336111,-72.5683333
"Avalon Beach, VT",43.6400000,-73.2255556
"Averill, VT",44.9980556,-71.7108333
"Bailey Mills, VT",43.5052778,-72.5702778
"Baileys Mills, VT",43.2977778,-72.6052778
"Bakersfield, VT",44.7819444,-72.8033333
"Baltimore, VT",43.3602778,-72.5736111
"Baptist Hill, VT",44.4419444,-71.7244444
"Barnard, VT",43.7286111,-72.6194444
"Barnet, VT",44.2969444,-72.0497222
"Barnumtown, VT",44.2080556,-73.1638889
"Barnumville, VT",43.1897222,-73.0216667
"Barre, VT",44.1969444,-72.5025000
"Barton, VT",44.7480556,-72.1766667
"Bartonsville, VT",43.2255556,-72.5361111
"Bassett Development, VT",43.6202778,-72.9450000
"Beanville, VT",43.9144444,-72.2813889
"Beartown, VT",43.1897222,-73.1300000
"Beattys Four Corners, VT",44.9394444,-72.8627778
"Beaulieus Corner, VT",44.9466667,-73.0161111
"Beebe Plain, VT",45.0052778,-72.1411111
"Beecher Falls, VT",45.0080556,-71.5083333
"Beldens, VT",44.0511111,-73.1758333
"Bellows Falls, VT",43.1333333,-72.4444444
"Belmont, VT",43.4155556,-72.8227778
"Belvidere Center, VT",44.7500000,-72.6916667
"Belvidere Junction, VT",44.7369444,-72.7430556
"Bennington, VT",42.8780556,-73.1972222
"Benson, VT",43.7069444,-73.3116667
"Benson Landing, VT",43.7283333,-73.3680556
"Berkshire, VT",44.9716667,-72.7758333
"Berlin Corners, VT",44.2100000,-72.5763889
