name,lat,lon
"Aberdeen, WA",46.9755556,-123.8144444
"Aberdeen Gardens, WA",47.0627778,-123.7783333
"Aberdeen Junction, WA",46.9788889,-123.7616667
"Acme, WA",48.7172222,-122.2038889
"Adco, WA",47.4175000,-119.3613889
"Addy, WA",48.3561111,-117.8363889
"Adelaide, WA",47.6500000,-122.0875000
"Adelma Beach, WA",48.0494444,-122.8277778
"Adkins, WA",46.2525000,-118.7036111
"Adna, WA",46.6291667,-123.0600000
"Adrian, WA",47.3911111,-119.9163889
"Aeneas, WA",48.5475000,-118.9775000
"Agate, WA",47.2136111,-123.0111111
"Agate Bay, WA",48.7561111,-122.3541667
"Agate Point, WA",47.7141667,-122.5519444
"Agnew, WA",48.1058333,-123.2472222
"Ahtanum, WA",46.5597222,-120.6208333
"Ainsworth Junction, WA",46.2097222,-119.0366667
"Airway Heights, WA",47.6447222,-117.5922222
"Ajlune, WA",46.5155556,-122.4336111
"Aladdin, WA",48.7286111,-117.6702778
"Albion, WA",46.7911111,-117.2494444
"Alder, WA",46.8005556,-122.2888889
"Alder Grove, WA",46.9658333,-123.6375000
"Alderdale, WA",45.8350000,-119.9197222
"Alderton, WA",47.1697222,-122.2280556
"Alderwood Manor, WA",47.8222222,-122.2808333
"Alexander Beach, WA",48.4752778,-122.6588889
"Alfalfa, WA",46.3305556,-120.2377778
"Alger, WA",48.6200000,-122.3400000
"Algona, WA",47.2791667,-122.2508333
"Alki, WA",47.5763889,-122.4086111
"Allen, WA",48.5166667,-122.3758333
"Allentown, WA",47.4944444,-122.2750000
"Allison, WA",47.1405556,-122.3944444
"Allyn, WA",47.3858333,-122.8263889
"Almira, WA",47.7111111,-118.9397222
"Almota, WA",46.7030556,-117.4683333
"Aloha, WA",47.2011111,-124.1666667
"Alpha, WA",46.6116667,-122.6041667
"Alpine, WA",45.7883333,-122.4230556
"Alpowa, WA",46.4194444,-117.1955556
"Alstown, WA",47.5611111,-119.9938889
"Alta Vista, WA",46.4997222,-122.3711111
"Alto, WA",46.3863889,-118.1105556
"Altoona, WA",46.2669444,-123.6550000
"Amanda Park, WA",47.4633333,-123.8847222
"Amber, WA",47.3519444,-117.7105556
"Amboy, WA",45.9102778,-122.4452778
"American Lake Garden Tract, WA",47.1225000,-122.5341667
"American River, WA",46.9761111,-121.1605556
"Ames Lake, WA",47.6330556,-121.9650000
"Anacortes, WA",48.5127778,-122.6113889
"Anacortes Crossing, WA",48.7833333,-120.8286111
"Anatone, WA",46.1350000,-117.1313889
"Andron, WA",48.2627778,-121.6050000
"Anglin, WA",48.6569444,-119.2880556
"Ankeny, WA",46.8500000,-118.1536111
"Annapolis, WA",47.5477778,-122.6194444
"Appledale, WA",47.3544444,-119.9733333
"Appleton, WA",45.8119444,-121.2700000
"Appleyard, WA",47.3977778,-120.3019444
"Apricot, WA",46.2366667,-119.8563889
"Arbor Heights, WA",47.5175000,-122.3755556
"Arcadia, WA",47.3825000,-122.0069444
"Arden, WA",48.4602778,-117.8752778
"Ardenvoir, WA",47.7375000,-120.3677778
"Argyle, WA",48.5147222,-123.0183333
"Ariel, WA",45.9569444,-122.5697222
"Arletta, WA",47.2902778,-122.6663889
"Arlington, WA",48.1988889,-122.1238889
"Arlington Heights, WA",48.2022222,-122.0608333
"Arlington Junction, WA",48.2061111,-122.1277778
"Armstrong, WA",46.7602778,-117.2244444
"Arroyo Heights, WA",47.5063889,-122.3802778
"Artesian, WA",46.5522222,-120.3533333
"Artic, WA",46.8891667,-123.7133333
"Artondale, WA",47.2997222,-122.6194444
"Arzina, WA",48.4400000,-118.1175000
"Ash, WA",46.2533333,-118.8422222
"Ashby, WA",47.1522222,-118.0666667
"Ashford, WA",46.7586111,-122.0297222
"Ashue, WA",46.4044444,-120.4583333
"Asotin, WA",46.3394444,-117.0472222
"Atkinson, WA",47.4088889,-122.0155556
"Attalia, WA",46.1080556,-118.9188889
"Atwood, WA",47.1005556,-119.1230556
"Auburn, WA",47.3075000,-122.2272222
"Audrey, WA",46.6275000,-119.6141667
"Austin, WA",47.9916667,-122.5386111
"Avon, WA",48.4425000,-122.3772222
"Avondale, WA",47.7033333,-122.0916667
"Axford, WA",47.1944444,-123.9450000
"Ayer, WA",46.5963889,-118.3472222
"Ayock, WA",47.5075000,-123.0555556
"Azwell, WA",47.9372222,-119.8752778
"B Z Corner, WA",45.8502778,-121.5077778
"Babb, WA",47.4583333,-117.6566667
"Babcock, WA",46.3258333,-118.5922222
"Baby Island Heights, WA",48.0963889,-122.5202778
"Bacon, WA",47.5008333,-119.3291667
"Badger, WA",46.2002778,-119.3583333
"Bagdad Junction, WA",47.8738889,-118.9363889
"Bagley Junction, WA",47.3936111,-121.8450000
"Baileysburg, WA",46.2991667,-117.9516667
"Bainbridge, WA",47.6552778,-122.5166667
"Bainbridge Grange, WA",47.6561111,-122.5194444
"Baker, WA",45.7547222,-122.6602778
"Baker Heights, WA",48.4355556,-122.2516667
"Baker-Langdon, WA",46.0247222,-118.3236111
"Balch, WA",46.8147222,-123.2419444
"Balder, WA",47.1827778,-117.4044444
"Balford, WA",48.9347222,-122.1491667
"Ballard, WA",47.6761111,-122.3861111
"Ballow, WA",47.2405556,-122.8658333
"Bandera, WA",47.3869444,-121.5325000
"Bangor, WA",47.7211111,-122.7447222
"Banks Lake South, WA",47.6266667,-119.2744444
"Banner, WA",47.4888889,-122.5416667
"Barberton, WA",45.6933333,-122.5977778
"Barco, WA",48.2805556,-121.6713889
"Barham, WA",47.0841667,-119.0119444
"Baring, WA",47.7733333,-121.4841667
"Barker, WA",48.5775000,-119.4808333
"Barneston, WA",47.3877778,-121.8600000
"Barron, WA",48.7533333,-120.7152778
"Barstow, WA",48.7772222,-118.1416667
"Basin City, WA",46.5941667,-119.1511111
"Bassett Junction, WA",47.0425000,-119.0880556
"Bates, WA",45.7050000,-120.4255556
"Battle Ground, WA",45.7811111,-122.5322222
"Battle Point, WA",47.6575000,-122.5836111
"Batum, WA",47.2336111,-118.8091667
"Bay Center, WA",46.6316667,-123.9536111
"Bay Center Junction, WA",46.5991667,-123.9169444
"Bay City, WA",46.8647222,-124.0580556
"Bay View, WA",48.0077778,-122.4600000
"Bayne, WA",47.2952778,-121.9083333
"Bayne Junction, WA",47.3011111,-121.9075000
"Bayshore, WA",47.2463889,-123.0450000
"Bayview, WA",47.2797222,-122.6044444
