name,lat,lon
"Abbotsford, WI",44.9463889,-90.3158333
"Abells Corners, WI",42.7261111,-88.5425000
"Abrams, WI",44.7791667,-88.0597222
"Ackerville, WI",43.3100000,-88.2580556
"Ada, WI",43.8769444,-87.8955556
"Adams, WI",43.9561111,-89.8180556
"Adams Beach, WI",44.6861111,-88.6680556
"Addison, WI",43.4227778,-88.3744444
"Adell, WI",43.6191667,-87.9519444
"Adella Beach, WI",44.1422222,-88.4616667
"Advance, WI",44.7877778,-88.3322222
"Afton, WI",42.6038889,-89.0711111
"Alaska, WI",44.5405556,-87.5011111
"Alban, WI",44.6277778,-89.2847222
"Albany, WI",42.7077778,-89.4369444
"Albertville, WI",44.9600000,-91.6002778
"Albion, WI",42.8794444,-89.0697222
"Aldens Corners, WI",43.2213889,-89.6400000
"Alderley, WI",43.2175000,-88.4497222
"Algoma, WI",44.6088889,-87.4325000
"Allen, WI",44.6613889,-91.3666667
"Allens Grove, WI",42.5802778,-88.7625000
"Allenton, WI",43.4205556,-88.3408333
"Allenville, WI",44.1330556,-88.6188889
"Allouez, WI",44.4775000,-88.0161111
"Alma, WI",44.3200000,-91.9147222
"Alma Center, WI",44.4372222,-90.9111111
"Almena, WI",45.4169444,-92.0327778
"Almon, WI",44.9063889,-88.9916667
"Almond, WI",44.2588889,-89.4069444
"Alpha, WI",45.7725000,-92.5794444
"Alto, WI",43.6766667,-88.7950000
"Altoona, WI",44.8047222,-91.4430556
"Alverno, WI",44.0850000,-87.7397222
"Alvin, WI",45.9850000,-88.8291667
"Amberg, WI",45.5030556,-87.9936111
"Ambridge, WI",46.6366667,-92.0702778
"Amery, WI",45.3069444,-92.3619444
"Amherst, WI",44.4508333,-89.2847222
"Amherst Junction, WI",44.4688889,-89.3125000
"Amnicon Falls, WI",46.6038889,-91.8897222
"Anacker, WI",43.6255556,-89.4436111
"Anderson, WI",42.7169444,-89.0166667
"Anderson Trailer Court, WI",45.4691667,-91.7058333
"Angelica, WI",44.6738889,-88.3136111
"Angelo, WI",43.9708333,-90.7777778
"Angus, WI",45.6477778,-91.6016667
"Aniwa, WI",45.0086111,-89.2141667
"Annaton, WI",42.9113889,-90.5375000
"Anson, WI",44.9808333,-91.2866667
