name,lat,lon
"Aarons, WV",38.4930556,-81.5344444
"Abbott, WV",38.9216667,-80.3216667
"Aberdeen, WV",39.0583333,-80.3161111
"Abney, WV",37.6883333,-81.2041667
"Abraham, WV",37.7905556,-80.9552778
"Accoville, WV",37.7686111,-81.8372222
"Acme, WV",38.0366667,-81.4558333
"Acup, WV",38.3619444,-81.3422222
"Ada, WV",37.2947222,-81.1469444
"Adaland, WV",39.2086111,-80.0769444
"Adaline, WV",39.7652778,-80.6466667
"Adam, WV",38.8300000,-81.1719444
"Adams, WV",38.1700000,-81.8525000
"Adamston, WV",39.2905556,-80.3580556
"Adamsville, WV",39.3952778,-80.2447222
"Adlai, WV",39.3377778,-81.0633333
"Adolph, WV",38.7444444,-80.0458333
"Adonijah, WV",38.3338889,-81.1947222
"Adonis, WV",39.5055556,-80.9869444
"Adrian, WV",38.9052778,-80.2758333
"Advent, WV",38.6102778,-81.5588889
"Affinity, WV",37.7127778,-81.2261111
"Afton, WV",39.5358333,-79.5388889
"Aggregates, WV",38.9361111,-79.9188889
"Agnew, WV",38.2125000,-81.1430556
"Airport Village, WV",38.3666667,-81.5819444
"Ajax, WV",37.8025000,-82.3047222
"Akron, WV",39.4147222,-80.8058333
"Albright, WV",39.4938889,-79.6430556
"Alderson, WV",37.7258333,-80.6422222
"Aldridge, WV",39.3011111,-77.9227778
"Alexander, WV",38.7827778,-80.2227778
"Algoma, WV",37.4188889,-81.4261111
"Alice, WV",38.9975000,-80.8161111
"Alkires Mills, WV",38.9783333,-80.4516667
"Alkol, WV",38.1627778,-81.9250000
"Allen Junction, WV",37.5891667,-81.3508333
"Allendale, WV",40.0186111,-80.7036111
"Allensville, WV",39.5830556,-77.9933333
"Allentown, WV",38.7647222,-81.5127778
"Alley Grove, WV",39.9608333,-80.5263889
"Alliance, WV",39.4563889,-80.4811111
"Allied, WV",39.3891667,-80.2752778
"Allingdale, WV",38.3572222,-80.6116667
"Allister, WV",39.6013889,-80.6941667
"Alloy, WV",38.1375000,-81.2744444
"Alpena, WV",38.9097222,-79.6513889
"Alpheus, WV",37.3680556,-81.5611111
"Alpine Lake, WV",39.4747222,-79.5008333
"Alpoca, WV",37.5436111,-81.3891667
"Alta, WV",38.2072222,-81.1775000
"Altizer, WV",38.8272222,-81.1480556
"Altman, WV",38.1644444,-81.8680556
"Alton, WV",38.8191667,-80.2141667
"Alum Bridge, WV",39.0391667,-80.6552778
"Alum Creek, WV",38.2866667,-81.8052778
"Alvon, WV",37.9050000,-80.2144444
"Alvord, WV",38.8075000,-81.3491667
"Amandaville, WV",38.3972222,-81.8561111
"Amblersburg, WV",39.3863889,-79.6294444
"Amboy, WV",39.3483333,-79.5686111
"Ambrosia, WV",38.8055556,-82.0527778
"Ameagle, WV",37.9497222,-81.4188889
"Amelia, WV",38.2891667,-81.2961111
"Ames, WV",38.0861111,-81.0861111
"Ames Heights, WV",38.0852778,-81.0758333
"Amherstdale, WV",37.7852778,-81.8094444
"Amigo, WV",37.5963889,-81.3211111
"Amma, WV",38.5686111,-81.2658333
"Anawalt, WV",37.3358333,-81.4366667
"Anchor, WV",37.9969444,-81.9152778
"Anderson, WV",39.3900000,-79.7197222
"Andersonville, WV",39.7800000,-80.5219444
"Andrew, WV",38.1000000,-81.7175000
"Angerona, WV",38.8305556,-81.8044444
"Anjean, WV",38.0200000,-80.6333333
"Anmoore, WV",39.2566667,-80.2925000
"Annamoriah, WV",38.9405556,-81.2272222
"Annfred, WV",38.3041667,-81.4138889
"Ansted, WV",38.1361111,-81.0997222
"Anthem, WV",39.6466667,-80.5286111
"Anthony, WV",37.8958333,-80.3322222
"Antioch, WV",39.3236111,-79.0177778
"Antler, WV",37.4533333,-81.6238889
"Apple Grove, WV",38.6650000,-82.1691667
"Aracoma, WV",37.8588889,-81.9922222
"Arborland Acres, WV",38.3913889,-81.8638889
"Arbovale, WV",38.4352778,-79.8177778
"Arbuckle, WV",38.7127778,-81.9483333
"Arbutus Park, WV",39.2663889,-80.3238889
"Archer, WV",39.5105556,-80.5952778
"Archer Heights, WV",40.3608333,-80.6002778
"Arcola, WV",38.4666667,-80.5194444
"Ardel, WV",38.2705556,-82.4555556
"Arden, WV",39.2102778,-79.9933333
"Argyle, WV",37.8255556,-81.8769444
"Arista, WV",37.4725000,-81.2608333
"Arkansas, WV",39.0744444,-78.7294444
"Arlee, WV",38.7325000,-82.0947222
"Arlington, WV",39.3083333,-80.3469444
"Armilda, WV",38.1836111,-82.4016667
"Arnett, WV",37.8333333,-81.4302778
"Arnettsville, WV",39.5855556,-80.0925000
"Arnold, WV",40.2986111,-80.5802778
"Arnold Hill, WV",38.8833333,-79.8638889
"Arnoldsburg, WV",38.7888889,-81.1277778
"Arthur, WV",39.0672222,-79.1122222
"Arthurdale, WV",39.4950000,-79.8152778
"Artie, WV",37.9325000,-81.3597222
"Arvilla, WV",39.4352778,-81.0711111
"Arvondale, WV",38.6944444,-80.2666667
"Asbury, WV",37.8197222,-80.5594444
"Asco, WV",37.5019444,-81.6261111
"Ash, WV",38.8325000,-81.9736111
"Ashby Ridge Estates, WV",39.2944444,-81.4672222
"Ashford, WV",38.1791667,-81.7111111
"Ashland, WV",37.4083333,-81.3527778
"Ashley, WV",39.4044444,-80.6761111
"Ashton, WV",38.6241667,-82.1647222
"Aspinall, WV",38.9261111,-80.6044444
"Assurance, WV",37.4955556,-80.6730556
"Astor, WV",39.2402778,-80.1413889
"Atenville, WV",38.0480556,-82.1430556
"Athens, WV",37.4222222,-81.0163889
"Atlas, WV",38.9775000,-80.2800000
"Atwell, WV",37.3491667,-81.7627778
"Atwood, WV",39.5113889,-80.7425000
"Auburn, WV",39.0955556,-80.8563889
"Audra, WV",39.0419444,-80.0669444
"Augusta, WV",39.2952778,-78.6380556
"Aurora, WV",39.3241667,-79.5547222
"Austen, WV",39.3880556,-79.8011111
"Auvil, WV",39.1777778,-79.7238889
"Avis, WV",37.6663889,-80.8880556
"Avoca, WV",38.4530556,-81.0508333
"Avon, WV",39.1952778,-80.6491667
"Avondale, WV",37.4125000,-81.7844444
"Ayers, WV",38.9780556,-81.0986111
"Babcock, WV",38.0825000,-80.8886111
"Baber, WV",38.0083333,-82.0458333
"Bablin, WV",38.7650000,-80.4369444
"Bachman, WV",38.0994444,-81.1222222
"Backus, WV",37.8541667,-80.9750000
"Baden, WV",38.7983333,-81.8875000
"Baileysville, WV",37.5891667,-81.6794444
"Baisden, WV",37.5838889,-81.9052778
"Baker, WV",39.0416667,-78.7450000
