name,lat,lon
"Acme, WY",44.9105556,-106.9844444
"Adon, WY",44.5183333,-105.2325000
"Afton, WY",42.7250000,-110.9311111
"Air Base Acres, WY",42.8822222,-106.4405556
"Airport Road, WY",43.9933333,-107.9486111
"Aladdin, WY",44.6400000,-104.1830556
"Albany, WY",41.1841667,-106.1313889
"Albin, WY",41.4177778,-104.0977778
"Alcova, WY",42.5522222,-106.7158333
"Alcova Po, WY",42.5600000,-106.7227778
"Allendale, WY",42.8147222,-106.3100000
"Almy, WY",41.3316667,-111.0038889
"Alpine, WY",43.1752778,-111.0338889
"Alpine Junction, WY",43.1725000,-111.0177778
"Alta, WY",43.7538889,-111.0361111
"Altamont, WY",41.1922222,-110.7888889
"Altvan, WY",41.1230556,-104.6994444
"Alva, WY",44.6947222,-104.4408333
"Ammon, WY",42.6263889,-105.1297222
"Antelope, WY",41.4211111,-110.5294444
"Antelope Hills, WY",43.0816667,-106.3236111
"Arapahoe, WY",42.9622222,-108.4891667
"Arcola, WY",41.1008333,-104.4566667
"Arlington, WY",41.5947222,-106.2077778
"Arminto, WY",43.1788889,-107.2569444
"Arrowhead Springs, WY",41.5069444,-109.1569444
"Arvada, WY",44.6536111,-106.1305556
"Aspen, WY",41.2058333,-110.7511111
"Athol, WY",41.0127778,-104.8277778
"Atlantic City, WY",42.4966667,-108.7300000
"Auburn, WY",42.7922222,-111.0025000
"Badger Basin, WY",44.9258333,-109.0725000
"Badwater, WY",43.3227778,-107.4269444
"Baggs, WY",41.0358333,-107.6569444
"Bain Place, WY",43.5013889,-109.4655556
"Bairoil, WY",42.2444444,-107.5588889
"Banner, WY",44.6013889,-106.8647222
"Bannock Ford, WY",44.8936111,-110.3761111
"Bar Nunn, WY",42.9136111,-106.3427778
"Barnum, WY",43.6641667,-106.9088889
"Basin, WY",44.3800000,-108.0383333
"Bear River, WY",41.3841667,-111.0255556
"Beartown, WY",41.1566667,-110.8472222
"Beaver Creek, WY",43.6872222,-110.7347222
"Beck Place, WY",43.1380556,-106.7116667
"Beckton, WY",44.7486111,-107.1291667
"Bedford, WY",42.8994444,-110.9325000
"Bentley, WY",44.1236111,-104.6744444
"Bessemer Bend, WY",42.7580556,-106.5197222
"Beulah, WY",44.5444444,-104.0886111
"Big Horn, WY",44.6833333,-106.9916667
"Big Piney, WY",42.5383333,-110.1136111
"Big Sandy, WY",42.6333333,-109.4650000
"Bill, WY",43.2319444,-105.2597222
"Binford, WY",42.3333333,-105.3425000
"Birkner Hill, WY",43.1138889,-105.7138889
"Bishop, WY",42.9575000,-106.4494444
"Bitter Creek, WY",41.5511111,-108.5547222
